,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2562,2562,0.0,0.0,2.509237625004057,0.001274739794039359,False,False
3778,3778,0.0,0.0,2.4138703643912276,0.004220982893072711,False,False
3033,3033,0.0,0.0,2.3561412489457476,-0.0006943529331489007,False,False
3404,3404,0.0,0.0,2.2513323987745264,0.005754316822571159,False,False
3192,3192,0.0,0.0,2.1732044641058716,0.0004965680026676744,False,False
1797,1797,0.0,0.0,2.152207274244682,0.0007317966836430934,False,False
1027,1027,0.0,0.0,2.051117935859333,0.004407826753295929,False,False
3063,3063,0.0,0.0,2.0179940343074936,0.0029180083082908648,False,False
1090,1090,0.0,0.0,1.9942508834513033,0.0007297848471931601,False,False
116,116,0.0,0.0,1.9474280478102883,0.0016751926079565105,False,False
2970,2970,0.0,0.0,1.9241100380670306,-0.002026473220145486,False,False
2681,2681,0.0,0.0,1.8641966999599304,0.0014625730674486526,False,False
1871,1871,0.0,0.0,1.8616354053362933,-0.00018052417917993613,False,False
2771,2771,0.0,0.0,1.8566040958809644,0.0029832964569492526,False,False
930,930,0.0,0.0,1.8555581403940797,0.002355701665907234,False,False
461,461,0.0,0.0,1.8195545613361932,0.0018798644159572497,False,False
2682,2682,0.0,0.0,1.7913218893705545,0.0005397769745692227,False,False
3585,3585,0.0,0.0,1.7837011231325097,0.00242200920108826,False,False
1291,1291,0.0,0.0,1.736406582075841,0.0022073484177430602,False,False
3756,3756,0.0,0.0,1.7140487084766876,0.002035843788315922,False,False
266,266,0.0,0.0,1.7130043008336604,0.005834875753592178,False,False
3812,3812,0.0,0.0,1.7067723374969959,0.0024037780749425752,False,False
2086,2086,0.0,0.0,1.6910311524244874,0.00048318206198205704,False,False
1422,1422,0.0,0.0,1.675060671482716,0.0026412626829180608,False,False
912,912,0.0,0.0,1.607007695479918,-0.0005159017918159592,False,False
4157,4157,0.0,0.0,1.5929125993544802,0.0019651662585115637,False,False
2055,2055,0.0,0.0,1.5653467901175622,0.004086214551321327,False,False
1982,1982,0.0,0.0,1.5532064058061683,-0.0010137973863908467,False,False
1113,1113,0.0,0.0,1.5449607836018764,0.0003859755932067721,False,False
2276,2276,0.0,0.0,1.535182151043456,0.0023849019984841235,False,False
2532,2532,0.0,0.0,1.5135544297885408,0.0006423457546776146,False,False
3112,3112,0.0,0.0,1.4314185684285163,0.0016855029245588515,False,False
232,232,0.0,0.0,1.4310713139585929,0.002411409448839247,False,False
3945,3945,0.0,0.0,1.4167732568073057,0.0013263730945753116,False,False
1240,1240,0.0,0.0,1.363088270401202,0.002475330854181973,False,False
