,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3222,3222,6.154347527746682e-61,1.728430219075759e-60,13.944822739791451,-0.013494671282982228,False,False
2643,2643,7.223653204307525e-56,1.989751468489667e-55,13.77819421250687,-0.019019746095703605,False,False
923,923,5.77304067127179e-38,1.5213297569668185e-37,11.860058803360694,-0.0063477032414181195,False,False
4436,4436,3.2888579377794757e-31,8.550260864572387e-31,11.686141358424594,-0.021712245172471868,False,False
2043,2043,4.368630836876317e-27,1.1219553068347674e-26,10.958459458974858,-0.020376377693586592,False,False
3016,3016,2.836825750764895e-31,7.383723966402125e-31,10.132054959046009,-0.0008205692288843578,False,False
2202,2202,1.4628603173789306e-24,3.724635180581426e-24,8.518203441045848,-0.0008869593609613161,False,False
1791,1791,7.436120088039019e-20,1.8592392544264131e-19,7.709524447235403,-0.0005386057530738422,False,False
2847,2847,4.914510040917746e-15,1.193830951984557e-14,7.634909309267971,-0.01785780483384107,False,False
1094,1094,1.2251053594534153e-11,2.8906761083651216e-11,6.058466112525415,-0.007412895738830366,False,False
3791,3791,3.0099596354695283e-11,7.072052173660029e-11,6.039508945934784,-0.014407978800186879,False,False
3449,3449,4.767984585899986e-14,1.151312799736611e-13,6.000179781352826,-0.0016384730462130955,False,False
3847,3847,9.662773152012594e-11,2.2548162349995775e-10,5.803863599471006,-0.006524803741200764,False,False
2929,2929,6.772415388760515e-14,1.632655538375636e-13,5.76885969375632,-0.002147869405881282,False,False
2234,2234,7.096116555449628e-10,1.6318864314628727e-09,5.32221342407957,-0.0044749510699346445,False,False
4161,4161,1.6739791665459418e-09,3.831782296220308e-09,5.050936694543047,-0.0016621544847682428,False,False
1175,1175,8.134553254826648e-11,1.9002008470659725e-10,5.035393327602103,0.0064504631475895,False,False
1839,1839,8.987447907467754e-12,2.1262636343386172e-11,4.352717485634307,-0.00184124261776705,False,False
2505,2505,4.471090234117744e-12,1.0606008494492865e-11,3.838767791404569,-0.0037585849692057744,False,False
4207,4207,7.185310560511917e-07,1.5641516325504383e-06,3.76874101620071,-0.017247968653922627,False,False
1054,1054,4.208821251300096e-17,1.0359996021898243e-16,3.591243422865455,0.0011932165917223885,False,False
782,782,8.319476267969423e-32,2.1692155550814635e-31,3.546837034666894,0.002803633229058464,False,False
307,307,1.696471521060831e-06,3.660720237043843e-06,3.4801276460837207,0.001220421452927448,False,False
239,239,3.0647684910466635e-06,6.540233624265286e-06,3.40370562278054,-0.018891842095316504,False,False
3878,3878,1.1003317116815748e-06,2.3859315739391105e-06,3.2109784393504186,-0.002626911892761561,False,False
1521,1521,5.678713447611795e-06,1.2014535165590097e-05,3.1544782366855944,-0.004869980770580899,False,False
1992,1992,1.9836398146517022e-07,4.380373606609102e-07,2.8877357235935266,-0.0017189739945521728,False,False
1145,1145,6.827960901549871e-13,1.6266289697365188e-12,2.8799732503692432,-0.0006652445015156525,False,False
770,770,2.0841749434279577e-08,4.7220751013005694e-08,2.879433265153968,0.0013902034952112284,False,False
2485,2485,2.3607523727735648e-05,4.8785222289455575e-05,2.794854226317473,-0.003649899461111259,False,False
3395,3395,4.385270534806065e-08,9.855213447720459e-08,2.7514862782662672,-0.00296676804596907,False,False
2280,2280,9.184565271995394e-06,1.9294100947269758e-05,2.689025423294105,0.002438350122460048,False,False
2706,2706,4.578802327298296e-13,1.0937429430207704e-12,2.647656144411709,-0.008500027955295607,False,False
2853,2853,4.9991429787911894e-05,0.00010179281509976744,2.612467537391683,-0.014981259853897857,False,False
908,908,2.44717288082184e-06,5.2424248358203645e-06,2.6071322304621587,0.00028895207439421115,False,False
4001,4001,7.822130369115048e-05,0.00015768477872040907,2.5521362868174435,-0.01933274276258253,False,False
1695,1695,1.2835234864195404e-07,2.8513474250810093e-07,2.49081553540508,-0.0009529735122401589,False,False
2914,2914,1.4568364268775814e-06,3.154349047084354e-06,2.4746602732129084,-0.0007887843014213339,False,False
1359,1359,2.6957160256610354e-06,5.763747017330116e-06,2.447522021411577,0.0009999689434790474,False,False
924,924,2.012335840466529e-10,4.673710475270668e-10,2.4416075207493693,-0.0013493176684168623,False,False
2314,2314,1.579482270822617e-07,3.5000696904064277e-07,2.412392691470436,-0.004598646216993945,False,False
233,233,4.304102530230147e-10,9.944424098706473e-10,2.3377398617583682,-0.004954985433054688,False,False
2006,2006,6.846486258148972e-09,1.5575493315389598e-08,2.3296761658126948,0.002569001001556293,False,False
3529,3529,1.1455271802275344e-05,2.3962228162669187e-05,2.2613978191213326,0.004678777025709625,False,False
3086,3086,2.2040050526171192e-07,4.864577470828545e-07,2.243385370362976,0.0016889329172448632,False,False
122,122,0.00012606741326550623,0.00025049978405127204,2.228158620333174,-0.0007654952357538905,False,False
2980,2980,1.0084467456024811e-11,2.38326004825097e-11,2.214462148081593,-0.004845164047483731,False,False
3549,3549,1.6003599589037547e-06,3.456684150417784e-06,2.1690747948596187,0.0001269566439871866,False,False
3682,3682,0.00030475401538265496,0.0005899878389303424,2.1584371321374882,-0.005127147635354148,False,False
1942,1942,9.957572648891014e-13,2.369656951206362e-12,2.1068478416670877,-0.00032225576554653504,False,False
671,671,7.480741168334965e-06,1.578201947336764e-05,2.1029369571941783,-0.00010162881313097779,False,False
417,417,4.774585655818184e-18,1.185110841832413e-17,2.084408968270221,-0.0030070183771136556,False,False
1421,1421,0.0003657869774753341,0.0007050722520272928,2.0546813686868974,-0.0010165767050503323,False,False
2605,2605,5.0611805542185225e-08,1.134552230191367e-07,2.0308915265564194,-0.005421564372121554,False,False
669,669,3.2751075185271225e-16,8.026090846561503e-16,2.0061260071972353,0.0014225520416266076,False,False
1784,1784,0.00025040363240446783,0.00048774368205745306,2.0054428795116226,0.0019150317068944778,False,False
1777,1777,0.00042152337610424034,0.0008095758719764581,1.99435809918255,0.00015343737726072025,False,False
950,950,7.708325983581475e-17,1.8953011812425287e-16,1.9662446378982965,0.0008814198067779097,False,False
596,596,8.868130653873267e-08,1.9779670931304682e-07,1.933079499643021,-0.0019640762118821793,False,False
3034,3034,1.1208244417947228e-05,2.3467591870376783e-05,1.922328186955899,-0.004460192286029961,False,False
2480,2480,3.613241140745153e-16,8.844975420567887e-16,1.9028594714064215,-0.0017375380203721608,False,False
1201,1201,0.0007667788514198709,0.0014460095232845867,1.8826723104254948,-0.004054191714604085,False,False
1171,1171,4.85989660845794e-05,9.909371560981471e-05,1.868439603322499,-0.0031323658208012245,False,False
2492,2492,1.7463721586683051e-06,3.7629153738910183e-06,1.8214013741910375,0.00023919365571049584,False,False
280,280,5.791910786074713e-07,1.2657874875814043e-06,1.7884681328746672,-0.00393346501146031,False,False
1948,1948,2.2519272535466212e-13,5.393699615907083e-13,1.760435825830311,0.002065110550376921,False,False
2550,2550,0.00012096608854566935,0.00024090198628794662,1.7357977799510638,0.004538427828003672,False,False
