,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1367,1367,5.929675444821223e-43,2.6855808360184195e-42,6.5950892349282775,0.001505809855259001,False,False
2231,2231,7.764276632296493e-22,3.044720306910267e-21,5.830761734436069,-0.0006573915076802783,False,False
2825,2825,8.627127466580565e-20,3.31864305922229e-19,5.278087052020469,-0.0014288354209777612,False,False
141,141,8.5708590810741465e-16,3.141941163136339e-15,4.545244471181715,0.0034822065768829813,False,False
3075,3075,2.3004248682833222e-15,8.336694689871778e-15,4.52588900150518,-0.00012560861673993097,False,False
2232,2232,3.522471955769334e-30,1.4919297330298524e-29,4.502179177662052,-0.0010419884814562332,False,False
2902,2902,3.112075306073281e-14,1.0982486564641453e-13,4.329779390941263,-0.0025706657381336616,False,False
3308,3308,9.489400033903994e-59,4.774790979686913e-58,4.096722204672246,0.0011964446362241997,False,False
3078,3078,8.42875627535979e-14,2.9417882271346073e-13,4.003620261915377,0.0014170619603244127,False,False
1609,1609,2.1248267123554704e-54,1.0374291299994895e-53,3.8834149981420487,0.0035931474550002646,False,False
1786,1786,1.2254113649902986e-38,5.428218040530305e-38,3.7951179886454667,-0.003670039421556283,False,False
4361,4361,7.346441258371541e-23,2.909112166750869e-22,3.729658572823945,-0.0012953807112475301,False,False
4284,4284,2.071595228169193e-15,7.538163471544411e-15,3.717668658552297,-0.0011434100608259789,False,False
2006,2006,1.1587260021817722e-27,4.8069277569501534e-27,3.6211754409604135,0.002571699791292603,False,False
2904,2904,3.475973620735302e-13,1.1888953654293261e-12,3.5369214500058566,0.002874122230411432,False,False
1178,1178,9.790893552783101e-29,4.099994350142819e-28,3.497170960847839,-0.0002504065159587895,False,False
50,50,1.7469261354308593e-34,7.557539259707213e-34,3.4906220872302125,-0.002511854358136721,False,False
101,101,1.2577381225092436e-19,4.817353860610835e-19,3.476331853945925,-0.0008395647750068756,False,False
2438,2438,2.0565032873543977e-26,8.444587898073558e-26,3.347043119550651,-0.002226084182472247,False,False
4388,4388,1.840444076131123e-22,7.281471977070863e-22,3.3063939128809112,-0.0010831035965457756,False,False
793,793,4.457545456524846e-45,2.0523185972372943e-44,3.1614896106162105,-0.002190067907485888,False,False
3558,3558,1.981905866308487e-17,7.393457400511005e-17,3.112959773266587,0.0004744664285497866,False,False
3311,3311,2.231120181484806e-21,8.718440603638515e-21,3.092122373426844,-0.0005676743963133751,False,False
817,817,1.3399223188076992e-14,4.77407767639343e-14,3.0899814890496264,0.0008105478051638922,False,False
361,361,7.134735919411847e-18,2.679596930680206e-17,3.0726975221868305,0.00026578322318461436,False,False
856,856,9.357485996611386e-36,4.0800108226638266e-35,3.0482061171405914,0.001557112496935336,False,False
3433,3433,1.7372653947463877e-17,6.491732673556097e-17,3.0446284594667405,-0.0004415387174113725,False,False
590,590,6.662243322552875e-18,2.5042594824113727e-17,3.029721770493809,-0.0032309391287003754,False,False
2817,2817,3.707320109784768e-12,1.2375374340926915e-11,2.9995076387092667,0.0016750204056031103,False,False
955,955,2.4647846099864727e-23,9.839207567088857e-23,2.9802881441596845,-0.0016741148753854507,False,False
964,964,2.8200796382798158e-15,1.0178402788689862e-14,2.925000539436937,0.0031610098198276803,False,False
4392,4392,1.1810490878494407e-11,3.8898451425612046e-11,2.858629756645361,0.000893154789461414,False,False
530,530,4.619987186897369e-41,2.065050610803321e-40,2.8375568144727317,-0.00019868780606746832,False,False
3541,3541,7.290263202004637e-09,2.2338372004487313e-08,2.829388096729279,-0.014214444759444854,False,False
648,648,1.1858685193067569e-29,5.0036218720607033e-29,2.778592373174779,-0.001555903514412575,False,False
157,157,1.3617153374963067e-33,5.862501205907065e-33,2.7045620675860627,-0.0021075857764886723,False,False
1889,1889,2.667265124934783e-18,1.0085667191561906e-17,2.646206423374333,-0.0012627968915410034,False,False
233,233,4.930969287103217e-22,1.9405045653321165e-21,2.5992360199008053,-0.004954931577426331,False,False
876,876,1.3103077383513104e-23,5.2447723256710565e-23,2.5406118664318016,-0.0033241804513972307,False,False
2495,2495,2.2823255317160716e-15,8.277854969317964e-15,2.5307052089131874,-0.00017295037417745102,False,False
2955,2955,2.4134773409783753e-15,8.732149695412803e-15,2.5219633791399514,-0.0011212906514296113,False,False
712,712,1.4868420684414352e-16,5.49130449716151e-16,2.504832277309676,-0.005468345201008904,False,False
1151,1151,3.535732735547145e-08,1.0578626628980448e-07,2.50024611001213,-0.0021383702043809337,False,False
1561,1561,6.409052523650199e-08,1.9047103921456747e-07,2.4917973319578914,-0.017657466856730624,False,False
4087,4087,3.702203610227687e-22,1.4595288944313764e-21,2.4773481057514357,0.005111938464071182,False,False
3843,3843,3.0408026543079724e-25,1.2383397060577746e-24,2.4767529883399324,1.0746504428794587e-06,False,False
2128,2128,1.5889527378931352e-13,5.502507415790491e-13,2.4596890988075897,0.0018421117600278623,False,False
238,238,5.020634481195805e-24,2.0205325181116814e-23,2.454709359290652,0.0007588305844825009,False,False
2623,2623,1.1842524186597311e-35,5.153411847311641e-35,2.4475401939650987,-0.0006607775821742155,False,False
2144,2144,1.0482374857319668e-15,3.836341967963038e-15,2.343131388875929,0.00047873308582919907,False,False
3312,3312,4.039024072500812e-14,1.421979711103099e-13,2.2726078874679443,-0.0028262631116078097,False,False
1381,1381,2.9575500205457066e-19,1.127930879080221e-18,2.2711266909182317,0.0013714756458332255,False,False
1543,1543,1.563503486494021e-38,6.918970110052724e-38,2.2209291646754807,0.0010737771546084985,False,False
2480,2480,5.0519975300708855e-40,2.2491007040185316e-39,2.2165152904037377,-0.0017382101146484526,False,False
2936,2936,9.246398043244327e-13,3.1312306788212305e-12,2.2163218905383846,-0.0027351768092457986,False,False
682,682,1.0779320933189533e-13,3.744528765141602e-13,2.185410975074715,-0.0014471992304034105,False,False
2362,2362,6.084011872072723e-09,1.870675761080907e-08,2.170055940095321,-0.0029867662802258678,False,False
3066,3066,4.391145271321869e-28,1.8250569167898095e-27,2.1541957611672107,-0.0008850222603112422,False,False
4298,4298,6.242185138730077e-07,1.773737056140474e-06,2.153767476668249,-0.021009803763678465,False,False
3901,3901,1.2331492745513596e-18,4.67481418671646e-18,2.123732145706146,-0.0044810850470031315,False,False
1697,1697,3.2318287880798536e-13,1.1070944722774704e-12,2.1119110161149948,0.0030430048636705944,False,False
4289,4289,5.361416361834957e-10,1.6942228233024689e-09,2.065747061712929,0.004174229814332514,False,False
492,492,3.522847658816029e-08,1.0547177997385186e-07,2.062398794549185,-0.0008843353705474417,False,False
159,159,1.4148541494442207e-25,5.783069904306046e-25,2.0619262554207585,-0.004296633107168291,False,False
3968,3968,2.5784007583668102e-09,8.011073125471146e-09,2.0488125608254815,-0.003911751248520241,False,False
3432,3432,6.683347805459456e-10,2.1074602057953417e-09,2.039094875290768,0.0003507268818804714,False,False
1620,1620,1.6238910485458485e-14,5.771958342951363e-14,2.0050431280093304,-0.0026257097742166816,False,False
82,82,9.748791375229817e-21,3.782871622720182e-20,1.975098229018449,-0.0035779715746751444,False,False
1749,1749,6.647478335951208e-24,2.670411053040797e-23,1.972533629439144,0.002274010254051497,False,False
748,748,1.843590704056604e-14,6.537169591479242e-14,1.9673041707772503,0.0008256187032177212,False,False
4288,4288,4.1615646495850465e-10,1.3235384207663824e-09,1.9657651873850406,-0.0003415493097016411,False,False
3985,3985,1.898918194835646e-09,5.928948376426405e-09,1.93094048356171,-0.0012405706379252646,False,False
58,58,2.5853756486754265e-33,1.1098380683154512e-32,1.9243213200972302,0.0010753035918823067,False,False
204,204,8.446154413795049e-14,2.9432363969012867e-13,1.9232892505298844,0.0015884157422347716,False,False
1393,1393,4.946283946748215e-12,1.6461677584571026e-11,1.9175364170864753,-0.0028833395350055116,False,False
2219,2219,2.2337148723564932e-07,6.456991007078659e-07,1.9005553215810052,0.0029794819075880654,False,False
