,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2574,2574,8.652701340280981e-47,4.309860095837264e-46,11.983748432953274,-0.010497835715604135,False,False
1299,1299,1.0099173225074422e-37,4.587998633845159e-37,10.30625489757868,-0.0020395253358464656,False,False
3438,3438,3.088092321908393e-22,1.2014355679718906e-21,7.033317382458305,8.634269639339748e-05,False,False
3786,3786,2.845949086648075e-27,1.1707918325904997e-26,6.884949278393661,-0.0015082387107257633,False,False
3440,3440,4.978125419735277e-17,1.772260516016333e-16,6.32603352024813,-0.0017447200990230293,False,False
3437,3437,1.3314844909128619e-16,4.687627252873095e-16,6.184082810408142,-0.006820713806567612,False,False
3439,3439,2.1046930744863892e-16,7.339993194617761e-16,6.060704746198202,-0.0067939471011641585,False,False
3435,3435,1.9822007710803284e-15,6.7537714922621926e-15,6.006849096570635,-0.013216156726111702,False,False
3986,3986,3.316410974186571e-19,1.2371800132922698e-18,5.654386038012874,-0.0027023866267509196,False,False
470,470,2.595526113638314e-15,8.796279575053418e-15,5.601946842872271,-0.019457677504490546,False,False
3964,3964,2.389026368612815e-15,8.108819064741587e-15,5.575732091719327,-0.006874290043187244,False,False
3429,3429,1.0746226813041397e-14,3.595292600176425e-14,5.26583110880384,-0.0007040338163438013,False,False
3436,3436,1.0289981569269148e-13,3.399136662621771e-13,5.224589636880192,-0.00831413418695884,False,False
3430,3430,1.4628541883253585e-14,4.8868129013004265e-14,5.139989477768002,-6.644338601880656e-05,False,False
779,779,4.344781980330616e-16,1.5081145577038225e-15,4.828610248880158,-0.0007454056932216704,False,False
3777,3777,1.6468578351504892e-31,7.09698289192398e-31,4.722632505186202,-0.0079900303375258,False,False
3611,3611,2.2953261811376582e-12,7.326245849708776e-12,4.335034928152112,-0.01536476271402586,False,False
4039,4039,5.096565995755356e-16,1.7649292844225292e-15,4.105482917603101,-0.0022073597346541993,False,False
1561,1561,6.405808146128918e-11,1.9560828586426655e-10,3.6948919534537144,-0.01793538165878638,False,False
3932,3932,5.907573417228775e-17,2.0981094078934808e-16,3.6346402611468247,0.0077049813239057074,False,False
4006,4006,4.718043404070603e-15,1.590460306850204e-14,3.551979749411307,0.003962964510269869,False,False
281,281,1.0467297705321437e-29,4.437614857322819e-29,3.5328221340179633,0.001959303130816546,False,False
633,633,7.435653778918031e-13,2.3974317663086223e-12,3.4075213118330643,-0.009555178729125546,False,False
3985,3985,7.692856713143577e-17,2.723455169441985e-16,3.321697090388419,-0.0031966936062263777,False,False
1421,1421,3.0290779301120734e-12,9.633638685388648e-12,3.279550048519303,-0.0005237084290304643,False,False
3790,3790,1.5613951616057418e-09,4.534169086937458e-09,3.194262296722699,-0.016358154625768763,False,False
363,363,1.4662406632822234e-17,5.2791793087219764e-17,2.9758449481895837,0.000283164374756166,False,False
