,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
505,505,0.0,0.0,1.3720781045314399,-0.00044802585318906574,False,False
1205,1205,0.0,0.0,1.3532153053587834,0.0019252404481974184,False,False
834,834,0.0,0.0,1.303158679933595,-0.0021782156494066507,False,False
1140,1140,0.0,0.0,1.2942879437890795,0.0012847683331471405,False,False
62,62,0.0,0.0,1.2760861169393514,-0.00138061710531992,False,False
2335,2335,0.0,0.0,1.2567780546836111,0.003203184774469292,False,False
43,43,0.0,0.0,1.221820947060562,0.0007854234099591295,False,False
3307,3307,0.0,0.0,1.1295172993988774,0.0010076883781119372,False,False
2423,2423,0.0,0.0,1.1232186067936778,0.002502878257066299,False,False
1924,1924,0.0,0.0,1.116530975423552,-0.002532569210793728,False,False
2534,2534,0.0,0.0,1.1083078829465232,0.0007994213113269588,False,False
1598,1598,0.0,0.0,1.101919630375887,0.0018722721903709494,False,False
929,929,0.0,0.0,1.09214168574807,0.0035771628522422716,False,False
2528,2528,0.0,0.0,1.0746540598517125,0.0025433148384649273,False,False
351,351,0.0,0.0,1.0652361609034768,-0.003481885954031927,False,False
3885,3885,0.0,0.0,1.0415858806787524,7.339145513754475e-05,False,False
2546,2546,0.0,0.0,1.039365498664788,-0.0007422151196359306,False,False
3237,3237,0.0,0.0,1.0216935073667055,-0.0022156285807875264,False,False
242,242,0.0,0.0,1.016024271263664,-0.001387402493966905,False,False
819,819,0.0,0.0,1.0126982987786282,-0.0024789870132294334,False,False
1014,1014,0.0,0.0,1.0028707801517,-0.0006149043644870789,False,False
2572,2572,0.0,0.0,1.0022043903752693,0.0027547168049615323,False,False
1384,1384,0.0,0.0,0.9763907403853416,0.0016249043167522181,False,False
1088,1088,0.0,0.0,0.9705217894289855,0.0008170546746867346,False,False
1489,1489,0.0,0.0,0.9632584891307592,-0.002849497421203523,False,False
563,563,0.0,0.0,0.9519759972775318,0.0015773344963889435,False,False
2531,2531,0.0,0.0,0.936041589696779,0.0003228394773240606,False,False
653,653,0.0,0.0,0.9307199305311311,0.005000402957982958,False,False
1258,1258,0.0,0.0,0.9146152601260241,0.001853477447274543,False,False
1390,1390,0.0,0.0,0.9127088754368726,-0.0024597742878834095,False,False
103,103,0.0,0.0,0.9026609610428639,-0.0022312830347465396,False,False
73,73,0.0,0.0,0.8988102264943829,-0.00320604121721213,False,False
176,176,0.0,0.0,0.8987083267737467,-0.0004037859618398476,False,False
249,249,0.0,0.0,0.8924656575170657,0.0005140716090034358,False,False
842,842,0.0,0.0,0.8904411637424342,-6.544418734291679e-05,False,False
2176,2176,0.0,0.0,0.8854091233608393,-0.0014168212116768275,False,False
2025,2025,0.0,0.0,0.8824257833119848,-0.002046838788769295,False,False
1985,1985,0.0,0.0,0.868955285178818,0.0004127641961730044,False,False
1863,1863,0.0,0.0,0.8684402831308093,0.001104571379724556,False,False
1370,1370,0.0,0.0,0.8429993840387954,0.0010520187843028883,False,False
1224,1224,0.0,0.0,0.8359767519626202,-0.00014727162176708664,False,False
1008,1008,0.0,0.0,0.8258417713516122,-0.006177738256239157,False,False
1105,1105,0.0,0.0,0.821233238247767,-0.0016800400841394114,False,False
4354,4354,0.0,0.0,0.8187856886498442,0.004372699190620638,False,False
2243,2243,0.0,0.0,0.8173939405455684,0.0004410275208825698,False,False
115,115,0.0,0.0,0.7909524463908344,0.004620378840474726,False,False
1356,1356,0.0,0.0,0.7800482518760111,0.003670290277933058,False,False
1793,1793,0.0,0.0,0.7734063678910149,-0.002847771961042911,False,False
2564,2564,0.0,0.0,0.7524088340645237,0.0004257504642815324,False,False
557,557,0.0,0.0,0.7453268464759696,-0.00275093210333871,False,False
2586,2586,0.0,0.0,0.7397684746892403,-0.006692843808419557,False,False
1731,1731,0.0,0.0,0.7329053135260778,0.005284608228324897,False,False
898,898,0.0,0.0,0.7191523338888688,0.004792767741575152,False,False
3235,3235,0.0,0.0,0.718833585543326,0.0017261740234300743,False,False
1347,1347,0.0,0.0,0.7174710529918654,0.002535495489291717,False,False
1470,1470,0.0,0.0,0.7162528568801414,-0.002897398577861074,False,False
1762,1762,0.0,0.0,0.7070787433395038,-0.004759877285663294,False,False
3213,3213,0.0,0.0,0.7053632808906414,-0.006166345591386291,False,False
1447,1447,0.0,0.0,0.6969590691844226,-0.0005285460364819056,False,False
732,732,0.0,0.0,0.6790666606214281,-0.0007625420656941356,False,False
745,745,0.0,0.0,0.6760187840828374,-0.0009957361721467939,False,False
3874,3874,0.0,0.0,0.6750400953102712,0.0028418031738743077,False,False
3295,3295,0.0,0.0,0.6736458749553892,0.00038007572414106017,False,False
402,402,0.0,0.0,0.6634527212127268,0.005758590114860712,False,False
3243,3243,0.0,0.0,0.6610413739628107,0.00013700469010406724,False,False
616,616,0.0,0.0,0.6561030426281047,-0.0012919858660022515,False,False
4432,4432,0.0,0.0,0.649434759306201,0.0007084961395818073,False,False
1665,1665,0.0,0.0,0.6462073113822782,0.0022435144040434674,False,False
1150,1150,0.0,0.0,0.6456141002237896,0.004374192119799683,False,False
1044,1044,0.0,0.0,0.6384940399759007,0.0005831170319529344,False,False
4308,4308,0.0,0.0,0.6355185466354919,0.006225737472191004,False,False
229,229,0.0,0.0,0.6275787095844341,0.00016861462638682878,False,False
503,503,0.0,0.0,0.6223459869471136,0.0010050224334148955,False,False
1417,1417,0.0,0.0,0.6159450721538074,-0.001161631629384624,False,False
2526,2526,0.0,0.0,0.6150657248599459,-0.0005175537976600392,False,False
1076,1076,0.0,0.0,0.6072677305001872,0.0013937769708100428,False,False
230,230,0.0,0.0,0.6059008553867923,0.002146718911512163,False,False
3921,3921,0.0,0.0,0.6011316689892099,-0.00397286164427979,False,False
1877,1877,0.0,0.0,0.6001614933578614,0.005679375191251182,False,False
56,56,0.0,0.0,0.5983186992538664,-0.010148227471334537,False,False
265,265,0.0,0.0,0.5980482135397219,-0.0011571298627438137,False,False
256,256,0.0,0.0,0.5943268314425211,0.005149322408138576,False,False
2778,2778,0.0,0.0,0.5880807655284856,0.0005286727592431484,False,False
2954,2954,0.0,0.0,0.5858946080620431,0.0026660644776102665,False,False
3061,3061,0.0,0.0,0.5847397445614992,-0.000835148754637971,False,False
2577,2577,0.0,0.0,0.5803665912131911,-0.006903447867272594,False,False
950,950,0.0,0.0,0.5760706580751204,0.0009581050861302703,False,False
334,334,0.0,0.0,0.5733332747148311,-0.00677141676517061,False,False
3003,3003,0.0,0.0,0.572874296015341,-0.0015130610456139115,False,False
1504,1504,0.0,0.0,0.571682348755705,-0.003508775671622208,False,False
1914,1914,0.0,0.0,0.5715594026581694,-0.0022130978190976758,False,False
920,920,0.0,0.0,0.568404789386887,-8.977970252528611e-05,False,False
2246,2246,0.0,0.0,0.5674791787599434,-0.0005324371969225444,False,False
511,511,0.0,0.0,0.5622349762806778,0.007506429007744467,False,False
3610,3610,0.0,0.0,0.5614397070052568,0.0003103454289770796,False,False
3067,3067,0.0,0.0,0.5603299029592391,-0.0015603253466309058,False,False
1508,1508,0.0,0.0,0.5495687120186082,-0.0005973619472222635,False,False
2205,2205,0.0,0.0,0.5471934381297107,0.0035197928023043834,False,False
509,509,0.0,0.0,0.5391062764403575,-0.00016805861956800672,False,False
1549,1549,0.0,0.0,0.5356897120939795,-0.0028326398594235025,False,False
705,705,0.0,0.0,0.5340306599546001,0.00028274619577828286,False,False
1857,1857,2.900066615077669e-288,4.2384855167072645e-287,0.5238454604095402,0.001007594113969723,False,False
2756,2756,0.0,0.0,0.520253581248439,-0.0019240815735709904,False,False
3323,3323,1.262325217050236e-285,1.8388560456899013e-284,0.5200703982274388,-0.0001737679366812933,False,False
1243,1243,0.0,0.0,0.5189754061872267,-0.0016394571003346264,False,False
2657,2657,1.443786120125037e-274,2.010890824989197e-273,0.5160371900863924,-0.001733135353468515,False,False
471,471,2.4690581481552664e-279,3.504800432029983e-278,0.5123032317578472,0.0016499206549541595,False,False
4118,4118,5.4778074845844446e-281,7.82569088553334e-280,0.5062617822026757,-0.0007445139457958466,False,False
2635,2635,3.9446364878365105e-304,6.149480672090391e-303,0.5052595748026041,0.004007756853803557,False,False
1131,1131,1.8473294841438416e-265,2.450055193448086e-264,0.5023037519778877,-0.0038590066816817786,False,False
1196,1196,5.085006945119548e-308,8.06881637755934e-307,0.4992247250816595,-0.0034065504838257515,False,False
