,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
856,856,0.0,0.0,4.010285519417517,0.0013586313723328025,False,False
648,648,0.0,0.0,3.4660869871699314,-0.002127058929817377,False,False
1889,1889,0.0,0.0,3.350642944847668,-0.000783439418152676,False,False
2659,2659,7.758008268834282e-290,1.3624043770130718e-288,3.3478331460424493,-0.0005950047988691615,False,False
1178,1178,1.22151963093e-313,2.309451795847e-312,3.1153835556683287,-0.002112134288559789,False,False
748,748,0.0,0.0,3.0985205492620738,0.00013562860049061431,False,False
530,530,0.0,0.0,2.977542255719864,-0.0018482517130860993,False,False
1543,1543,0.0,0.0,2.901291275209232,-0.004642657885430404,False,False
2006,2006,4.8306012255997e-270,7.861670785838633e-269,2.89776651227763,0.004271492109218802,False,False
2438,2438,8.965915157038125e-285,1.538052549911984e-283,2.8675250829499137,0.0005620337898475658,False,False
1916,1916,0.0,0.0,2.8586543038097356,0.0004691571713514864,False,False
1388,1388,0.0,0.0,2.851891139809134,-0.0037550370717508302,False,False
955,955,2.3293508866059023e-277,3.8473256465390426e-276,2.835172717067676,0.005172004774593897,False,False
782,782,0.0,0.0,2.7716472488423354,-0.0027314578892262825,False,False
74,74,6.515664537479688e-213,8.907414627699156e-212,2.7174815601781543,0.005776639217612664,False,False
2222,2222,1.2632411022158223e-141,1.1791134909968275e-140,2.6832450598622204,0.003919522678631743,False,False
1121,1121,5.762081705685149e-203,7.463827702145515e-202,2.6233179093984726,-0.0021584154874962486,False,False
712,712,1.7338979143772042e-217,2.430191934882624e-216,2.5691200492296646,2.7236563509336342e-05,False,False
1609,1609,0.0,0.0,2.558994774889515,-0.0005077977106610204,False,False
3843,3843,0.0,0.0,2.5074313019709606,0.0002664730277801147,False,False
2736,2736,6.746231304428076e-137,6.0308864558498885e-136,2.4154602365092974,-0.0011890104330251894,False,False
4361,4361,5.966174601275262e-178,6.903050456631767e-177,2.40527381158785,0.0009702356939846335,False,False
50,50,4.597667361648883e-302,8.337729015431015e-301,2.367053247173354,0.001375533024795511,False,False
107,107,0.0,0.0,2.3628045340218606,0.005398461550952513,False,False
361,361,8.215647817002332e-166,8.75350677480608e-165,2.3261553213437196,0.0012733497729648102,False,False
58,58,0.0,0.0,2.2444091511727184,-6.822946525282536e-05,False,False
3312,3312,5.817964454951683e-166,6.213753863786137e-165,2.2297269922685605,-0.0003219895547202367,False,False
