,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1183,1183,6.974278977815331e-53,5.781104757170431e-52,9.465116696351378,-0.0030712626563941456,False,False
2780,2780,3.849386393214876e-32,2.5114278627097936e-31,9.057895060438417,-0.014277157634701165,False,False
2476,2476,1.7277463126948635e-31,1.1206389587304056e-30,8.903764337722157,-0.0057300232690686015,False,False
2986,2986,1.6344624552993134e-44,1.2266751163673733e-43,7.739701632981336,1.2300832701204675e-05,False,False
1741,1741,1.0594901653532393e-24,6.2101778425652275e-24,7.7197833950909365,-0.019290841272813136,False,False
134,134,6.92654833562233e-33,4.579561645114585e-32,7.599282482391859,-0.0005771695090214368,False,False
780,780,1.5328886527458714e-45,1.1682031362178227e-44,7.430298581492146,-0.0008231028022397252,False,False
544,544,6.273629921472146e-27,3.8130968182080365e-26,7.419580220949652,-0.0004839738273269053,False,False
130,130,7.063711606471008e-29,4.451641229439814e-28,7.330123528407459,-0.004398813204143299,False,False
1359,1359,4.1095936226168924e-41,2.9932663057847302e-40,7.27691620097268,-9.310230339116578e-05,False,False
2540,2540,4.8102884885463905e-53,3.994787243852638e-52,7.247877498723412,-0.0024441764492672755,False,False
2050,2050,9.186106148099578e-47,7.122839374521191e-46,7.2448984810822745,-0.0012253473971809408,False,False
1146,1146,3.0635728173519155e-30,1.9584825938841095e-29,7.143746766739241,-0.0007442869238841691,False,False
1978,1978,3.1555299790382204e-27,1.9284758867767282e-26,7.056517533028372,-0.0038302352132947304,False,False
1893,1893,4.1493552620850585e-45,3.1406448772476853e-44,6.863938931859681,-0.0016951350643501246,False,False
867,867,7.477749746197528e-28,4.640173480775923e-27,6.4887437224588265,0.0005123371631425983,False,False
795,795,1.7202049713810973e-38,1.1998227139476006e-37,6.452779136436179,-0.004429378641033575,False,False
1461,1461,2.231634068894197e-21,1.2393937710121146e-20,6.339468885550399,-0.0070435958363193555,False,False
2361,2361,4.803198490927338e-22,2.7254930900626004e-21,6.2397031498311515,-0.0029328358647950255,False,False
4193,4193,1.832097673624447e-32,1.2059274020612472e-31,6.230327784342258,0.00452658577945956,False,False
194,194,1.9934880770035642e-26,1.1985206395300185e-25,6.225042053427266,-0.001390182264220446,False,False
1278,1278,1.699034927234894e-24,9.919595508153264e-24,6.034706527920766,-0.0012250518214428924,False,False
2547,2547,1.974793486685606e-39,1.4083479071178408e-38,5.98331480117693,-0.002942129576663082,False,False
326,326,9.811756628520384e-19,5.1516816724452326e-18,5.801361839060471,-0.003939280077543045,False,False
464,464,1.5480880555018591e-18,8.082438578842256e-18,5.7388615621041525,-0.006585817022445907,False,False
977,977,2.844565472099221e-38,1.980941127356871e-37,5.673722062229139,-0.0030255844095138096,False,False
1478,1478,3.375230810847461e-17,1.698318289082137e-16,5.627682775514612,-0.01786251831257581,False,False
890,890,1.8901485167029076e-21,1.0510550512779748e-20,5.620426302121456,-0.0022045123542504593,False,False
1012,1012,3.2628793233283816e-19,1.738246143111271e-18,5.565572298580088,-0.0032737823733559202,False,False
1316,1316,1.2462394921897028e-25,7.382722751731799e-25,5.503181121774296,0.00035645982234383707,False,False
2392,2392,9.715550824078237e-18,4.990311249870475e-17,5.479009196671674,-0.009484708921780837,False,False
4343,4343,1.547649837753312e-17,7.858523690443389e-17,5.457473878470393,-0.011402869361739216,False,False
1035,1035,2.4403613001901628e-20,1.3238736577222093e-19,5.39500132296761,-0.0033573735380799524,False,False
1482,1482,1.830434638285186e-17,9.262666398520593e-17,5.373740378900719,-0.005989456386986003,False,False
2003,2003,2.6787417963405345e-32,1.7528202947188503e-31,5.366188506494105,2.8179800828361662e-05,False,False
2593,2593,2.83890475641327e-21,1.5746883686322295e-20,5.312917416491519,0.00219023277570792,False,False
2933,2933,1.2024367487097863e-28,7.53515722781041e-28,5.272152335167147,-0.0003065998273151481,False,False
487,487,1.067009735994504e-32,7.033715514871782e-32,5.24008770163426,-0.0030803563288168273,False,False
4372,4372,4.5112599198843175e-19,2.3918290959482128e-18,5.235919375592286,-0.006161217511417743,False,False
2857,2857,4.364306188864755e-18,2.2599781348631827e-17,5.167804505989394,-0.005043687118488663,False,False
2169,2169,8.487637107591907e-20,4.55441686824044e-19,5.1340288923054835,-0.00513425404917703,False,False
1493,1493,1.9812906744670682e-22,1.128573649571434e-21,5.108344127189004,-0.0015048430121327849,False,False
2014,2014,3.492629412084236e-15,1.656110189742824e-14,5.069069941967129,-0.01443847073048051,False,False
1643,1643,1.0031284954741264e-15,4.8444564189038514e-15,5.06563882896338,-0.010298866381011868,False,False
1160,1160,1.010791701388414e-27,6.2461022660204775e-27,5.022912039624471,2.716032335759941e-05,False,False
663,663,6.335833087668491e-31,4.0797255664508844e-30,4.933834426404297,-0.0015988480125056787,False,False
1970,1970,6.777468804623134e-15,3.1764023100148293e-14,4.815126298479019,-0.006168959078135892,False,False
1502,1502,3.1191896721612343e-26,1.865216650526563e-25,4.777650875771674,9.926579655786943e-05,False,False
3358,3358,1.5926249202586058e-14,7.355543160820151e-14,4.7321407904227675,-0.004025318446713246,False,False
2239,2239,1.8511801302889636e-17,9.356988986204624e-17,4.709716476432188,-0.0007189674843706053,False,False
706,706,1.9027862288937159e-13,8.445633581393386e-13,4.6913923887283,-0.020759162497813403,False,False
1003,1003,4.4845466493952123e-17,2.2463180116418183e-16,4.684447323514893,-0.005937473818371971,False,False
1808,1808,3.5704250566167326e-15,1.6911938727663265e-14,4.613112174171221,-0.008913457925742052,False,False
3915,3915,7.992874323245042e-22,4.500930369857759e-21,4.594143486086597,0.00044161489442030334,False,False
332,332,3.177338868448929e-16,1.572039709634587e-15,4.571306421795634,-0.0018044312494747347,False,False
289,289,3.4804105479961695e-13,1.5325534256439029e-12,4.515806757761722,-0.017652848724724585,False,False
2108,2108,1.3870277867678731e-19,7.4158417047047665e-19,4.512927144077362,0.006229294435305803,False,False
576,576,2.5236730825403035e-14,1.1559463407965534e-13,4.500282453560867,-0.007846743079441663,False,False
195,195,7.26564421095171e-21,4.010094065746391e-20,4.476844695522488,-0.0032677225124706968,False,False
3934,3934,1.6051168148958235e-17,8.141020557742174e-17,4.448275750447907,-0.0008122354059910495,False,False
1122,1122,8.21287525822368e-15,3.832962686164686e-14,4.4352315193765905,-0.00394885038489654,False,False
2726,2726,4.569755356647159e-19,2.4199550714640436e-18,4.4249125683865085,-0.002263582437991808,False,False
1170,1170,6.257848226448449e-16,3.041971517517556e-15,4.414532560868142,-0.0027841626585316474,False,False
2142,2142,3.424630824547841e-17,1.721225650844577e-16,4.29509277843766,-0.0005953314990560215,False,False
3387,3387,1.6453660289630055e-23,9.493975671016407e-23,4.290491139419608,-0.002179837248259941,False,False
2066,2066,1.1553920849526843e-16,5.761399588602442e-16,4.2556796090642495,0.0022481312213488104,False,False
2662,2662,5.340630466507054e-23,3.0499255993175887e-22,4.207521678822658,0.0024403712692652275,False,False
1772,1772,1.2064962764198182e-31,7.8484084277207215e-31,4.179008147767438,-0.0055773082417009765,False,False
2804,2804,9.787159091803458e-25,5.7442995832077626e-24,4.151601012680158,-0.005063996630780006,False,False
462,462,2.4184974402612705e-32,1.5872059271906682e-31,4.034573419945858,-0.0011635374047332721,False,False
1412,1412,1.3447785085624258e-14,6.236796360691918e-14,3.995889466417407,0.0027320691847983894,False,False
1969,1969,1.032075718544946e-12,4.464958536996295e-12,3.9865171220456257,-0.004973065241626953,False,False
2632,2632,3.749305014061782e-14,1.7015487413152705e-13,3.9796897064015533,-0.00425528148064102,False,False
1621,1621,6.556487671649295e-22,3.706167267829239e-21,3.9608735306506544,-0.002810014813744646,False,False
1138,1138,1.472064767199048e-11,6.101104254352024e-11,3.959148455983946,-0.01372625440999799,False,False
2847,2847,1.0583323191489595e-11,4.431828929292014e-11,3.957760386696061,-0.016430160066776563,False,False
4420,4420,6.766608797491531e-37,4.646683599266595e-36,3.9531276376288056,-0.003841590213335056,False,False
718,718,1.3379205124499266e-11,5.560693018536037e-11,3.914474264093654,-0.0030930256756448796,False,False
2958,2958,1.4871216833488958e-21,8.321513399394388e-21,3.8477996860418586,-0.0026629489003345474,False,False
2174,2174,3.500516337318142e-11,1.430799823983855e-10,3.8471038200514074,-0.01627133114978995,False,False
4052,4052,1.1589833997399623e-14,5.380734843306847e-14,3.825925193196208,0.0035902734649167767,False,False
2678,2678,3.2059664123790926e-14,1.4609342328410573e-13,3.8124484721126706,0.0016814626262206577,False,False
1784,1784,1.748953087793168e-13,7.786170910886819e-13,3.808665361344051,0.003978434126841219,False,False
219,219,4.966244536119599e-27,3.0226060923259423e-26,3.783653864302326,-0.001649422975730814,False,False
1915,1915,5.549303681084745e-12,2.343684054663453e-11,3.78311430837187,-6.103864717997651e-05,False,False
1841,1841,1.219526939984876e-41,8.911773345975007e-41,3.7457399503287756,-0.0024946115812758962,False,False
2217,2217,1.7188247537727553e-35,1.1659142566431072e-34,3.734206236161915,0.0015146617708209796,False,False
1129,1129,1.330076922333645e-17,6.784766665819041e-17,3.7255024924841584,-0.0035755611235273,False,False
1344,1344,2.037720673782317e-27,1.2504962643114412e-26,3.7177201994770135,0.006859252932527043,False,False
2525,2525,3.038446633975491e-14,1.388870205221513e-13,3.717538447531377,-0.0010636594498161286,False,False
4379,4379,1.0275306076681048e-20,5.629245980110222e-20,3.689130013999207,0.00020609548122124156,False,False
546,546,1.8427617854987077e-15,8.813122295985746e-15,3.6841249775810265,-0.00011206318104149422,False,False
640,640,4.6191139095429e-12,1.9582751049712886e-11,3.6838006445019813,-0.009686896562258119,False,False
614,614,4.754619009176542e-16,2.32395734408926e-15,3.657683429009907,-0.0045755545754425425,False,False
2152,2152,3.451716053634809e-27,2.106589893722453e-26,3.639998857449637,-0.0010094373873267082,False,False
114,114,2.0699450817802384e-12,8.877187257094207e-12,3.5999925568627984,-0.004107727839244853,False,False
521,521,4.7241728076665935e-15,2.2234639602185035e-14,3.598741939334158,-0.004238494102008134,False,False
1640,1640,4.8363008993480724e-14,2.1814908523658362e-13,3.587897951511474,-0.00010083452186554747,False,False
400,400,5.00569712316669e-39,3.5527655460430674e-38,3.569250940180108,-0.001416313333253364,False,False
15,15,4.865766386612972e-15,2.2876825455789878e-14,3.5620744911205673,-0.00505089791394193,False,False
3035,3035,2.3666940042558826e-20,1.2854793961991305e-19,3.5519002420333554,0.0010352219420710317,False,False
1096,1096,3.1856075868745596e-24,1.8550005908890783e-23,3.5451980835036894,-0.008033390086346515,False,False
1435,1435,9.368601566686806e-21,5.1452035551037675e-20,3.5373329903814197,0.0023411128020851277,False,False
2711,2711,1.0439336710933089e-15,5.036044843287265e-15,3.5372160650202784,-0.00420539280564808,False,False
78,78,1.33204066927115e-37,9.247276083705812e-37,3.4908559997587596,-0.0009797510107463128,False,False
3212,3212,2.5192355358836224e-30,1.61514624616608e-29,3.482260451139239,0.005409724206725611,False,False
1120,1120,1.7760559649866243e-13,7.891016652435572e-13,3.4590034396449894,-0.0033007025947133888,False,False
181,181,1.1571393483839363e-19,6.194180873337143e-19,3.43150323104046,-0.0027404656515271743,False,False
2655,2655,6.517047191586281e-16,3.1645071772915683e-15,3.4242199377590707,-0.0026090522905112814,False,False
4332,4332,6.967034263071257e-16,3.379315854893624e-15,3.4169792027938906,-0.0006035201468198373,False,False
3088,3088,7.203332118537006e-24,4.172673351063875e-23,3.4154407944686698,-0.003086452019771543,False,False
1896,1896,2.7511126708340663e-12,1.1741780592234155e-11,3.415065338203041,0.0005981744662303789,False,False
264,264,2.1502908528524972e-16,1.0662658771454962e-15,3.4144007495417936,0.0006653215452714842,False,False
894,894,1.5722161881655343e-10,6.187206841469858e-10,3.408796440920296,-0.011117365304539434,False,False
206,206,5.987305932033653e-11,2.4030352534801735e-10,3.359954555830441,-0.011197690710481453,False,False
3133,3133,1.514096063892771e-13,6.76093347927194e-13,3.348073222402331,0.0016697255986883978,False,False
1536,1536,1.459449392255149e-09,5.499858905673984e-09,3.3301516768879673,-0.013054442108664199,False,False
1423,1423,4.258399536470901e-11,1.7310218792808978e-10,3.3104558797458568,-0.010140752362476104,False,False
1638,1638,9.294633209154484e-12,3.9032188419918124e-11,3.3009703056245066,-0.00985498965652289,False,False
26,26,1.9489755895069934e-09,7.264512201492929e-09,3.2856181802422255,-0.018908543328353906,False,False
8,8,2.042457900817346e-31,1.322833885325287e-30,3.2465868439286707,-0.0027849106120406567,False,False
1825,1825,6.375889089419565e-19,3.3643794803196114e-18,3.223235914959339,0.0004761996361357648,False,False
3503,3503,9.456680466767727e-50,7.556840164361333e-49,3.2099679277411775,-0.0006742296435193413,False,False
2370,2370,8.195475034027831e-10,3.1201795695103387e-09,3.199525656456933,-0.010848735288521944,False,False
1696,1696,2.0482181170158313e-47,1.5965321217370768e-46,3.1919510924175127,-0.00044734847238208676,False,False
2436,2436,1.315833598851777e-09,4.97129989770276e-09,3.18605594568184,-0.01651891459443648,False,False
3,3,1.485500217475688e-09,5.588549929080848e-09,3.1606389871122715,-0.014579502244002968,False,False
1721,1721,4.13670554251663e-20,2.235934638126689e-19,3.1577731723484144,0.002204680701494208,False,False
2596,2596,6.3438352395584735e-09,2.2896555620924692e-08,3.152710963119545,-0.019533064296654436,False,False
379,379,1.6251510040722875e-45,1.236394847789927e-44,3.135777767637521,5.925627701971765e-05,False,False
3386,3386,1.7607459631251483e-11,7.290768233145418e-11,3.134030977473912,-0.004723914998941983,False,False
3258,3258,4.088866428163453e-13,1.7933695498845235e-12,3.121581780845906,9.263737842145e-05,False,False
1054,1054,1.875725999637499e-21,1.0443421825049383e-20,3.1198062144914105,-0.0021858461441640947,False,False
931,931,8.489568588121644e-58,7.454378110083887e-57,3.113147194047593,-0.004890603010722651,False,False
573,573,6.087977918102693e-11,2.4390338945112954e-10,3.0909498796891652,-0.001483179129379908,False,False
583,583,5.081353783407354e-09,1.8414726639216046e-08,3.0741063516617344,-0.020425248282922706,False,False
3388,3388,7.717593013807361e-09,2.7719697461880444e-08,3.058094906602311,-0.02167146120527443,False,False
1828,1828,8.200562225663049e-30,5.212460367470805e-29,3.0565162227618483,-0.0017469189708879031,False,False
1692,1692,6.021589963533035e-16,2.9303312385517277e-15,3.0493387538989327,-0.003849436157597993,False,False
3198,3198,2.5018135117149192e-55,2.1376071985671896e-54,3.027780682930388,0.00045678771591093834,False,False
2710,2710,2.976106506624816e-09,1.0955129419166577e-08,3.018740796474291,-0.00556363140671356,False,False
3130,3130,1.1168397876267037e-36,7.657591321644205e-36,2.9892796235458285,-0.001736627406703199,False,False
1813,1813,9.555737817093778e-13,4.142062743546113e-12,2.9742631501867067,0.005687391471035132,False,False
1698,1698,2.016709008751547e-12,8.665607471840544e-12,2.969497358095153,-0.0007613592243628413,False,False
2561,2561,4.462515306434788e-18,2.308143830790426e-17,2.964965089219857,-0.0076843200033742285,False,False
1207,1207,4.253317551983683e-13,1.8636577794342706e-12,2.9644100938156432,-0.0008879777238481939,False,False
1306,1306,1.4052009534071404e-08,4.9707864936209596e-08,2.94271441455677,-0.021368720906368883,False,False
1459,1459,5.303926292693362e-13,2.3194236730744693e-12,2.93445505893318,0.003324000852316616,False,False
2122,2122,6.547446526195162e-10,2.5099486553826665e-09,2.929826246992196,-0.005023778611318172,False,False
2390,2390,1.7796039698434085e-08,6.265277684638879e-08,2.9178233225017327,-0.02171716877677207,False,False
1051,1051,1.3831536000377341e-12,5.966360626182187e-12,2.916590824957698,0.00535990930430703,False,False
859,859,1.3765767164773648e-13,6.159245066776367e-13,2.9109691958021986,-0.0010881112841441979,False,False
1880,1880,3.994278082084857e-18,2.070779173710971e-17,2.9033215317462817,-0.006010621794346838,False,False
3292,3292,1.2556853163462321e-08,4.452521836014612e-08,2.9012419269373497,-0.020242243631419493,False,False
3577,3577,1.312724907601816e-08,4.651066000378683e-08,2.8941782528138837,-0.015336420389159583,False,False
1370,1370,9.151370371086304e-40,6.56858458137907e-39,2.871300583150329,0.0010086309484717048,False,False
233,233,2.2310845575623585e-24,1.3008804054133278e-23,2.8711795127385793,-0.0008436473318212965,False,False
430,430,4.0532546715564e-13,1.779506966968882e-12,2.8701473266126794,-0.0011404078210812043,False,False
3014,3014,2.9523641099146675e-15,1.4044275953266455e-14,2.8554685959408155,-0.0016043752117239785,False,False
2161,2161,1.9496044367231442e-11,8.050271851636552e-11,2.853057407909213,-0.002530033499915772,False,False
1254,1254,9.143997046619173e-11,3.63713329258093e-10,2.8417315079036305,-0.0024669335728412164,False,False
973,973,1.3637091466015804e-26,8.243482637212003e-26,2.8407209069440285,-0.004610502295619876,False,False
1615,1615,3.212797725078418e-11,1.3144070250942367e-10,2.832087103101558,-0.0020597089016303914,False,False
3347,3347,4.218832400446316e-08,1.441867104244845e-07,2.818637485408905,-0.023650825179755797,False,False
903,903,2.327017988331682e-20,1.2654762450621375e-19,2.797565841839651,0.0006176742675195156,False,False
2806,2806,2.3549479236190174e-17,1.1889810937090107e-16,2.7713247118399194,0.002301445625881146,False,False
4263,4263,7.094296277196051e-09,2.554291601262727e-08,2.769432806947898,-0.003869277431984213,False,False
662,662,3.835656000939683e-12,1.6292370566132897e-11,2.7692482735943655,-0.0022390998925960574,False,False
1237,1237,1.8713399760883874e-14,8.624858416764217e-14,2.7657756848497703,0.005023606101199822,False,False
1039,1039,6.601258101389439e-09,2.380632284454e-08,2.764577619819583,-0.011643598416491074,False,False
1641,1641,7.421545594963498e-12,3.122530973335495e-11,2.7598757233136686,0.0017082584253519102,False,False
862,862,2.4530355588161003e-09,9.09752670101831e-09,2.753965506934118,-0.008149240539713259,False,False
