,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2264,2264,4.14397874214163e-37,1.279478634561172e-36,11.014043321952512,-0.002001888877598527,False,False
2986,2986,5.461043044991305e-42,1.715941601760705e-41,10.206222260908667,1.2841627659796948e-05,False,False
3915,3915,7.781875964858e-40,2.4229064409154938e-39,9.970103860040316,0.0004495812767113666,False,False
966,966,1.5079782733001982e-53,4.9047931685745105e-53,8.833655638313838,-0.0030395905706235102,False,False
2441,2441,2.9001340841297074e-21,8.291696097675862e-21,8.825248563365204,-0.013300445996145258,False,False
1893,1893,2.3205453831034216e-33,7.081169737038807e-33,8.823400538570116,-0.0016942334967553103,False,False
195,195,5.42197708006345e-26,1.6017183621490632e-25,8.476394171087605,-0.0032669311691622526,False,False
773,773,7.146021737580822e-34,2.1836158583267944e-33,8.407712812130603,-0.0013479674798837459,False,False
2238,2238,1.9035806633956744e-28,5.706888588034401e-28,8.366983497823153,-0.002257111504357333,False,False
2370,2370,1.4243347735012812e-19,4.0078020257543967e-19,8.303323907315198,-0.010853002470113232,False,False
1278,1278,1.9639388939151296e-22,5.66977290816434e-22,8.194082706829796,-0.0012257148598570286,False,False
2505,2505,2.6495133055243826e-36,8.152207490612764e-36,7.9514108465876685,0.00019107966113486585,False,False
1432,1432,1.9465901893203467e-23,5.652745236045949e-23,7.888075369477796,0.00048572108746064435,False,False
2392,2392,1.8560460990189237e-17,5.128366180311616e-17,7.558699623404149,-0.009484715871904798,False,False
2726,2726,7.332482580344968e-25,2.150377564651663e-24,7.526594614256743,-0.002263581166015608,False,False
923,923,2.0517969167908447e-18,5.722620025927008e-18,7.4636249643994725,-0.0038103503314299934,False,False
894,894,1.3922953072533293e-16,3.8067495693086415e-16,7.35298374451918,-0.011117431214132315,False,False
626,626,7.8305715777229e-18,2.171737173522025e-17,7.126660079428551,0.00048418690741825615,False,False
2484,2484,2.226585268038568e-20,6.317189237481072e-20,6.6173080027787865,-0.0026609370095131823,False,False
