,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1161,1161,1.919007773828029e-20,1.1616010271277839e-19,11.675672602483925,-0.00905178964467667,False,False
1780,1780,1.2299543134386153e-17,7.199851139140669e-17,10.118678175334189,-0.008175941967590916,False,False
2140,2140,1.0224775016256545e-21,6.292060304325185e-21,10.03973971733515,0.00048028312221059816,False,False
1794,1794,8.755479009326172e-23,5.455903680005075e-22,9.557472699294106,-0.0012785533809519115,False,False
528,528,5.114311854705331e-19,3.0500520228799715e-18,8.354102160522684,-0.00042449343075741993,False,False
1707,1707,6.20762570963497e-16,3.500061044150783e-15,7.543587010735483,-0.004656231256749527,False,False
2190,2190,9.338559706744067e-16,5.238790502154532e-15,7.212662351958767,-0.0019508485012619241,False,False
67,67,2.275888610209129e-09,1.0424508345524907e-08,7.07941405091557,-0.01577433880671498,False,False
2893,2893,4.2300189947160615e-10,1.9972342607357557e-09,6.461736821903236,-0.004327932824931961,False,False
3995,3995,5.021295905570292e-11,2.465151128005393e-10,6.3194334643248835,-0.0038968226950804787,False,False
1537,1537,1.5103321727125734e-15,8.430158094675834e-15,6.239295952017523,0.00292366296917298,False,False
2992,2992,2.726633959026022e-08,1.1659706140474125e-07,6.024343475473268,-0.01285362744984188,False,False
3549,3549,3.83176878538541e-17,2.2254312043748204e-16,5.991801795321346,0.0013992978419704728,False,False
1221,1221,1.2037206159159015e-07,4.975005299083117e-07,5.672717402732678,-0.020684191765886935,False,False
1403,1403,3.829718876584891e-10,1.812081040326589e-09,5.493641982447082,-0.002771234681887202,False,False
3160,3160,1.0875091601424232e-12,5.631472259338912e-12,5.448476861713155,0.0028937577813568822,False,False
1484,1484,2.993992710111134e-08,1.274167587262813e-07,5.389970236552282,-0.013507357911635518,False,False
687,687,5.309914521175583e-11,2.601097047142571e-10,5.335511739363319,-0.0007538788444738415,False,False
1114,1114,5.3370737545301904e-17,3.095642126811702e-16,5.151468642195503,-2.652289035045283e-05,False,False
340,340,1.610046250712677e-08,6.985776847574632e-08,5.003872749974438,-0.0019386306434809046,False,False
2603,2603,4.2322275712309854e-13,2.2174277239362345e-12,5.00283049614539,0.0013944523529756778,False,False
1408,1408,2.8634478519008053e-13,1.5109618534436196e-12,4.959459856162614,-0.006695070043698809,False,False
2216,2216,1.2110056817985626e-15,6.767922319787438e-15,4.952178365340023,-0.001769758625387962,False,False
2685,2685,6.49947849797322e-11,3.169833476014821e-10,4.936637162500107,6.856865751192617e-05,False,False
1181,1181,8.509070755685502e-09,3.7617712803493224e-08,4.9039459954983196,-0.0019111999974433607,False,False
212,212,3.7116537630962957e-09,1.6896391054750863e-08,4.8583449288078295,0.0024832825233074025,False,False
2994,2994,2.594368076538907e-11,1.286470687953389e-10,4.844198465125928,0.0018488114420196768,False,False
2088,2088,5.8586086240970805e-09,2.623971584361223e-08,4.826671708809752,-0.003714199082693482,False,False
342,342,2.2862517557037434e-09,1.0461191092267489e-08,4.820448224016233,0.0007276682085479397,False,False
26,26,4.6231002936468857e-07,1.8339673754172424e-06,4.759632610842225,-0.013641197734267913,False,False
389,389,2.926300102715851e-09,1.334861535561245e-08,4.675534442215614,-0.001304009602064303,False,False
2255,2255,2.43169021222562e-11,1.2105885210686476e-10,4.670813690725996,0.0030536220624854398,False,False
1043,1043,2.6643849798580835e-22,1.653332746579534e-21,4.651789187595083,-0.0004034782025018617,False,False
4435,4435,2.9104161894662386e-06,1.097706207962521e-05,4.645494596708926,-0.020455422110927147,False,False
4024,4024,1.1067499000797e-12,5.724435164207342e-12,4.612509702150068,0.00016237431250692557,False,False
2439,2439,1.3566513941520818e-07,5.591467666250185e-07,4.5941069787381075,-0.0040375911223873035,False,False
117,117,1.3908176525409606e-18,8.250204045713601e-18,4.584387555238091,-0.0018063236960943808,False,False
592,592,6.991617762703995e-15,3.8397722768472005e-14,4.512121145872527,0.0021839825016062987,False,False
3337,3337,1.0850231929151013e-08,4.777758222122691e-08,4.279785740054002,-0.00316170035142716,False,False
1203,1203,2.790054738702552e-05,9.624389133583415e-05,4.036298553731602,-0.016463760828579272,False,False
1430,1430,2.826457680742724e-12,1.4467686031728021e-11,3.9866861077644358,-0.002460046534589276,False,False
1636,1636,1.4998284658415513e-07,6.153035894491239e-07,3.946336792483102,-0.006653970396874615,False,False
4021,4021,2.290312972166251e-06,8.719674837476138e-06,3.92882080691634,-0.004333975999869549,False,False
1986,1986,2.307847259237874e-13,1.2206863539040324e-12,3.8731348965884114,0.0012776058311202586,False,False
771,771,1.314274848852405e-08,5.764386133712967e-08,3.8686192164810924,-0.005179567082609138,False,False
3150,3150,1.6270760758339813e-11,8.14087725780448e-11,3.859661471559096,-0.00033501823969447767,False,False
1358,1358,2.853586233100227e-06,1.0781023498013867e-05,3.8552966825467037,-0.006014285003528252,False,False
133,133,8.332730911439075e-09,3.69115886735033e-08,3.8162712347074947,0.002434928339249514,False,False
2192,2192,1.869541779541954e-05,6.576701604516945e-05,3.8034627951255717,-0.020564624884405268,False,False
72,72,1.9088385047799124e-13,1.0156849672739101e-12,3.7865706319496337,0.0005025240395968955,False,False
2998,2998,8.022072155325383e-12,4.054842615029656e-11,3.7713521176046636,0.0006871401615057616,False,False
2210,2210,5.351277723971565e-06,1.979863781770526e-05,3.757557891354862,-0.009680765780920675,False,False
1738,1738,7.878231486828545e-14,4.222313931963718e-13,3.742292094629218,0.00285257846083328,False,False
2701,2701,3.520518849064449e-11,1.736033878623013e-10,3.7219851281655796,-0.004247178307727963,False,False
190,190,1.473327173168518e-08,6.436570924668364e-08,3.701436336711816,-0.0022166193707618123,False,False
114,114,2.2593739071691764e-06,8.61665087515249e-06,3.677816356336776,-0.0019776583882155224,False,False
3231,3231,1.8315586247604542e-05,6.45330291023846e-05,3.656141261923235,-0.011032117884891921,False,False
3828,3828,1.8378821477544804e-05,6.47045196709442e-05,3.6155231908313734,-0.011069325052421402,False,False
978,978,3.835032463439793e-08,1.6212225723180783e-07,3.611941195466191,0.0008473128455313576,False,False
3721,3721,6.458546828498814e-07,2.541658419753785e-06,3.5932288957248466,-0.0018596548572058108,False,False
3630,3630,4.5747180289310785e-05,0.0001528230992672239,3.5715370477826056,-0.022561420701220157,False,False
2134,2134,0.00010358469888417968,0.00033181457616612137,3.540385499702668,-0.01965347373020605,False,False
982,982,9.257306363342374e-09,4.0884902755795396e-08,3.502118488215812,0.0006023022569299286,False,False
2570,2570,4.557635606726084e-05,0.0001523670052722648,3.499996028487779,-0.010147240717853001,False,False
632,632,7.577368651197446e-09,3.376755157198621e-08,3.4914371993398805,0.0002385015526663375,False,False
1364,1364,7.27757562895701e-05,0.00023688108805462266,3.4621903896854773,-0.021715085666126815,False,False
603,603,1.1589189563225779e-05,4.1457946239462266e-05,3.4332458250961104,-0.0026184282083165163,False,False
413,413,1.943181338461788e-09,8.937427211993503e-09,3.428982513237607,0.0014503550508134188,False,False
1769,1769,2.9353720144250645e-07,1.184546581297962e-06,3.4148365260349838,0.003924532314072608,False,False
2037,2037,8.938848957761203e-12,4.502869151851817e-11,3.3693881112461703,-0.00047823470715544717,False,False
794,794,3.208470451872755e-08,1.36413724571011e-07,3.320028297716013,-9.673453696731069e-05,False,False
4286,4286,1.277866100390364e-11,6.415320998908912e-11,3.3160792307432865,-0.0022100603963955607,False,False
2802,2802,2.771949769332585e-08,1.1819359717029439e-07,3.307709378617843,-0.006616006113545127,False,False
3060,3060,9.609415363883944e-06,3.4682885834066904e-05,3.3064938442063636,-0.00721820064043621,False,False
2447,2447,4.1274553038744545e-05,0.00013861136746118067,3.2995173814102583,-0.009930599068977208,False,False
1902,1902,1.0991868884752846e-13,5.869816521028473e-13,3.2961292083092246,-0.002376522367291998,False,False
942,942,1.4269199955301157e-07,5.870190314944726e-07,3.2930804363355723,0.0018168763857661857,False,False
4214,4214,1.316691595904591e-08,5.7692906909310623e-08,3.2764827466746587,-0.004133383071994111,False,False
