,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1651,1651,4.598636112209889e-26,1.8831097001427223e-25,6.775721265484183,-0.005947185753462411,False,False
1652,1652,1.4967571374085365e-28,6.191891956709616e-28,6.177779393654501,-0.004516482115587455,False,False
1374,1374,1.8255875209043942e-24,7.414154803819217e-24,5.9598382435837935,-0.0027646211031826674,False,False
4005,4005,1.0073520569882363e-18,3.885126032290567e-18,4.470219540881132,-0.002705185314637072,False,False
2700,2700,1.9808309991932514e-35,8.478643669957241e-35,4.317489525490366,-0.0009627238920081535,False,False
806,806,6.752663820272823e-27,2.777970866062236e-26,4.015726504983346,0.0011206865933383698,False,False
1373,1373,6.319349893235274e-41,2.766194243905844e-40,3.736339105207072,0.0005759310347204175,False,False
1597,1597,7.012812525032255e-44,3.1126799249468838e-43,3.4300616953023733,0.0005934189335413302,False,False
4011,4011,5.923276643260633e-23,2.373049425248602e-22,3.355824392469971,-0.0029922434474218464,False,False
919,919,3.5180181511026855e-21,1.389382635142154e-20,3.3438920090822655,0.0006629822396903417,False,False
3308,3308,3.6085658886229655e-32,1.5153930286532926e-31,3.2643975506553966,-0.001019594714397466,False,False
3397,3397,7.80592992224749e-09,2.5482547130452314e-08,3.1802036797298463,-0.015704743395593142,False,False
292,292,4.478399245083571e-20,1.7592862816893286e-19,3.111500178342449,0.005848188042032533,False,False
2875,2875,1.0878592601879317e-21,4.3116491463113114e-21,3.0500843138060856,0.003922769067402905,False,False
3078,3078,2.135700227012304e-09,7.091865552029646e-09,2.997999921225538,-0.004781670009143346,False,False
1916,1916,3.0463198305202924e-23,1.2215522569496083e-22,2.8680915232620965,0.0001464832614094377,False,False
2652,2652,9.153335169822512e-18,3.493837470749263e-17,2.8209463704675817,0.003699500110298408,False,False
530,530,3.0039813738790355e-32,1.2626952927289078e-31,2.7877576430450413,-0.0005695629279238446,False,False
361,361,2.0532726352518823e-16,7.757389726551116e-16,2.7362476768851223,-0.004544664596277261,False,False
782,782,2.4270453531183364e-34,1.0309141973140313e-33,2.7231903805067983,-0.0008419834875424501,False,False
58,58,1.9426513335356292e-53,9.143220206460593e-53,2.6490136370653303,0.0014137148550716263,False,False
2980,2980,3.7832542312192014e-24,1.5280907772097192e-23,2.608540848653689,0.004013246196041031,False,False
796,796,1.345965261425557e-21,5.3298784817413094e-21,2.5803258804880773,-0.0009256712600506384,False,False
3279,3279,4.427083520290743e-22,1.7577776658312575e-21,2.58000714289145,0.0003691794568925818,False,False
514,514,3.9438317350686107e-16,1.4849529151618507e-15,2.497607618691508,0.0034043288086928066,False,False
105,105,1.7082676987216528e-13,6.180646079332495e-13,2.4959529897309305,0.0025913575150268062,False,False
3146,3146,7.459269206288708e-07,2.251462845349234e-06,2.4102510056271935,-0.01339498143371284,False,False
1593,1593,1.6000204848887665e-08,5.170102555898756e-08,2.4059406561777754,0.0006447484918690616,False,False
492,492,2.7222909661878218e-08,8.701538678253591e-08,2.378698772232914,0.00037432867012674245,False,False
2937,2937,6.412759658718243e-07,1.9448389872822632e-06,2.374379838430712,-0.008361499535991097,False,False
1972,1972,2.7690537695442647e-07,8.531834880780283e-07,2.354323818923719,0.008799266344075506,False,False
1437,1437,2.8055037869890987e-27,1.1552227363848531e-26,2.3400538253437992,0.005771753987198819,False,False
2452,2452,7.488984888817886e-07,2.2573649837868296e-06,2.3139310672741265,-0.005595206769625606,False,False
634,634,9.438554839113044e-23,3.7677896810583337e-22,2.2909511428398144,0.001986542348453875,False,False
611,611,2.7986807668631335e-20,1.1013763195015856e-19,2.270517639217069,-0.0015524790288746542,False,False
3090,3090,9.132186549206715e-18,3.4887622388757893e-17,2.2127941797166577,-0.0005471420638665046,False,False
1385,1385,4.606612228763153e-32,1.9326891532006316e-31,2.2095176697107326,0.0011439295974725637,False,False
3200,3200,3.634753756190716e-10,1.2384364216836925e-09,2.206452308717176,0.004921496201651554,False,False
3311,3311,6.753584597174235e-13,2.4198529326810583e-12,2.2039392632887926,-0.0028232597057831956,False,False
534,534,7.215828274009753e-17,2.742508556152723e-16,2.2031301227056397,0.002808816747182954,False,False
2774,2774,1.2515238771709968e-18,4.8143035378967435e-18,2.1893296635963106,0.0017863696131943086,False,False
1543,1543,1.4203766492109302e-36,6.115051795004034e-36,2.1860686767041444,0.000560151445574226,False,False
3845,3845,1.3430886840604213e-08,4.3557248345112785e-08,2.1697151994682993,-0.002259729227542262,False,False
1519,1519,2.535912417323879e-29,1.0539811852357338e-28,2.1486250677640775,-0.004126955251267874,False,False
1802,1802,1.8365039171699887e-08,5.921325764866662e-08,2.1445855177627804,-0.0031374306209461912,False,False
384,384,1.2382597853473711e-08,4.021628820393545e-08,2.1333661925843477,0.00022248865743688083,False,False
2312,2312,1.465618733644901e-45,6.570881971326231e-45,2.125079593162162,0.0012898314719836683,False,False
1870,1870,6.072822944313143e-35,2.5894004166586655e-34,2.119822351576371,0.0021432193287054323,False,False
2299,2299,6.149453922237406e-11,2.1362020153636272e-10,2.115648230735171,0.00452513498727798,False,False
3041,3041,5.7823873846558405e-09,1.901639315323901e-08,2.1155087771163457,-6.76970804674255e-05,False,False
4260,4260,4.1375902959667945e-16,1.556588796357364e-15,2.0982229815942697,-0.0027932297607073733,False,False
3291,3291,1.6857192367745347e-06,5.016510762886308e-06,2.0884055776969954,-0.0026101354636458556,False,False
3260,3260,3.944365701397007e-24,1.5902737578318426e-23,2.0585599536759025,-0.00268193910762688,False,False
2059,2059,1.1661142106118108e-22,4.646677522644193e-22,2.0372266344725176,-0.0037563081515974706,False,False
3378,3378,4.480440037386704e-13,1.611870047458229e-12,1.9892685557970127,5.91155479205659e-05,False,False
882,882,3.752762711801326e-33,1.5804288842211648e-32,1.9830846508623483,0.0017795914612440018,False,False
82,82,6.209954458917591e-18,2.3764709440974033e-17,1.9760299057287751,0.0017283797660886148,False,False
3925,3925,5.1731908354851735e-06,1.5022540445791258e-05,1.949042330715865,-0.00463762193084224,False,False
1812,1812,1.9159232266638058e-08,6.168439779758905e-08,1.939876022231625,0.0007314390658432596,False,False
