,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1539,1539,9.905063663056672e-246,6.198337726050815e-244,11.623883122864305,-0.0037512455331227823,False,False
1462,1462,8.996365387726856e-265,6.661808569611737e-263,11.447963402162282,-0.00017394546305217473,False,False
2110,2110,1.126297807401566e-232,5.957310902720426e-231,10.996957065942063,-8.325922416795029e-05,False,False
3377,3377,7.421599715708825e-195,2.6808266290157974e-193,10.039319324555718,0.0011125948839145194,False,False
2677,2677,5.6897884041364296e-129,9.503657849465472e-128,9.45565208530283,-0.005495327693260388,False,False
1930,1930,1.762408328762052e-98,2.163088454334198e-97,7.932318582250327,-0.007199511611068556,False,False
4193,4193,2.044526389736112e-149,4.186097119630206e-148,7.8907876312785294,-0.000475232973753667,False,False
2484,2484,2.625414622379831e-151,5.554627222492184e-150,7.833604990706165,-0.0006937268693718093,False,False
987,987,4.037082735054996e-87,4.30138095727802e-86,7.69449859712687,-0.011433187834839494,False,False
2761,2761,1.3440029290721764e-87,1.438892774425947e-86,7.5964124036675145,-0.005775120639556652,False,False
1188,1188,3.4740278120599745e-225,1.6961654471409305e-223,7.496515308136983,-0.0012896952101076817,False,False
2986,2986,1.3845926823766713e-143,2.6746718642606743e-142,7.449030855238099,0.0033321003070407584,False,False
781,781,6.639471447205583e-251,4.214167377133487e-249,7.427783882074363,-0.0036682187916062814,False,False
2109,2109,1.7374683098850464e-199,6.654803190361432e-198,7.351834967592139,0.00485927817395107,False,False
1751,1751,7.863802304426225e-87,8.338633326626663e-86,7.314100216545126,0.001672720483380033,False,False
293,293,6.696326333673361e-146,1.3401701756986823e-144,7.068655289229882,0.004119479038213816,False,False
1170,1170,4.17622360264376e-91,4.685596329935916e-90,6.983470557056567,0.0032308018355886245,False,False
4210,4210,1.8885284848145706e-72,1.635620284216596e-71,6.651076473808229,-0.006852184244600365,False,False
3900,3900,2.971718598981836e-92,3.3941762815620303e-91,6.554036939889735,0.0008767449898310145,False,False
1346,1346,2.3932503653291846e-92,2.7405183951437026e-91,6.540796457803181,-0.0035777003495622503,False,False
