,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
136,136,0.0,0.0,6.463838418993648,0.000744966517835996,False,False
1684,1684,0.0,0.0,6.391408033071932,0.000886267225290463,False,False
1275,1275,0.0,0.0,6.212738331280445,0.0014411009220136328,False,False
2053,2053,0.0,0.0,6.159185492043697,-0.0012115811870010706,False,False
2499,2499,0.0,0.0,6.086886855581459,0.0015140682839322184,False,False
1342,1342,0.0,0.0,6.084880978928783,0.0014250456736615152,False,False
2005,2005,7.3192760899631664e-270,1.1136830023187106e-268,5.853461811858391,-0.0018253509810156332,False,False
3157,3157,3.4942406856184785e-296,6.185223651873665e-295,5.785220869567116,0.00203633941132203,False,False
452,452,2.5875500534288163e-266,3.8449782232054285e-265,5.756621476845259,0.002545235832295961,False,False
3176,3176,0.0,0.0,5.713183668232021,0.002230918900283277,False,False
1097,1097,0.0,0.0,5.687860878225487,-0.0008891428888520708,False,False
3025,3025,0.0,0.0,5.64659323269216,0.0014229473870550763,False,False
4045,4045,0.0,0.0,5.5882905766038835,0.000631773034135058,False,False
3160,3160,2.6499095321839603e-297,4.728332550800536e-296,5.516602467803293,0.0016336653958913816,False,False
1677,1677,1.2523398153198065e-274,2.0159948548789497e-273,5.513576938260398,-0.0012275553867050482,False,False
322,322,0.0,0.0,5.506631074940002,0.00016622806219723785,False,False
2583,2583,1.3014471073563094e-262,1.8773797071376891e-261,5.505524839533989,-0.0013977198924779027,False,False
2163,2163,5e-323,9.63e-322,5.4705125039821825,0.0032804941516010877,False,False
1918,1918,1.560711648437143e-226,1.910259463913561e-225,5.383812588531391,-0.005561351920183921,False,False
2216,2216,0.0,0.0,5.343158641589838,-0.00027115742379976715,False,False
1510,1510,0.0,0.0,5.251058685880269,0.0024259575846770354,False,False
2339,2339,4.422619954081689e-272,6.870524634959771e-271,5.233474276747138,-0.0009462075684614768,False,False
4224,4224,2.1967757485608628e-197,2.2541050001976705e-196,5.217900935992956,-0.006497349046814191,False,False
2278,2278,2.1791819034802062e-184,2.118622581436008e-183,5.192782966574684,0.0007361477802679955,False,False
2959,2959,8.549454795185433e-206,9.219715450244875e-205,5.18214071238604,-0.0012339892696058424,False,False
2463,2463,0.0,0.0,5.057090407117183,-0.00444545439796154,False,False
2792,2792,3.4250697683599955e-266,5.072528326941153e-265,5.02803842055175,0.0011371044299003513,False,False
4286,4286,0.0,0.0,5.0273204574778925,0.0005698306187432861,False,False
4024,4024,0.0,0.0,5.024096685683132,0.0006870374200006885,False,False
1910,1910,0.0,0.0,4.975346762941367,-0.003465259902415016,False,False
1430,1430,0.0,0.0,4.929858061216589,-0.001326518207249397,False,False
2645,2645,0.0,0.0,4.891488495332951,-0.0010390473804883643,False,False
2482,2482,0.0,0.0,4.881129045115821,0.00038244224713941677,False,False
1659,1659,3.0520752220253877e-239,4.035824467696071e-238,4.852412070005352,0.00017427222347739246,False,False
1114,1114,0.0,0.0,4.8357673310808735,0.002931503717892081,False,False
3337,3337,1.1328952668521121e-214,1.3073905637984245e-213,4.829352227718871,-0.001713010984263394,False,False
3721,3721,9.554560534479865e-207,1.045588976716602e-205,4.806891798715225,0.0011319472011501047,False,False
117,117,0.0,0.0,4.803604909287598,0.0030443108414799636,False,False
1354,1354,0.0,0.0,4.712338467495435,-0.0007267136437649341,False,False
