,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1164,1164,2.1108461900434107e-28,8.8979977441773e-28,10.781065425060001,-0.004994299089772841,False,False
574,574,4.6198444667980695e-22,1.8987945389439244e-21,10.319678420263102,-0.01227489600535932,False,False
322,322,6.148848265003509e-36,2.621816971344586e-35,8.22756386203037,0.00016568521863104604,False,False
1466,1466,3.3097369487769315e-29,1.3991590165000864e-28,8.218652531262178,0.0005197955349931088,False,False
1296,1296,7.120946507396423e-22,2.9240633394050193e-21,8.0350983468445,0.003005417991679196,False,False
297,297,2.0112855214912347e-15,7.784095445980448e-15,7.036136415925706,-0.0045192161094718105,False,False
831,831,1.236808802173311e-13,4.672739377598657e-13,7.003261385362195,-0.005095341325917185,False,False
2286,2286,5.249708819773101e-25,2.1962764864643963e-24,6.949690624995783,-0.0018514637113509107,False,False
1046,1046,7.69415865902199e-18,3.0604428757416924e-17,6.807602756304503,-0.001286015355563521,False,False
575,575,5.185509124786498e-12,1.9009254984675255e-11,6.330972954690307,-0.0043924215613432216,False,False
247,247,4.418141501750022e-36,1.8856678859054127e-35,6.233152873480029,-0.0028408092592118964,False,False
1270,1270,3.136951794497457e-12,1.1537646376616061e-11,6.039160034788232,-0.008556150725153422,False,False
3395,3395,2.0606992000943694e-20,8.399712427540627e-20,5.946915944181096,-0.000252913414022813,False,False
1465,1465,1.492110327459833e-19,6.026769259003671e-19,5.728801984212897,0.006741902153142115,False,False
162,162,4.745530738331085e-26,1.9890936858872651e-25,5.697863389199667,-0.0024311112286350654,False,False
1481,1481,2.941186379957902e-10,1.0445796231936816e-09,5.520896884000638,-0.0027901318471731133,False,False
2450,2450,1.1719956398676268e-10,4.1993359902676336e-10,5.488968519846271,-0.0015277931063134558,False,False
4120,4120,2.012352600496926e-24,8.41099022013908e-24,5.220400863713368,0.001505886690107202,False,False
86,86,9.054212822603596e-37,3.87925434627076e-36,5.1398977613013574,0.0010918263034057265,False,False
