,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1565,1565,1.5834825897883367e-42,9.690651716845151e-42,11.730489508830054,-0.005002364320769181,False,False
686,686,1.9937783738166442e-33,1.1356868352394039e-32,10.410692939718498,-0.0067056413166619346,False,False
1443,1443,1.665729723080309e-28,9.091937542562424e-28,10.141726222029327,-0.01847908686484174,False,False
1708,1708,6.960234261488939e-43,4.265423561902808e-42,9.525799608450969,0.0012203795879755838,False,False
2316,2316,1.2039533475823703e-28,6.57953840505347e-28,9.21931563864909,-0.004365275603933558,False,False
3197,3197,3.5159407401278273e-28,1.9073656542598215e-27,8.77893149645363,-0.0049540564138082135,False,False
2450,2450,1.253307850469765e-22,6.371220571667238e-22,8.444267613051492,-0.001527756858564244,False,False
846,846,3.277058966661543e-23,1.6793509791092544e-22,8.32428626531513,-0.003537042895424534,False,False
3136,3136,3.273666237424491e-22,1.64908152980465e-21,8.312045980581416,-0.010361453638089817,False,False
1893,1893,3.688172290073427e-47,2.307964716168484e-46,8.215573306854624,-0.0016364493219526467,False,False
795,795,1.9218078323061592e-41,1.1680700682539351e-40,8.175829375206979,-0.0006710199794957294,False,False
3803,3803,3.6013505091007305e-20,1.7411099360102879e-19,8.101128728271705,-0.01202775693646369,False,False
2094,2094,1.3158937060594575e-35,7.622575927017171e-35,8.01880526071188,-0.0022142114784371655,False,False
2405,2405,2.2955885893571705e-20,1.113460709881431e-19,8.006630278328144,-0.007519287654492675,False,False
1627,1627,8.001948756865124e-37,4.70273258290367e-36,7.921798579510543,-0.003239761352618992,False,False
442,442,7.340525276433494e-19,3.462203163821021e-18,7.7918736154526185,-0.009799630428219075,False,False
1603,1603,1.2613718080896774e-19,6.019629369862982e-19,7.788593046387411,-0.007198656796591162,False,False
2952,2952,9.660708811757094e-21,4.71676145611393e-20,7.7324618056277235,-0.0033013230540771335,False,False
1003,1003,2.776881137093474e-24,1.4532017540761254e-23,7.692632844682599,-0.000607673990618781,False,False
1891,1891,2.2308824163238314e-23,1.1552226778236344e-22,7.686832340134058,-0.0009662863832169879,False,False
