,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2450,2450,1.4831643119913962e-22,3.6387073650898803e-22,13.445985390851103,-0.0015277820930919344,False,False
522,522,1.5869300947315268e-22,3.8911315733400516e-22,13.396614128382133,-0.003201685147234107,False,False
3284,3284,9.514706712643546e-20,2.3265735786612697e-19,13.19536923007068,-0.007502873801000878,False,False
764,764,1.706707028052743e-14,4.121140937846922e-14,11.710659379801475,-0.009873852584948023,False,False
715,715,3.3447237272342967e-13,8.015430161867303e-13,10.940548703356415,-0.004029154419678867,False,False
2195,2195,6.91031849057876e-11,1.631378589460225e-10,10.322651046330254,-0.023300977898955647,False,False
2215,2215,2.1245876388037927e-11,5.0371093272173163e-11,10.141604635669625,-0.00704803547779224,False,False
1591,1591,4.849842350563297e-16,1.1781219006863164e-15,10.078821009234323,-0.0016854937362633217,False,False
1832,1832,8.988761261587403e-15,2.1716729899528457e-14,10.038658262210621,-0.003443834973996653,False,False
187,187,4.0494606408421323e-10,9.499341936252161e-10,9.886252954095527,-0.016752609074108936,False,False
753,753,2.0067681062635456e-10,4.717497722819541e-10,9.696123414762832,9.092719752377097e-06,False,False
1893,1893,3.8511462020569465e-20,9.422160008666858e-20,9.59915556805023,-0.0016244156892473403,False,False
1331,1331,4.848760242938685e-16,1.1781219006863164e-15,9.4673950660782,-0.006560966402463885,False,False
3822,3822,2.2939135048675715e-09,5.336051152945875e-09,9.274550285479709,-0.009660916223866764,False,False
1096,1096,2.6774117178514077e-24,6.5940910545531065e-24,9.158870600053474,-0.004034392676494379,False,False
795,795,3.67969210681802e-23,9.047521876365501e-23,8.834502623981626,-0.0006791133175142157,False,False
1280,1280,8.939102917579779e-10,2.091439402991414e-09,8.80157450116454,-0.005321771128619664,False,False
2536,2536,1.158286757184634e-09,2.704292202927656e-09,8.544393965486467,0.0003595461395198424,False,False
870,870,3.032418994829834e-08,6.930574894047815e-08,8.4751707080072,-0.011174130744230185,False,False
1970,1970,1.2976505459706152e-08,2.979566602453459e-08,8.37617217211369,-0.006536881081423631,False,False
2142,2142,5.781301027567282e-10,1.3547637376308773e-09,8.26113167901999,-0.006085221452955363,False,False
2997,2997,5.5856861371969007e-11,1.319362227940767e-10,7.543489354149311,-0.0020245293705919393,False,False
2648,2648,2.7164925575855754e-08,6.218122840470227e-08,7.467853284170694,-0.00472617819402617,False,False
304,304,8.1490573591733e-07,1.8194101430556265e-06,7.319453654879978,-0.020305439976830406,False,False
1643,1643,9.125439556617757e-07,2.0353578288179064e-06,7.305146940820726,-0.006266111000216597,False,False
2167,2167,3.79432942170242e-11,8.967130649268006e-11,7.221748389892043,0.004812644719266011,False,False
580,580,9.191595843272993e-13,2.1979688014888006e-12,7.207970735111182,-0.002919695430803021,False,False
1017,1017,9.385813849980312e-07,2.0923818833649036e-06,7.191122698585431,-0.006392465192434863,False,False
1239,1239,2.1505898813444305e-06,4.772762658747904e-06,6.988400939568129,-0.019159776373908914,False,False
2405,2405,1.0732024262823826e-06,2.3900944260514417e-06,6.965635841954865,-0.007518721240456801,False,False
1854,1854,2.478807477649864e-06,5.498423176833922e-06,6.860093962760847,-0.014247976543351682,False,False
2677,2677,5.46383507355464e-07,1.224196632970412e-06,6.855747846966315,-0.006290008417913934,False,False
3806,3806,2.93291106168682e-09,6.80821517611e-09,6.842508398791088,-0.0031513133027652267,False,False
3803,3803,2.4817435378451434e-06,5.502188891539906e-06,6.8122630440937275,-0.012036833738854497,False,False
3031,3031,5.800422820750956e-23,1.4254025770241424e-22,6.789686109608459,-0.0008985182600101831,False,False
2217,2217,9.884846332153344e-30,2.445343666690273e-29,6.6969640610757795,-0.005967328301465359,False,False
2711,2711,2.7202547816018644e-08,6.223528318566984e-08,6.633825346730302,0.0023844066921965565,False,False
