,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1638,1638,7.313544416680857e-116,7.401840055424384e-115,12.695196124127825,-0.010171602171118427,False,False
2370,2370,1.7034223900430542e-51,8.571127609242684e-51,9.267759883726777,-0.014401772138462613,False,False
2392,2392,5.2958854257920855e-49,2.6144021051993597e-48,8.96824390120099,-0.010079929583672157,False,False
2540,2540,6.316791619126305e-113,6.222950147179196e-112,8.754595553646661,-0.0025220137859209707,False,False
2198,2198,1.6241284958504618e-49,8.062573080517991e-49,8.256205911824098,-0.0038719408614054825,False,False
1183,1183,1.1818561605142094e-56,6.334121738437434e-56,8.11789168645805,-0.002469506159178795,False,False
1091,1091,9.949715823900407e-41,4.638676537837304e-40,7.773944692823063,-0.00472766348584892,False,False
2726,2726,1.0911868744998136e-54,5.69699563267059e-54,7.757133431696886,-8.676147167487047e-05,False,False
780,780,7.048167544920436e-72,4.525290231514667e-71,7.585879111237108,0.0032939990912164256,False,False
134,134,2.559513745624477e-46,1.2374232395875464e-45,7.430252800516655,0.0015761987786961432,False,False
1893,1893,3.810545938768824e-64,2.2306002115876004e-63,7.383707950645699,-0.001641229849948949,False,False
2986,2986,1.9312429370628645e-53,9.919667479040817e-53,7.04668512364481,-0.0018774027161213742,False,False
1278,1278,1.0692672533177211e-42,5.048623173741377e-42,7.0148792648824365,-0.00010807111923142113,False,False
727,727,5.604981835473868e-34,2.4224644255846687e-33,6.989180405250273,-0.006224725779138674,False,False
773,773,2.5849815646512764e-57,1.393819549969129e-56,6.863859125191608,0.002021086839493147,False,False
1012,1012,1.4760050360678579e-33,6.342253747823494e-33,6.77812126456637,-0.007887745228925162,False,False
4193,4193,1.2469182450353705e-49,6.1969326204610195e-49,6.772487153232539,0.0007505514750961867,False,False
430,430,2.501051023327635e-47,1.2197771346481538e-46,6.733439792972935,-0.0031521952729982768,False,False
195,195,1.3513542815373768e-40,6.286981228136717e-40,6.351673938025747,0.0028812026728081384,False,False
966,966,3.541113024199724e-60,1.9691070296019242e-59,6.22868768254122,-0.002180503280642447,False,False
234,234,1.773426884490997e-49,8.784097712144371e-49,6.226456006104106,-0.001043561549066551,False,False
894,894,2.191440789879654e-29,8.965535386220352e-29,6.159503442282252,-0.009150043764718233,False,False
2780,2780,1.6461401861616624e-27,6.58307907031167e-27,6.015616471141982,-0.013537831998247134,False,False
487,487,2.3378073004877355e-58,1.2682390520228339e-57,5.914929857005919,0.00022951285045178307,False,False
2857,2857,1.8464594502183405e-28,7.505781644391662e-28,5.892038772695596,-0.005483251921480931,False,False
1035,1035,1.0760238421844607e-29,4.414380360873092e-29,5.801352780411783,-0.0027057471357837745,False,False
2476,2476,2.5135508884310046e-26,9.918034278240633e-26,5.67530465598768,-0.011868649950775568,False,False
1502,1502,9.651647762775962e-42,4.5474306479335736e-41,5.644837864893839,-0.002949237297431781,False,False
1160,1160,2.4139022968233144e-48,1.183771291918983e-47,5.641104444011078,-0.0007465196579547299,False,False
194,194,1.9811331805944434e-32,8.37504730864045e-32,5.6071616564724565,0.002130140045408282,False,False
449,449,6.1266047656466e-57,3.2954606505772202e-56,5.597321845116835,0.0007373772880962526,False,False
977,977,9.015669941827909e-44,4.279553584566388e-43,5.521856876377995,-0.00552048073253035,False,False
1129,1129,3.060382186264962e-37,1.367935417864711e-36,5.415263321930337,0.00020529985795908479,False,False
867,867,6.866068789325558e-30,2.8272422271523127e-29,5.381136785709027,-0.004750618672310438,False,False
1493,1493,5.907819787859606e-31,2.46464256501974e-30,5.13010750379063,-0.0037270642104771066,False,False
1808,1808,6.729860383683804e-23,2.5275375895779494e-22,5.076184367095974,-0.007307020550240323,False,False
1043,1043,1.6395822414053958e-56,8.766141875528488e-56,5.070965295581565,-0.0028811423676867245,False,False
2441,2441,1.1808731947505727e-22,4.412632131435487e-22,5.0697599551729935,-0.012824301639933255,False,False
3358,3358,1.9779992343801395e-22,7.372693454992416e-22,4.9964397766986055,-0.008420133871446555,False,False
1522,1522,3.715961555809997e-41,1.7415629949856349e-40,4.951970115175852,0.002039608214532437,False,False
2505,2505,1.7470503954589423e-38,7.969347953823492e-38,4.900646850963204,-0.004608860294300085,False,False
3099,3099,2.782750565892726e-26,1.0970506445662274e-25,4.897653815392407,-0.008869847713168523,False,False
3934,3934,4.264182322571739e-25,1.657546986805445e-24,4.845086353441007,-0.0019723681884895733,False,False
3915,3915,2.4057229486671744e-30,9.952166723396886e-30,4.809883281067706,-0.0057405817291336005,False,False
4225,4225,1.8647920586443667e-20,6.763486625760751e-20,4.740073830128273,-0.02060072387651255,False,False
464,464,7.350691206341759e-21,2.6813728267468338e-20,4.683722258094999,-0.004995109065341683,False,False
228,228,6.618818278547863e-33,2.8222082160833164e-32,4.621023703952838,-0.0005232230515989419,False,False
1379,1379,2.3827568274390487e-38,1.0846914533106244e-37,4.5187357647290485,-0.005198655884931815,False,False
2958,2958,1.5025314849422423e-33,6.449997475940466e-33,4.496530985248682,-0.004729520163779855,False,False
2050,2050,5.570134751949648e-33,2.379625836818489e-32,4.483481485865068,1.0113727879616785e-05,False,False
1676,1676,2.966370262540714e-23,1.1264600920058457e-22,4.4355460931120065,-0.003965638455253979,False,False
2662,2662,3.6955234106153065e-34,1.6003129155325348e-33,4.416366219737425,-0.0009502780729185017,False,False
3387,3387,1.9332260752935574e-32,8.180308050027882e-32,4.405352939851833,-0.0011838193933425157,False,False
2484,2484,3.054088062339465e-28,1.2358208798701496e-27,4.3972606939253644,0.0019644294326788877,False,False
907,907,1.290752734002851e-75,8.675967317964701e-75,4.387644289376828,0.002882047590458337,False,False
923,923,5.942677604890788e-20,2.1448673110097297e-19,4.322485133765881,-0.00032237941597726416,False,False
626,626,6.90997495212999e-22,2.5584182260261284e-21,4.23542749843214,3.283966763772267e-05,False,False
2238,2238,2.4467275286228633e-27,9.749605748584199e-27,4.215539047130701,-0.0024214343758917015,False,False
