,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3446,3446,6.321122341770047e-51,3.514987054378513e-50,12.524105928861548,-0.017825730223204165,False,False
134,134,2.481612055647602e-44,1.3364608925142178e-43,10.697248320424178,0.0015811618416959328,False,False
780,780,1.4078288883293755e-61,8.65142980753446e-61,10.13782912337668,0.0033005579271564427,False,False
1183,1183,3.267139512056912e-46,1.7767320504368252e-45,9.619295069010844,-0.00246517166467905,False,False
2726,2726,2.3395450392926735e-41,1.2301300129677335e-40,9.318071279951386,-9.160786918259965e-05,False,False
1091,1091,1.2417265805715341e-30,6.029498576480138e-30,9.285876925816858,-0.004710780894460078,False,False
867,867,2.3150567782739127e-33,1.1583105029134002e-32,8.880239145316416,-0.004752280460236468,False,False
2239,2239,2.582473263343151e-35,1.3113061381752708e-34,8.737167578857864,-0.006548417106965066,False,False
4343,4343,1.8858262888128613e-24,8.514965651621486e-24,8.443278731619634,-0.010658064051933425,False,False
1893,1893,5.5200045425176223e-42,2.9196881169530707e-41,7.627175379789273,-0.0016337795022310746,False,False
544,544,7.822926844728217e-23,3.4722541429697766e-22,7.516198019817868,0.001068252823256892,False,False
3915,3915,2.8875915492323523e-33,1.4431461477209607e-32,7.484753769358693,-0.00574380619892648,False,False
1461,1461,2.8175125153180374e-21,1.2260732718470166e-20,7.239878496953228,-0.004025768788075305,False,False
1012,1012,3.67683932562784e-21,1.598453730309637e-20,7.0129445756110735,-0.007867129931897959,False,False
846,846,6.308862681530557e-21,2.740007516523975e-20,6.897430052648703,-0.0035348467134511466,False,False
606,606,8.78590109460205e-22,3.872595095567154e-21,6.819798953016945,0.0005045186626893034,False,False
430,430,8.267000307669991e-31,4.023032022670073e-30,6.818768201871288,-0.003152910177974458,False,False
4193,4193,2.5893908249361395e-29,1.2397266632749212e-28,6.792164282195344,0.0007392888236725063,False,False
1122,1122,7.801575486934614e-19,3.2762192711200842e-18,6.5138802122588135,-0.004406219185294151,False,False
2050,2050,1.6296339077600133e-29,7.810640185736504e-29,6.3475708605891725,1.6982506996568447e-05,False,False
1054,1054,2.429226383910354e-42,1.2894925715309085e-41,6.209857427054396,-0.005282701250048592,False,False
487,487,4.849583028437697e-33,2.412844053230536e-32,6.206459057935033,0.00022733446543744297,False,False
1825,1825,3.380255584165052e-33,1.6836856009467853e-32,6.133171016031297,-0.0021197655226748227,False,False
835,835,4.942046093051554e-16,1.958743157130067e-15,6.066806330562139,-0.005955736639381724,False,False
795,795,5.045829017684023e-28,2.3673303406093043e-27,6.052937355344996,-0.0006728275180880074,False,False
2174,2174,6.072177434131612e-15,2.3277553356209452e-14,6.046315078725812,-0.020455963344922865,False,False
194,194,2.7921821442854007e-21,1.2174352568263039e-20,5.983203848182063,0.002129982033999815,False,False
1359,1359,2.3447291140756843e-26,1.0826193597600614e-25,5.979716863658229,-0.004564862096939872,False,False
1700,1700,1.3472196650882356e-24,6.0954144317586865e-24,5.970531627677093,-0.0008495321037333189,False,False
130,130,2.147953631978229e-18,8.9106984004475e-18,5.918353887817849,-0.0035364164642340875,False,False
332,332,1.4342764105016729e-18,5.983558771698528e-18,5.899032171751968,-0.001941998629176345,False,False
2361,2361,2.879450997685558e-17,1.16941506240557e-16,5.852682394546368,-0.0073906414311406595,False,False
1643,1643,5.3538863826586614e-15,2.055947899581023e-14,5.834874367658682,-0.006251213087769741,False,False
289,289,4.214265230826191e-14,1.5814172652500647e-13,5.718572053978974,-0.017491492205628414,False,False
4441,4441,1.1147599830159971e-13,4.148139534790683e-13,5.625641580612244,-0.02284178681531586,False,False
2003,2003,1.519616404942641e-26,7.040308328634154e-26,5.601848667650918,-0.0007201403491281112,False,False
2986,2986,3.563185972545639e-22,1.575247291146296e-21,5.551429535044458,-0.0018696383783745798,False,False
304,304,8.556409213213093e-14,3.1919501372213077e-13,5.530691281187516,-0.020294374495678405,False,False
2540,2540,2.2546595460804223e-30,1.093608336597742e-29,5.3440977810707775,-0.0025214131703618324,False,False
2711,2711,8.914866609967594e-20,3.804875345637466e-19,5.32096637653455,0.0023841074919164294,False,False
2476,2476,9.139706212417105e-14,3.4066874749806373e-13,5.249995814287334,-0.011888859121530815,False,False
1096,1096,7.275353255753518e-34,3.65660571440191e-33,5.22854739300763,-0.0040344323993442965,False,False
2934,2934,3.990441051057269e-13,1.4616265119412568e-12,5.224008639177144,-0.010243953221987474,False,False
4372,4372,1.0117741156002064e-16,4.0644777537176464e-16,5.203398700501118,-0.007402507977580221,False,False
2547,2547,2.371276791574705e-30,1.148918515263513e-29,5.136775427023859,0.00032172706500182245,False,False
464,464,2.2365583242622897e-14,8.478693374315148e-14,5.103445009242309,-0.004988124521519765,False,False
