,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3265,3265,2.1213729957640675e-32,1.1154154106721601e-31,10.517317002276082,-0.008897898756046619,False,False
3657,3657,3.773537535721528e-25,1.907375116178697e-24,9.349300437889756,-0.008984810730208575,False,False
2118,2118,1.4445537622514398e-22,7.155130842456129e-22,8.098771990887895,0.0024871866103071023,False,False
1270,1270,1.5246784934405334e-21,7.468739301385105e-21,7.592338207223755,-0.008557168419561053,False,False
1925,1925,4.70094515871916e-33,2.4835076504386717e-32,6.33050048610164,-0.0028795162924515443,False,False
1276,1276,4.012450862574717e-29,2.087508100985886e-28,6.078686889396513,-0.002632506746752127,False,False
756,756,6.0738620301719555e-19,2.8924082529532687e-18,5.926585988558025,0.0015381530759360175,False,False
1530,1530,6.015848924474718e-12,2.5675712556619762e-11,5.336697653794031,-0.012774807796975228,False,False
393,393,3.1261758928410926e-14,1.384805532591523e-13,5.228656231153337,-4.4320779981332596e-05,False,False
1296,1296,1.7569366382344863e-16,8.022681894836406e-16,5.162663252593658,0.003005413707446257,False,False
967,967,1.3509639387346627e-17,6.28516521444828e-17,5.136250899757041,0.004980995854425737,False,False
4120,4120,9.357426877610606e-36,4.991002114912836e-35,5.101779050252799,0.001504998290702584,False,False
247,247,2.0768350671166892e-35,1.1050752339161019e-34,4.913749933691477,-0.002843071965592802,False,False
480,480,2.478754250290734e-18,1.1678796536629618e-17,4.775915472740613,-0.0026294833247145636,False,False
137,137,3.026011210150856e-36,1.6159336306130112e-35,4.463036273650015,-0.0007850492588309475,False,False
1250,1250,9.315461278378074e-31,4.874981679603508e-30,4.446252835420266,7.314778910235374e-05,False,False
2939,2939,7.360429949484747e-27,3.793780773266906e-26,4.325453219759773,-0.00557262137794177,False,False
94,94,1.3918040688306464e-13,6.092399485531588e-13,4.2711652205276955,0.0006033088406232293,False,False
2242,2242,5.975580236752654e-09,2.3066466543781096e-08,4.162360552318617,-0.01117412070702109,False,False
1079,1079,8.102571166330535e-20,3.8960739926414035e-19,4.162123115489342,-0.0010492328141649705,False,False
2644,2644,1.2693158598589594e-20,6.170208277191857e-20,4.084105255091697,0.0016159072488219836,False,False
1053,1053,6.025751452839578e-35,3.1986157353603643e-34,3.7024280939824745,0.004170447962849524,False,False
1632,1632,2.7407104594422434e-09,1.0690936410273826e-08,3.4490032954476795,-0.002397627934321368,False,False
1481,1481,1.0284369791626825e-08,3.935698103720756e-08,3.2613709838421396,-0.0027887176437380633,False,False
3969,3969,8.0303523438432e-11,3.340716803716792e-10,3.254995519122125,-0.005855576662628103,False,False
3311,3311,6.885033174606751e-20,3.3178093703663556e-19,3.23968955972386,0.004431240892631222,False,False
710,710,3.043114185638111e-12,1.3075973236740935e-11,3.1589027587660286,0.0014659643280856812,False,False
205,205,2.962924567661149e-20,1.432456349740858e-19,3.14325975697656,0.0029512825134351294,False,False
2994,2994,1.282792951679397e-10,5.262649200657027e-10,3.0923895787062845,0.0003720368081096175,False,False
560,560,1.9110447465739358e-17,8.853776651749736e-17,3.0530960528260676,0.0020513094758060424,False,False
2783,2783,2.841417200365542e-25,1.4395001848602172e-24,3.0350760324643256,-0.0014557937407826075,False,False
4161,4161,1.2952693303490987e-07,4.760034437337507e-07,3.032584554735252,-0.006182122883613496,False,False
310,310,9.45465104971883e-07,3.331246202529799e-06,3.021387663215648,-0.009999512508929782,False,False
318,318,8.096370225637623e-18,3.786544517106101e-17,3.0190196878404967,-0.0026509677706634607,False,False
1874,1874,2.740377758156982e-14,1.2151195987516437e-13,3.018405255635229,-0.004133548338397302,False,False
2995,2995,2.328107009612788e-10,9.4550086322757e-10,3.00880990283805,-0.0023532094760519125,False,False
575,575,1.274427043850476e-07,4.6873173475394575e-07,3.0042596731964615,-0.004392584218676174,False,False
1997,1997,5.302774254714489e-23,2.641280943239515e-22,3.00128352820304,0.003750237047283772,False,False
3595,3595,7.862785171386834e-08,2.9282778303832105e-07,2.9798210204693385,-0.006075093885530894,False,False
3240,3240,9.801125255262414e-07,3.4478542762573953e-06,2.9409289901029823,-0.013432559859360932,False,False
2065,2065,2.5254705763147557e-38,1.3617312828357354e-37,2.935898268143076,0.001924996229977298,False,False
2578,2578,3.534610120267326e-45,1.9484209385046812e-44,2.8703860817166853,0.003982698092428988,False,False
1234,1234,1.991561248865655e-09,7.837472656076267e-09,2.793103194027111,0.003704841754249874,False,False
1786,1786,2.4195458951439767e-20,1.1723056065566727e-19,2.7697236275950856,-0.0013215238151723999,False,False
1388,1388,4.322546511349151e-19,2.0606302735970255e-18,2.69315511874084,-0.0008515979487795445,False,False
1821,1821,2.6313351469126765e-15,1.185702034252842e-14,2.6584337103176656,0.0012258948173423196,False,False
1356,1356,4.907793323821306e-39,2.655947105692821e-38,2.6561075655235413,0.004951345009003037,False,False
1410,1410,2.1981101367647514e-12,9.45421426684007e-12,2.6308203865067,-0.0036297427946778704,False,False
2618,2618,2.9045803531311278e-06,9.926961929970463e-06,2.606637814603097,-0.006988799564571056,False,False
1020,1020,1.7726733264648077e-41,9.651945575346987e-41,2.585895734468077,0.0004330402048714943,False,False
1204,1204,1.4938759445620598e-17,6.94277282603476e-17,2.5510816965922323,-0.0010624700988792696,False,False
1738,1738,4.589315161575222e-12,1.968178307227675e-11,2.5283195053010212,0.004152161523570048,False,False
3985,3985,1.7181578667084825e-10,7.022792457944607e-10,2.5059178643845725,0.0014595127131694194,False,False
2634,2634,2.1226768628327216e-06,7.2995768587970445e-06,2.485487983146411,-0.008513967314661242,False,False
1313,1313,1.247219828926089e-09,4.947676517784477e-09,2.4715067751416275,-0.003149158881977278,False,False
1298,1298,9.965131570131833e-13,4.302728820806194e-12,2.4636873575211133,-0.006781610427046732,False,False
3141,3141,3.0679792347935744e-08,1.1551721813718518e-07,2.427174981814625,0.0043518544356176804,False,False
2948,2948,4.5285281073863685e-06,1.5231075231731745e-05,2.4045929242113977,-0.014578308513964047,False,False
2543,2543,7.131089719869053e-11,2.969393779323168e-10,2.3664927637758786,-0.002140688879341116,False,False
1679,1679,4.369626362832275e-18,2.0500791900806546e-17,2.3643794490237635,-0.001749038037791451,False,False
1069,1069,4.1516581308176726e-12,1.7822045483307167e-11,2.345511137000978,-0.0020788356952938947,False,False
1620,1620,3.6825761026207595e-13,1.6025157320219426e-12,2.3386946996947535,0.0017163164611804197,False,False
1028,1028,9.663121029196341e-16,4.3854184609519244e-15,2.28763530624636,-0.0013071135704151673,False,False
152,152,4.3553559522664705e-15,1.954630959183831e-14,2.263871671315922,-0.0008373898413154513,False,False
1833,1833,1.3779673502009642e-11,5.841897840594355e-11,2.26055206890704,-0.0003982430303123784,False,False
2415,2415,1.4372865727095097e-07,5.273215724647689e-07,2.2547478190331915,-0.0010639225184114112,False,False
3502,3502,2.7134780448927595e-49,1.5145707227962978e-48,2.2379137248587875,-0.00026986857517694593,False,False
3309,3309,7.680721427397541e-12,3.274994750664806e-11,2.227750869622195,0.0008613643950043707,False,False
1514,1514,6.441181315318177e-19,3.0607666934715148e-18,2.208445344866338,0.004139782245724061,False,False
2450,2450,1.5135523236373591e-05,4.937381038120989e-05,2.197458259668377,-0.0015283781998942257,False,False
3643,3643,1.6276906437097996e-05,5.294165102490952e-05,2.1248183639439353,-0.008981767541857212,False,False
876,876,2.138185163171148e-15,9.654427520294117e-15,2.1244656033419553,-0.0006035150210506515,False,False
1800,1800,1.065763176263382e-09,4.235407685275676e-09,2.1201223776621263,-0.004974758215905377,False,False
3194,3194,4.3243352786316315e-17,1.9930520376514875e-16,2.098371426135217,0.0014212768977166618,False,False
86,86,2.8864078444343843e-15,1.299322193801618e-14,2.055949854104481,0.0010901247894881225,False,False
1703,1703,2.1763649942871294e-10,8.846834098460856e-10,2.0356338050590215,-0.004023133581186285,False,False
4114,4114,5.9496586049433694e-05,0.0001861572759279112,2.0251287036754047,-0.009489435444917977,False,False
3267,3267,3.1099291743613457e-08,1.1689860678246582e-07,2.0103641419041343,0.006063877669061159,False,False
417,417,1.1958245695608619e-25,6.085966280136207e-25,2.00136865115702,0.00107722131877478,False,False
3027,3027,1.5241099858617114e-10,6.235378146577885e-10,1.991008653081093,0.006238790630009785,False,False
403,403,9.827317579472977e-05,0.0003019555463734331,1.9754923904127806,-0.00745843369293786,False,False
3642,3642,1.5624044891690136e-32,8.23459447850288e-32,1.9533942172295327,0.0026015867518809463,False,False
969,969,0.00010900916648754483,0.0003340191218649391,1.949810851314619,-0.00517725983601364,False,False
1418,1418,1.340095395691016e-21,6.5790539702267225e-21,1.927531781375344,0.005078698310299656,False,False
827,827,6.21089283226729e-30,3.2426553294669294e-29,1.9247659369017587,-0.0035823719001539063,False,False
761,761,1.6394819043497605e-05,5.3247208340833226e-05,1.9167400515896067,0.004463516831519184,False,False
68,68,2.1229540126351666e-22,1.0480316309042273e-21,1.894043273244639,0.007500724569337919,False,False
2577,2577,3.294443537539699e-31,1.7281242783103755e-30,1.8914010795943736,0.0018452212123541162,False,False
1477,1477,6.3923263570042195e-06,2.1306156042137845e-05,1.8619304180605953,0.00018285609590977655,False,False
2453,2453,2.7857359677268644e-07,1.0054447526084857e-06,1.8560038299068027,0.0035268838059267812,False,False
926,926,8.949600524882936e-29,4.650652062228642e-28,1.8528180187475212,-0.0015067864673196604,False,False
2789,2789,5.600015581891104e-15,2.505626307184509e-14,1.826735528299355,-0.0035124381983733183,False,False
3473,3473,1.1519233690710656e-10,4.747676742841136e-10,1.8160498415213686,0.002073372268032128,False,False
162,162,1.2608503351965257e-09,4.997286386510404e-09,1.7940713175626692,-0.0024374703871407432,False,False
2513,2513,5.720663687897813e-06,1.909609974855746e-05,1.7896465103840418,0.0016308717046932646,False,False
2059,2059,4.016872117306146e-15,1.8045462909192324e-14,1.7795143223917127,-0.003255096889841449,False,False
1106,1106,4.826830113221435e-10,1.937272465496191e-09,1.7791217424316004,-0.00040183136615832594,False,False
920,920,1.8550774446695144e-16,8.462124318959603e-16,1.76464499933691,0.0003285154369094133,False,False
1511,1511,3.389310288340885e-10,1.3664887124408848e-09,1.7635344428667947,5.838117216836825e-05,False,False
18,18,8.209537922299298e-06,2.722013208117596e-05,1.7499823792742273,-0.004282364575442115,False,False
3086,3086,9.65938405447215e-08,3.579369754296894e-07,1.7440258757124376,0.005617409056933429,False,False
672,672,4.979544255834024e-09,1.9255104550627124e-08,1.734018674180177,-0.0009763789774050007,False,False
1190,1190,1.1660852359420703e-10,4.801591013244317e-10,1.7315565809634372,0.0014599221762126606,False,False
685,685,1.8646202156191864e-06,6.4470876404638485e-06,1.7231631363116926,-0.0005142371057394435,False,False
3279,3279,1.3120561242418608e-12,5.659675106802512e-12,1.7214499358377733,0.004637363955215186,False,False
3093,3093,9.890707999816646e-42,5.398576860342181e-41,1.6917469516072579,-0.0027134251436765817,False,False
2639,2639,2.141717584657683e-13,9.356589212029583e-13,1.6817599237743053,-0.0003070378095321141,False,False
1848,1848,1.2694017297079431e-10,5.212524847590011e-10,1.673385094900902,-0.004853735603524567,False,False
551,551,2.814309304180609e-10,1.1377594393516329e-09,1.6652872430790024,-0.0012251969078316606,False,False
717,717,2.185003993140439e-14,9.707972741522972e-14,1.656769387789961,-0.0011502812262319338,False,False
1046,1046,5.055187648823499e-06,1.6925545383363082e-05,1.6554927031330882,-0.0012891719437560308,False,False
943,943,1.994774684982035e-09,7.843171615376268e-09,1.6511192595640567,-0.006407936321785779,False,False
975,975,2.6756861954630075e-07,9.672964822166104e-07,1.6475130396699218,0.005022197781218037,False,False
739,739,6.36329259150258e-07,2.259960750123578e-06,1.641217806536053,0.005652431313258583,False,False
1585,1585,2.3796338597095995e-07,8.651974827078356e-07,1.6346341679019882,-0.00029155357154197386,False,False
598,598,0.00011478913866335001,0.0003512452776041764,1.6217686231099784,-0.0035553020066924975,False,False
3072,3072,3.0842958743684614e-09,1.201010216460918e-08,1.6199332838828622,0.0013473547878941404,False,False
3660,3660,1.5436098468620147e-06,5.353831810779025e-06,1.6142035510349095,0.00035130089268774894,False,False
2782,2782,4.2558649078837295e-09,1.6499832273758648e-08,1.6038474376842897,0.0006596763333305484,False,False
255,255,5.218985660901364e-13,2.2622393455009524e-12,1.6022741377069678,-0.005314497678536038,False,False
2533,2533,1.2674932715213343e-17,5.903011116739296e-17,1.6004003390275041,-0.004319979267660276,False,False
4328,4328,2.601253011581856e-07,9.411536751187448e-07,1.596906180274262,-0.003466597503493645,False,False
1986,1986,1.0031058239799582e-07,3.710906890876731e-07,1.5843476159485,0.0012368592131713522,False,False
3558,3558,1.3751522576980372e-06,4.795762543918666e-06,1.582088881971345,0.0011073017605273332,False,False
656,656,1.0436322229674069e-10,4.309347552643298e-10,1.570505368749951,-0.00236815348236342,False,False
516,516,4.126717026682611e-22,2.0327055154712685e-21,1.5701092597864597,-0.0003509650683356791,False,False
683,683,2.0978095215553103e-10,8.535318410503886e-10,1.5587637722333778,-0.0013684597397942257,False,False
1033,1033,1.4708157784031904e-05,4.8085610768545804e-05,1.512248801492829,0.0003886661599065491,False,False
3200,3200,1.3871809208734035e-06,4.83391751485532e-06,1.5108529699762578,-0.00229041432211156,False,False
2019,2019,0.00046850926238318867,0.0013569665272284924,1.506318394114934,-0.002151576695482995,False,False
355,355,1.1613995473315507e-11,4.947361638345235e-11,1.4978992299951988,-0.0019566948261728334,False,False
515,515,2.5369802563811564e-09,9.931104210662093e-09,1.4735259850917892,-0.003656671717002367,False,False
4284,4284,2.337539933581353e-05,7.498693086571806e-05,1.4685178724683028,-0.005113250889156543,False,False
2231,2231,0.00018675106335748644,0.0005629138225897641,1.4632989742801599,-0.00191684437894306,False,False
2900,2900,4.202532886519139e-09,1.6307295733453743e-08,1.4530179736804971,-0.002861458476011048,False,False
1601,1601,4.788666359387458e-09,1.85331399257478e-08,1.4505762167404144,-0.0014358137089658732,False,False
855,855,0.00032043236729683124,0.0009397234375576377,1.4432999455240962,-0.0066398109047858325,False,False
669,669,1.4244296300697008e-15,6.4513158475022234e-15,1.423524168933491,0.0021912699441215587,False,False
126,126,9.946533535410596e-09,3.8129808885098604e-08,1.3907368429298117,0.001306719598001563,False,False
3227,3227,1.6902242532763057e-18,7.97204496529366e-18,1.3801460296925712,-0.0028677900119670418,False,False
3037,3037,2.128017456059718e-05,6.861234802085144e-05,1.3791744630843532,0.004452014141107483,False,False
3073,3073,0.0010075075566212432,0.002790745682087396,1.36997951445019,-0.012081451331231927,False,False
1428,1428,1.1504449883930295e-07,4.2418482020167885e-07,1.3694617398537436,-0.0019836065224182286,False,False
611,611,1.0028140526381628e-10,4.1485128825617855e-10,1.3692458142919708,0.0012732386538745165,False,False
1068,1068,1.4310450699202728e-06,4.978961038101622e-06,1.3541418602107886,0.003676730875261452,False,False
566,566,5.8644589977598475e-08,2.1932484282026096e-07,1.3476175270394644,-0.00014295842247557394,False,False
1261,1261,0.00011545272881171237,0.00035260288656975135,1.3452502306934704,0.0031129597401488235,False,False
574,574,0.0011880404102803442,0.0032623384072160504,1.3352738723349917,-0.012272986183294232,False,False
4237,4237,0.0014973858939822987,0.004061590675801803,1.3287545138962051,-0.019565226068922605,False,False
24,24,5.496665042612185e-06,1.837598403636263e-05,1.3246977439640386,0.0027911897886989737,False,False
2878,2878,1.0190782886143807e-15,4.620168200320096e-15,1.3199634070626536,0.004044408210661623,False,False
2791,2791,7.807358331727544e-06,2.5905969430818136e-05,1.3155714303475698,0.00044735490467110155,False,False
1303,1303,1.3836149475326101e-05,4.5283236077802855e-05,1.3012887196247396,0.0014794367109695482,False,False
652,652,1.5063382384583994e-07,5.521997354348736e-07,1.295504583995259,-0.007355025001565747,False,False
219,219,6.555019778903275e-08,2.447390998123298e-07,1.2920074706338194,-0.004797827304003633,False,False
1052,1052,2.0085591022714586e-06,6.928593238658456e-06,1.2892774361728183,0.007613754128725361,False,False
4194,4194,3.214124353481298e-06,1.0934421518007203e-05,1.2778625065936073,0.00536768064619093,False,False
3166,3166,8.830719717696299e-06,2.9214361657278224e-05,1.2649160814176197,9.928548874518555e-05,False,False
745,745,4.2201959677062214e-16,1.9231108394378195e-15,1.2611939146495743,0.0031239458896975894,False,False
1243,1243,1.9605999516162266e-25,9.944001809396e-25,1.2599868814547346,-0.0022407998443390283,False,False
297,297,0.000526447516177433,0.0015129406949394148,1.251546864438582,-0.004519451377648701,False,False
2720,2720,3.9783132454381275e-18,1.868461495716871e-17,1.2497260058483552,-0.0011511401129268672,False,False
2745,2745,8.263193666136408e-06,2.7377605860286398e-05,1.2484158557861305,0.005801155380194439,False,False
134,134,0.00011547089803263295,0.00035260288656975135,1.247334170840547,0.0015902569734689463,False,False
1136,1136,5.613386211468635e-07,2.0016272020509747e-06,1.2400238983476413,0.003314499926994296,False,False
3936,3936,0.0006148425647421715,0.0017544929448615723,1.2395610135929644,-0.0002717486941744933,False,False
2131,2131,4.136449294986658e-05,0.00013052730268200085,1.2334961310657093,-0.00541179291465981,False,False
1362,1362,4.262572556238696e-09,1.6511429701280318e-08,1.2293488124358154,0.0011390094711387997,False,False
4186,4186,2.690136560778852e-09,1.0502879384481932e-08,1.2270019910946717,0.0008863830441005519,False,False
3510,3510,1.085797438797239e-08,4.148063646239151e-08,1.2267089492848304,-0.0017284297169121074,False,False
35,35,4.433790265295651e-10,1.7811329248380268e-09,1.2258139270487765,-0.0005737300688900661,False,False
1232,1232,0.0005892997567602559,0.001688110134936052,1.224036166403916,0.0020608988354280603,False,False
1766,1766,4.683293686136143e-06,1.573969277420793e-05,1.219246811513532,-0.0065215146868458735,False,False
2744,2744,3.9422523605437867e-11,1.655522423241592e-10,1.2179280403590653,0.0015394896010660507,False,False
258,258,5.2678638954967946e-14,2.317338543335867e-13,1.21636279043784,0.0006672693273673974,False,False
