,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2206,2206,0.0,0.0,3.2093432887686655,-0.0011907916915253336,False,False
378,378,0.0,0.0,2.8011224524647953,-0.005906938907981052,False,False
1665,1665,0.0,0.0,2.3847379544386844,0.002116802358609726,False,False
2205,2205,0.0,0.0,2.1340413165265746,0.00048728918469970184,False,False
115,115,0.0,0.0,2.073505057258049,0.002269712848004604,False,False
1202,1202,2.3993328014216267e-191,5.22560570427269e-190,2.0625485155238694,0.0006306398963711601,False,False
920,920,0.0,0.0,1.9985533626790224,0.00029987413983761924,False,False
2527,2527,6.20446699328067e-209,1.56627538926966e-207,1.7726829686136585,-0.001530319599754526,False,False
3089,3089,1.4887893031198367e-226,4.1601829394726e-225,1.7618712040247584,-0.005672594371192774,False,False
3061,3061,0.0,0.0,1.6530959287256037,0.0018840711418990352,False,False
2905,2905,5.168059206360442e-227,1.4532713325227496e-225,1.6262013785239189,0.0006909434523256486,False,False
653,653,0.0,0.0,1.5576388179266143,0.0012394245229873785,False,False
3194,3194,7.469119098601822e-236,2.2123530770058595e-234,1.5409299079755323,0.001437642950609698,False,False
1286,1286,1.3418219906034653e-300,5.844818729658035e-299,1.5271089199488228,-0.0009431215044569674,False,False
1489,1489,0.0,0.0,1.5223067881246843,0.0012935831524142766,False,False
557,557,0.0,0.0,1.4511846419813357,-0.006060363410294853,False,False
43,43,0.0,0.0,1.4021089733499217,0.0017978907180759979,False,False
1762,1762,9.999045976701752e-275,3.829807006421197e-273,1.3067390631293776,0.002654584052344096,False,False
1190,1190,1.2931973633262704e-173,2.5090287708552925e-172,1.2988856581092938,0.0014661197180025343,False,False
1266,1266,6.068517610540176e-162,1.1005070915767349e-160,1.2905562642306583,0.0012533810883332969,False,False
705,705,3.766867363532139e-290,1.5214719723793904e-288,1.2836634414346797,-0.0025115317392292932,False,False
2928,2928,4.521044437023569e-194,1.0248469609028427e-192,1.232558194791518,0.002630955375096819,False,False
3126,3126,9.852496686397816e-94,8.290652041224526e-93,1.225786136063192,0.0011908482306166868,False,False
1185,1185,2.3592437800399492e-203,5.6968044101725505e-202,1.2227357012826698,-0.0019941218576860903,False,False
3237,3237,0.0,0.0,1.2189579894928537,0.002516745213992193,False,False
172,172,0.0,0.0,1.201865708715167,-0.004714143518593145,False,False
1155,1155,3.406283092310119e-148,5.328914006737273e-147,1.1887982411753817,-0.0009823049164933845,False,False
1110,1110,4.0570245202084176e-182,8.423065394058879e-181,1.1816258229592207,0.0007351014854200533,False,False
1438,1438,8.806681663414769e-131,1.1576356991287521e-129,1.1660459683621371,0.008150759219173423,False,False
2407,2407,1.0636070736076031e-274,4.038979682084257e-273,1.1658616029604123,-0.0012880588471833737,False,False
1985,1985,0.0,0.0,1.163065030695937,0.006184770388324934,False,False
62,62,0.0,0.0,1.158671653262779,0.0038787836305057624,False,False
2176,2176,1.7730236627296063e-240,5.395578173635371e-239,1.1328219406607483,0.004287277318171974,False,False
950,950,2.0619761373299754e-237,6.1485637437295845e-236,1.132482215806258,-0.003521412794724031,False,False
480,480,2.01301908060184e-78,1.38449594042012e-77,1.1055938032354258,-0.0026289050905807243,False,False
1597,1597,1.0154855251866113e-164,1.8721170906241137e-163,1.0624974285542699,-0.005284377816199996,False,False
745,745,7.503636105122999e-270,2.801567665131217e-268,1.0599364940193081,0.0031337027767427417,False,False
3064,3064,6.3259211252254825e-111,6.521129364124552e-110,1.0528915471941835,0.0001651540189786943,False,False
2577,2577,1.647571006380753e-254,5.587906855992126e-253,1.0500801736728185,0.0018564638080642917,False,False
2149,2149,8.825096111853943e-62,4.718399762330574e-61,1.0498338461466623,-0.0004467350290249736,False,False
230,230,8.259256711888466e-182,1.7067850032986256e-180,1.0492260433351397,0.0027575830961240125,False,False
2078,2078,8.54013776509414e-89,6.715722493860755e-88,1.04733860898433,-0.00196167940437382,False,False
2572,2572,1.1422398937067212e-230,3.232466145056664e-229,1.0285410127341819,0.0002248745352461043,False,False
871,871,6.491450445145035e-91,5.31151276754685e-90,1.0236648907489676,-0.002692087447370893,False,False
1063,1063,7.200764998500856e-170,1.3790085727732458e-168,1.0139303018725416,0.007714509042232018,False,False
1555,1555,4.027463287226119e-308,1.8447442665098603e-306,1.0124766238905816,-0.0005927748471291489,False,False
1470,1470,2.005228808512235e-246,6.4095191339711216e-245,0.9792080795549085,0.002112582057254085,False,False
2578,2578,6.857659758926973e-176,1.3481673588014397e-174,0.9658185207568041,0.00399124508203836,False,False
2981,2981,2.058442601282512e-147,3.186641281358258e-146,0.9540388861789685,-0.00034927453445621204,False,False
103,103,2.935628262335827e-307,1.3174743807634424e-305,0.9301348294295223,0.003558965480876218,False,False
2425,2425,2.340515516799632e-109,2.379613373258756e-108,0.9260262337683618,0.0009688113091247189,False,False
4346,4346,3.0176081503959164e-51,1.2932699958097545e-50,0.9236865979093977,0.0012408950819135789,False,False
4229,4229,2.0155372141068086e-90,1.637117338624598e-89,0.9147795788000079,0.0010228442136830176,False,False
2160,2160,2.134922064256229e-84,1.5968785743249875e-83,0.8976695838092824,-1.6795372559205712e-05,False,False
505,505,3.171865923007566e-309,1.467979197491939e-307,0.8903267039138272,0.0034788849730771274,False,False
584,584,1.170599901407451e-65,6.608609100321861e-65,0.8898852943170142,6.594450766294474e-05,False,False
1598,1598,5.302586677096621e-198,1.2270516982468898e-196,0.8638282405059949,0.005411856799442248,False,False
320,320,7.793816242473764e-75,5.122474196051914e-74,0.862353639759666,-0.006106337151336835,False,False
35,35,7.339626743712257e-136,1.0127317274010423e-134,0.862095821642649,-0.0005816494540799577,False,False
3021,3021,5.515934698829176e-174,1.0796166461188559e-172,0.8579008960652131,0.0022379862341859943,False,False
1446,1446,6.552335937396553e-79,4.541658123221979e-78,0.8562130959508504,-0.0020671552531596193,False,False
1140,1140,6.442160070283409e-178,1.2777909460834458e-176,0.8411570897593794,0.0036545864079184642,False,False
1205,1205,1.887620471892123e-263,6.763465932755405e-262,0.8396455557387775,0.00580351325185318,False,False
2912,2912,1.5332703057506716e-121,1.76028939753236e-120,0.8272182291233349,-0.0021573943926129907,False,False
1425,1425,1.0943151984322861e-100,1.0045542203790593e-99,0.8243881901098933,1.2378840619296783e-05,False,False
2966,2966,3.140616044793703e-57,1.5643225433877156e-56,0.8137343808368949,-0.003032710327688176,False,False
589,589,6.417204460216242e-131,8.460427126629305e-130,0.8126375614810173,-0.0018524559979705424,False,False
2337,2337,1.727881057032113e-74,1.1256562370078707e-73,0.8109711409599399,-0.001418959300908837,False,False
608,608,1.3632110078468284e-105,1.337030134186194e-104,0.8095537620662276,-0.001127220014790778,False,False
814,814,1.2794648910405187e-103,1.227788879242554e-102,0.7953534770519559,0.00043670436254079903,False,False
3747,3747,8.16585947467394e-72,5.124422831352587e-71,0.7923662942657462,-0.004094071429436741,False,False
242,242,7.936546934268707e-214,2.0742398840562275e-212,0.7875459161572429,0.001071290698918155,False,False
1873,1873,7.378588954080816e-83,5.409747644056281e-82,0.7867940160693574,0.0042433837646949045,False,False
2586,2586,3.140325797158399e-123,3.691128972691737e-122,0.7865510529538088,0.0036891853840972655,False,False
2534,2534,1.813301957388423e-265,6.713750497230636e-264,0.757313747020384,0.0019276848810208073,False,False
1437,1437,1.4540259160357915e-106,1.4452432091604076e-105,0.7492243173098225,0.0014163905948238187,False,False
1535,1535,2.652182716705529e-73,1.702839278948362e-72,0.7482500409671425,-0.00301403608872524,False,False
566,566,1.6218785859340067e-77,1.1001536728709606e-76,0.7463717485691179,-0.00014807493587586443,False,False
355,355,3.6932961276564374e-94,3.119641577029953e-93,0.7432997837104908,-0.0019452711197449,False,False
1733,1733,3.8204514738627595e-43,1.3982097115627874e-42,0.725183346246916,-0.001066827658086588,False,False
4216,4216,1.4235183589663222e-42,5.163013933785607e-42,0.7148558283710382,0.0023782471872723955,False,False
965,965,2.6890588712590957e-68,1.6080065363397256e-67,0.7102391610252529,0.002248416151830506,False,False
2115,2115,7.187906292970576e-78,4.9132104091797336e-77,0.6948702377749949,-0.0038697113586551937,False,False
2545,2545,5.584002374971659e-122,6.444083779740021e-121,0.6931893653367872,-0.0004435611245216936,False,False
2410,2410,1.8644076447442626e-71,1.1666990374082759e-70,0.6914135638497612,-0.005147641463872622,False,False
1014,1014,2.987844863398251e-184,6.291466695771767e-183,0.6785003486244261,-6.149300595254675e-05,False,False
2092,2092,2.1371008709113468e-41,7.506038869137639e-41,0.6704735662816703,0.0015459916494714593,False,False
3382,3382,1.7595160718393945e-64,9.759712743049226e-64,0.6609272554122765,-1.408871738201728e-05,False,False
1863,1863,4.766375770078901e-151,7.757145621414123e-150,0.6588527334968463,0.0023462832935364844,False,False
3725,3725,5.2141490102948056e-82,3.766904724022735e-81,0.6584654581266214,-0.0020644134159932444,False,False
256,256,1.0231695744595206e-132,1.3859580546718445e-131,0.6540532351570493,0.003508454422842141,False,False
3962,3962,6.664087272030111e-40,2.2758293427847645e-39,0.6456525813419202,-0.0066344724505144614,False,False
2900,2900,4.023340434435526e-61,2.1331386098087166e-60,0.6279107489642138,-0.0028575026436811757,False,False
3874,3874,8.68573724329647e-68,5.1317460866976355e-67,0.62672160717157,-0.0006570267759065523,False,False
4409,4409,8.723747442504448e-35,2.6786185132720983e-34,0.6253029437824341,-0.0033358942133015212,False,False
669,669,8.844170708498233e-83,6.462935930568691e-82,0.624521134836672,0.002187705517834145,False,False
580,580,2.276295281815376e-49,9.407981336842525e-49,0.6153504394512204,-0.002904593877437328,False,False
3003,3003,4.18690923444431e-83,3.0798737961318e-82,0.6142780416317654,-0.0025169307154879125,False,False
2742,2742,1.2545550070271273e-56,6.152304521215813e-56,0.6122243779872102,-0.002624290296565846,False,False
2273,2273,4.504428859076188e-50,1.8827071891698497e-49,0.6056975235233519,0.0024193956831642,False,False
258,258,1.6371447178117353e-85,1.237046595448561e-84,0.597109857386012,0.0006675652789320009,False,False
1988,1988,2.5280182577849073e-48,1.0257520656929994e-47,0.5922125734730549,-0.0003109658547072597,False,False
1514,1514,6.134940818237167e-65,3.4329398054694876e-64,0.5920793809716484,0.004139032886892994,False,False
1793,1793,3.382690419893391e-65,1.9000371094293724e-64,0.5848285091071759,-0.003465492721828105,False,False
3307,3307,1.8346700931776132e-102,1.7269998355907068e-101,0.5840461062838225,0.0018752082422375076,False,False
863,863,4.4715783511165956e-82,3.246278204903764e-81,0.5733473880411175,-0.001748546635304285,False,False
4314,4314,4.933106481401009e-38,1.6139758539664713e-37,0.5709588150562962,-0.003619311189236283,False,False
3798,3798,5.952752337134706e-28,1.5358930681701219e-27,0.5692182807616126,-0.0026434618245679033,False,False
1378,1378,4.823586010415438e-56,2.332012257266136e-55,0.5676635387872104,0.004071036253639224,False,False
3143,3143,4.030900805159728e-55,1.8954879218325535e-54,0.5668605061074403,0.0029250637614700176,False,False
3610,3610,5.199673989604939e-69,3.1346202897984727e-68,0.560212600042435,0.0012040317095430436,False,False
3198,3198,5.234633555050246e-63,2.8432123331403717e-62,0.5519079152337163,-0.0003672818307810452,False,False
4203,4203,2.1257486324856673e-26,5.264604890821527e-26,0.5457061133544466,0.003498072496793219,False,False
1788,1788,1.4290371722256674e-55,6.797871687578844e-55,0.5347660738930631,-0.001960002670867822,False,False
1131,1131,7.390658756025664e-44,2.7432495282391e-43,0.5316738930112728,-0.0001131692806607236,False,False
3121,3121,9.979075067821938e-33,2.9246062352462315e-32,0.5282495518244011,0.0028643066623811678,False,False
2260,2260,3.488872022659322e-24,8.145590329309179e-24,0.5275208290859484,-0.0019788706760059324,False,False
1712,1712,7.316459846906596e-49,2.998803606993174e-48,0.5205703732913284,-0.00030303118201549864,False,False
56,56,5.4725310451541034e-42,1.9561106543539566e-41,0.517256135934985,0.003123408819763057,False,False
829,829,4.7758329315492454e-30,1.3025798474446467e-29,0.5154303573645097,-0.007888971009100826,False,False
1764,1764,1.207598202303805e-59,6.253331949692081e-59,0.5135810091091795,-0.003965249653696351,False,False
3067,3067,1.051015401224639e-52,4.628009343549129e-52,0.5119133175288231,0.0033928072931989073,False,False
2892,2892,6.557163713512219e-39,2.1921353182193217e-38,0.5099666862121408,0.00574505236328994,False,False
3885,3885,1.4611207385194654e-72,9.273942058917121e-72,0.5095003767521576,-0.0029452426617824837,False,False
2230,2230,1.670861508642772e-50,7.063404075071206e-50,0.507605912610494,-0.004503846030653357,False,False
973,973,5.353797160915515e-41,1.8685719391946297e-40,0.4981297088563871,-0.0012202760338819799,False,False
2038,2038,6.696607752147062e-35,2.0618869191122244e-34,0.4868518094773835,-0.001273365749625624,False,False
1448,1448,1.2391293169190393e-31,3.5246168726448727e-31,0.48483442879770244,0.007225848298827026,False,False
1585,1585,4.219314501152343e-32,1.2141460057396283e-31,0.4816118501325822,-0.00028786102489589127,False,False
3046,3046,5.977037952497457e-21,1.2700133726899188e-20,0.47700866192705826,-0.006703228371053568,False,False
1258,1258,6.08190452346722e-72,3.822051173658396e-71,0.4735748509454736,-0.0010171901216864676,False,False
2503,2503,5.1170064501217724e-48,2.0611840125014538e-47,0.4729829699653003,-0.0015578856827259228,False,False
165,165,2.2026319014172366e-43,8.081167248552257e-43,0.47007754880620245,0.00017668314011226247,False,False
1411,1411,8.167152006072296e-35,2.509450647508936e-34,0.46847250459365175,-0.003925193911587549,False,False
721,721,2.2059458949065574e-34,6.7222343011452905e-34,0.4668990030741609,-0.00023349718044306245,False,False
410,410,1.1103492768400813e-35,3.474142138732733e-35,0.46661827095614544,-0.0037418007279825076,False,False
1054,1054,6.897325323908987e-38,2.249986520861059e-37,0.46356991609080705,-0.005282019518380542,False,False
952,952,1.5171945524424912e-30,4.181696896093045e-30,0.4611631344428256,-0.0018647905661658241,False,False
929,929,1.4316064988717583e-80,1.0160747083845403e-79,0.46025068451951634,0.0046692450812830105,False,False
1587,1587,2.040362964621461e-45,7.821684772919027e-45,0.4597975518865411,0.001766799012287882,False,False
1079,1079,1.6236591346471654e-28,4.27111754602567e-28,0.44606517792068867,-0.0010332000436079035,False,False
1739,1739,4.096185939348794e-42,1.4688744252241075e-41,0.4453291808535502,-0.001686872746788446,False,False
4399,4399,3.046008992166422e-21,6.518987452887964e-21,0.44286228320740545,0.002804862194555127,False,False
1243,1243,5.45895467911996e-56,2.6363190912315197e-55,0.4420744091859716,-0.0022428358206670676,False,False
2676,2676,3.0760574117510904e-33,9.147873547797921e-33,0.4391270430706656,-0.001115738491099156,False,False
3620,3620,2.049519513334164e-21,4.403295550166194e-21,0.43222415660238256,-0.0013185524137297108,False,False
3012,3012,9.943714739402664e-26,2.422144988331471e-25,0.42877402876679727,-0.0005856180822104116,False,False
2945,2945,2.193223377334526e-30,6.01511818857858e-30,0.42685522370557877,-0.0005995018010063434,False,False
3465,3465,1.2542910734328035e-23,2.888965909415213e-23,0.42227190755791627,-0.00673797130982046,False,False
1624,1624,3.192588066616515e-42,1.1485561765163707e-41,0.42164514365913597,0.0029459679787390315,False,False
1849,1849,6.479382207576672e-38,2.1152017008275648e-37,0.4185432618809454,-0.0012712469347317921,False,False
2619,2619,2.4561166112994096e-23,5.607670145942075e-23,0.4153672125845703,-0.0015881274195938717,False,False
1297,1297,4.361331773855241e-35,1.3494009102534007e-34,0.415008540078967,-0.0012962269741629631,False,False
520,520,8.836334967525346e-18,1.720413508357367e-17,0.4114338511212654,-0.008162313460650942,False,False
3213,3213,1.1160110411726974e-38,3.705857291427724e-38,0.40740247835757115,0.002717375689630694,False,False
842,842,1.0351204651286428e-36,3.3134295580450724e-36,0.40458152217787824,-0.0014979939100273794,False,False
1531,1531,1.2879298680836204e-36,4.1108278763617284e-36,0.4022579734148421,0.0029027722722300593,False,False
478,478,2.3879816997393614e-28,6.244733779836365e-28,0.39939496613339875,-0.003883376915225157,False,False
422,422,2.9750998083461615e-31,8.366055980051897e-31,0.39642789591203886,0.003608369711444792,False,False
2670,2670,3.193093644434792e-23,7.267886814663823e-23,0.3959176972857242,-0.0013837256958755609,False,False
1004,1004,1.2175797229844475e-24,2.8836389707995204e-24,0.38849420858436384,-0.005715318076012648,False,False
2827,2827,3.9178462465834585e-33,1.1604660582380204e-32,0.38638336877008345,-0.0045452188933800645,False,False
3300,3300,3.7762163774793894e-26,9.279717569215114e-26,0.3856949947738605,0.0009713568231903003,False,False
2927,2927,2.5043953442949096e-17,4.781705421015163e-17,0.3793700976558502,0.0010982852710418774,False,False
3395,3395,2.4568205463593884e-22,5.433376648817702e-22,0.37762672161658406,-0.0002594051340150203,False,False
563,563,5.914797257836874e-39,1.981858538202808e-38,0.37412336783778566,0.0012187022925547204,False,False
864,864,3.375622014733063e-18,6.64800027103679e-18,0.371095341859225,-0.0029882670757870183,False,False
594,594,5.089908660852151e-19,1.02980255829536e-18,0.3696755982040633,0.0013932749791127907,False,False
768,768,1.9198911633027008e-25,4.646011132109967e-25,0.368095667489382,0.0031959824946983274,False,False
397,397,1.5204901791651477e-24,3.589552532428667e-24,0.36525430852411606,-0.00036412610749595245,False,False
1612,1612,2.1318868906153088e-31,6.0215978734925735e-31,0.365012933560859,0.0028268560916888657,False,False
1924,1924,6.085901540948658e-33,1.791892680346911e-32,0.36463202423594493,0.007570265632681495,False,False
2564,2564,7.282190136084313e-48,2.9227435207427823e-47,0.3628619707315781,-0.0024794781869231265,False,False
418,418,9.389957559871663e-32,2.6846577502258557e-31,0.36222766646844906,0.0009185029053183445,False,False
2474,2474,1.829800687800798e-18,3.639124644538471e-18,0.3616755134806251,-0.007580525834920254,False,False
1914,1914,8.290113353514739e-27,2.0786102499811502e-26,0.35987569354151444,-0.003969291329519856,False,False
405,405,2.300985140902176e-18,4.566001331410616e-18,0.35928801001291377,-0.0026108466605841898,False,False
819,819,4.757710593063739e-43,1.7383641583044564e-42,0.3576208370677389,0.0018804266424107263,False,False
1123,1123,7.276404379730032e-17,1.374535062038288e-16,0.353495078075468,-0.0001498208903611166,False,False
249,249,1.6292464628299573e-30,4.4794195757137994e-30,0.35235799328145717,0.004646529699386264,False,False
4345,4345,4.534636209301051e-21,9.65838383409615e-21,0.35078614440775197,-0.007606343803771235,False,False
2378,2378,8.807689936190013e-23,1.9793913194988482e-22,0.3498221090944851,-0.000869544311362486,False,False
2207,2207,3.148981332906855e-25,7.5831566732277275e-25,0.34554995793235393,-0.0016045920481348678,False,False
2828,2828,1.8492812059603508e-17,3.549182029409002e-17,0.3419469146787058,0.00043124861624811543,False,False
654,654,3.0431004316022006e-20,6.353616173688241e-20,0.335493882424116,0.0017305116567916702,False,False
3473,3473,1.790535482371829e-21,3.8580742716673314e-21,0.3343446956946652,0.0020700621028606255,False,False
3882,3882,3.618000509258196e-14,6.303833828483987e-14,0.33305819156741606,-0.004215696200648177,False,False
642,642,1.9462889680850546e-20,4.078944285472593e-20,0.33161381945920504,0.004298577216573554,False,False
2746,2746,2.2721124869985875e-22,5.03240068780395e-22,0.3271719697907929,-0.0030028356192805822,False,False
2284,2284,1.0768827280513082e-19,2.2130388347511386e-19,0.32149613385352444,0.0010929199991996912,False,False
370,370,1.6732378687886592e-30,4.597523717395184e-30,0.3208307370081796,0.00147667197905451,False,False
1163,1163,2.419976657342587e-14,4.238059238696537e-14,0.32009190088368744,-0.01794594188979326,False,False
2213,2213,2.2181622513288368e-13,3.7716398326268745e-13,0.3183971032252177,-0.010167585152126882,False,False
2131,2131,1.3601286499227835e-15,2.4756458793965288e-15,0.31613157845263085,-0.00542086974714075,False,False
1525,1525,1.122948376927269e-24,2.6652027984443675e-24,0.31451010720969386,-6.200518217276164e-05,False,False
1617,1617,6.966556687812696e-25,1.6614284145975204e-24,0.31342941928902146,0.0019210530026738427,False,False
286,286,6.22033489657166e-19,1.2539450066001763e-18,0.31262364563575323,-0.005045083469741333,False,False
3227,3227,4.261848694103989e-28,1.1047487600877494e-27,0.30992905370878177,-0.0028677043627813262,False,False
2739,2739,9.66712371302466e-13,1.6086528335943284e-12,0.2963392963561573,0.0002445720493684453,False,False
1346,1346,2.702778854029121e-13,4.581627794143984e-13,0.2949621614027469,-0.00444486634619526,False,False
532,532,4.7747764346798534e-24,1.1118622483900729e-23,0.2901100928035932,0.0024939508587565,False,False
2635,2635,1.146598613454587e-22,2.5703015335916903e-22,0.2898470319029539,-0.0012022090038772068,False,False
828,828,1.719328665520945e-12,2.8355520641832067e-12,0.2892063159116223,-0.0037114159887774063,False,False
2908,2908,7.123428896833131e-18,1.3905709397464675e-17,0.2822047409612622,0.002135093722493542,False,False
2805,2805,1.3609416994093045e-13,2.3247458556230447e-13,0.2799502929462825,-0.0011730961787164169,False,False
1933,1933,2.4284082813522678e-14,4.251149721847173e-14,0.2768606488085924,-0.0007221068606190154,False,False
2899,2899,1.3985786498492224e-16,2.618577724938936e-16,0.2750594879422508,-0.001426793784412756,False,False
1724,1724,5.8441323369177434e-18,1.1438537433006842e-17,0.27189734102469193,-0.0006209856075689302,False,False
1729,1729,1.913459276277441e-17,3.6691841020719334e-17,0.27001071687340167,0.004726107726804176,False,False
670,670,1.35423456546999e-14,2.390490335472056e-14,0.2678176680083944,0.0023445498849139403,False,False
3229,3229,1.8215385125828152e-13,3.104371158958745e-13,0.2662151309804258,0.0036629520041154074,False,False
502,502,3.1742224877035144e-15,5.7045042265970934e-15,0.26569495332951776,-0.0017545756769987205,False,False
1941,1941,9.195435478813818e-20,1.8975996206395633e-19,0.264364732018588,0.0011266291644677472,False,False
2787,2787,4.4171200121684656e-10,6.702617559448255e-10,0.2630201367201666,-0.0035423581070808865,False,False
2756,2756,1.510151596884371e-19,3.0919832004411336e-19,0.262866100055837,0.004171085076090904,False,False
3676,3676,8.788331430308847e-13,1.4657115820143471e-12,0.2625395513565474,-0.0033359608648466394,False,False
2212,2212,8.063522616729586e-13,1.347357314258351e-12,0.26085572162291354,0.0011420747175336556,False,False
1623,1623,4.171132516333855e-17,7.919804175244153e-17,0.25960277023595624,-0.005368090335888009,False,False
4328,4328,3.816805967890044e-13,6.44058827016159e-13,0.25773989581385853,-0.003466840258014631,False,False
2665,2665,5.603029013020979e-18,1.0976304190851943e-17,0.25738339862006576,0.0044798796064028645,False,False
39,39,2.6535508684871116e-10,4.0654229340304264e-10,0.25612259447839775,0.004125877398752565,False,False
1305,1305,9.054120551041484e-17,1.705275863004549e-16,0.25527763229398587,-0.0019743198431218766,False,False
1432,1432,2.868343253218404e-11,4.541713853902127e-11,0.2518657813471332,0.004145093932853176,False,False
1834,1834,7.687576752745994e-14,1.324899282872399e-13,0.25055674211816326,0.006850945333527683,False,False
786,786,9.224015691049747e-12,1.4811095668714864e-11,0.2503435588735031,0.004789921835936534,False,False
441,441,1.6385624384175157e-09,2.438088718650041e-09,0.24999945786671704,-0.006591937963496181,False,False
2910,2910,2.580002301275633e-09,3.805760366722323e-09,0.24829606913739097,-0.0023657161722078907,False,False
1550,1550,3.7648415659804814e-10,5.726528955032961e-10,0.24596491954735533,0.00014112911565582024,False,False
2249,2249,7.670566125861506e-12,1.2361380231121753e-11,0.24593523507309353,0.0009980973697529,False,False
1109,1109,3.720343323317867e-13,6.282586615545907e-13,0.24373034896469487,-0.0013886062258580238,False,False
1912,1912,9.510145939745245e-11,1.4794670311725534e-10,0.2428420531985306,0.0013204765085097943,False,False
538,538,2.68847322496216e-15,4.8438307131009234e-15,0.24271244142965967,0.002428293954708044,False,False
283,283,1.8147026597801577e-09,2.6938603131985436e-09,0.2418757968905616,-0.0032320112863285927,False,False
2312,2312,1.491918408386021e-19,3.058675686795094e-19,0.24064873695424588,0.004776830749813238,False,False
2518,2518,8.545976726562361e-11,1.3322727928461954e-10,0.23962745829053086,-0.00010899634431333141,False,False
3944,3944,2.4407929483162145e-10,3.74462813168817e-10,0.23570661797037745,0.0014317446155018565,False,False
3427,3427,1.4930036894563278e-23,3.4263509257512734e-23,0.23537635753614247,-0.0010641794419196868,False,False
2402,2402,3.3533029138307934e-12,5.453413194052056e-12,0.23391893490068277,-0.0006626565330781695,False,False
2925,2925,8.955806615668482e-14,1.5398857892188492e-13,0.23288268165381257,-0.0039680463768748744,False,False
3280,3280,1.1213115894326527e-13,1.923547255540261e-13,0.22952892826030094,0.007196335149799388,False,False
4408,4408,2.0347406508591584e-11,3.235630891827931e-11,0.22888074882654844,0.0006557104268275771,False,False
3877,3877,3.1490081136580328e-21,6.736178646597323e-21,0.22726850485591457,0.00443222106797965,False,False
924,924,3.4893181754952377e-12,5.6683878075778216e-12,0.2266135633464892,0.0060280413479585696,False,False
2666,2666,5.566698849773116e-11,8.736433412060034e-11,0.22334642639503638,0.0018345063092078855,False,False
1072,1072,9.239482543513936e-09,1.335861403866984e-08,0.2209752989003619,-0.005689594745610427,False,False
631,631,1.919148687868526e-11,3.054003445630323e-11,0.2194856308614799,0.0034155731781137736,False,False
471,471,9.353643217816926e-12,1.50138138788875e-11,0.2180771131051304,-0.004290662647886674,False,False
3529,3529,2.5833284320198475e-09,3.809401999158375e-09,0.21657767463779987,0.005828583478285961,False,False
