,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
4161,4161,1.815124316326361e-09,3.69766040230996e-09,10.952328129674008,-0.006182347385408654,False,False
1299,1299,4.6341620603509136e-10,9.483916183389732e-10,10.63470022019839,-0.002426559133475682,False,False
4201,4201,6.366801851749904e-08,1.2811458617447837e-07,9.95328860434835,-0.012852922617915742,False,False
1465,1465,8.226894755978691e-14,1.7080417477015572e-13,9.554564896578377,0.006740042370044618,False,False
2618,2618,1.646852277231214e-06,3.247654091317481e-06,8.21637411182162,-0.006986463513003648,False,False
2610,2610,6.944760444746187e-09,1.4082871134645052e-08,7.590822608769412,-0.00216182039926625,False,False
3715,3715,6.996370312324032e-16,1.4580146950119922e-15,7.135986007967009,-0.005451520770829087,False,False
3488,3488,3.819861106743607e-07,7.60719089971396e-07,6.850120094287914,-0.0011499402491186275,False,False
498,498,1.01058192183657e-11,2.0854693352159224e-11,6.809794949958906,-0.0015097833742174246,False,False
1421,1421,1.8173969779667642e-05,3.5260675865093165e-05,6.745478028323211,-0.0027482300440519534,False,False
2442,2442,4.2236824976292595e-05,8.144887733058506e-05,6.7161187403356255,-0.010318201845564848,False,False
4039,4039,3.2921985130439653e-06,6.469366649028897e-06,6.557006970009774,0.0017812599794559416,False,False
215,215,3.731393955286624e-09,7.580513645788052e-09,6.361816482514357,-0.00032094984035617533,False,False
685,685,1.3719580694129324e-06,2.7091598677340706e-06,6.327286622791713,-0.0005142216769843406,False,False
2535,2535,2.9097633319677133e-06,5.722920975623085e-06,6.211555489024196,-0.0048506327674069805,False,False
1632,1632,5.556366862443698e-05,0.00010700883385278435,6.119459603794633,-0.0023975752247902124,False,False
553,553,2.219432515114811e-05,4.29857831937886e-05,6.114941962514058,-0.0002987995582109026,False,False
2277,2277,1.1410848588876169e-07,2.2888668298138517e-07,5.703271906322073,-0.006356530305239964,False,False
845,845,1.5051198971245081e-05,2.926585427975575e-05,5.560425120852295,-0.0009437895548147735,False,False
792,792,1.5825510535606854e-05,3.074453139908231e-05,5.472913064695215,-0.002736305279282454,False,False
1028,1028,3.0301841388375215e-10,6.212786400025431e-10,5.4587710989306695,-0.001307155720671463,False,False
251,251,2.7508548873120317e-10,5.6452878819064e-10,5.457254145777047,-0.002261829393368594,False,False
2806,2806,3.07396747692853e-08,6.199563095775515e-08,5.176835832277767,-0.006471096746856802,False,False
724,724,0.00037212910340453885,0.0007029632680384209,5.1631225648454375,-0.001140386421690228,False,False
1679,1679,4.83274898908469e-10,9.88122584376589e-10,5.11826741764692,-0.0017475119986600765,False,False
3558,3558,8.907151351844898e-07,1.7635683358398786e-06,4.995225120087248,0.0011072669504920976,False,False
2574,2574,0.001221017043280486,0.0022613500305523966,4.9316346849956645,-0.017876901252685432,False,False
2836,2836,0.00020073287288980388,0.00038260667277966484,4.8955303206613605,0.0027185049791200694,False,False
1880,1880,9.848526272891295e-08,1.9772707740829653e-07,4.871147064570587,-0.0037289559283501,False,False
235,235,3.567027934413666e-05,6.884580848218904e-05,4.822918772262865,0.0004211660489487055,False,False
1136,1136,7.491930736913729e-10,1.529717291549067e-09,4.689047515460171,0.0033144948657765805,False,False
636,636,1.6039751753822058e-15,3.3347972410964624e-15,4.687565497962023,-0.006505895855384753,False,False
701,701,0.0008819121344815773,0.0016442868709616654,4.657735813827099,0.0011120704006454185,False,False
1445,1445,0.001476306364844336,0.0027250640544260016,4.614316358399551,-0.0039267051768889566,False,False
421,421,6.456903039076014e-07,1.2812871908269195e-06,4.519978808638882,0.0020343482351764964,False,False
2453,2453,1.855886534711551e-05,3.597602039146345e-05,4.468776905058707,0.0035259642014505736,False,False
3284,3284,0.0004132769495681024,0.0007796982959367639,4.398378700737659,-0.007504244451444954,False,False
4216,4216,0.0002143946712212515,0.0004082964098739907,4.380188158737828,0.0023737303730665947,False,False
470,470,0.0027292891369691,0.004986114981724387,4.3782121830492935,-0.013405862747829785,False,False
2346,2346,1.1762187957698036e-09,2.3994215379271063e-09,4.2060396337804145,0.005860148011445949,False,False
94,94,0.0004271105946541757,0.0008051134374410279,4.201101470145589,0.0006060735136746854,False,False
3073,3073,0.002860973968185876,0.005224540625010213,4.169270236132453,-0.012081855955204552,False,False
3279,3279,3.1542752689258586e-11,6.497192869651177e-11,4.042582597580153,0.004637740993979711,False,False
1705,1705,4.3598952077460455e-09,8.853297261433126e-09,4.039655389712588,0.004661960340796218,False,False
1232,1232,0.0019626679187679384,0.003604850584161203,3.9751078188519653,0.002061475318617172,False,False
363,363,7.168579895788249e-06,1.4024658950676878e-05,3.8385335359184314,-0.0020055452376728624,False,False
1234,1234,0.0004430735175021289,0.0008334359179771206,3.828579747763601,0.0037052250373949772,False,False
3198,3198,4.0809464370886177e-11,8.398168142651565e-11,3.8116123868530916,-0.00036671778118300795,False,False
3786,3786,7.282382526818729e-09,1.4760778086977925e-08,3.77864091433088,-0.0007898735844119008,False,False
1298,1298,7.344986082369583e-07,1.4568648733914312e-06,3.771225830945677,-0.006783240744719768,False,False
2242,2242,0.006199939190161715,0.0111433373065892,3.6431355200317355,-0.011176147114763864,False,False
4019,4019,4.547640483426489e-07,9.048440066217595e-07,3.564565029411206,0.0006606561286621457,False,False
3442,3442,0.00013440813228731574,0.00025707074117629956,3.5213506204671,-0.0006871145157268713,False,False
1139,1139,2.831402855942448e-07,5.65389792761901e-07,3.4870218642233155,0.0030336489529873686,False,False
847,847,3.1756941257694235e-07,6.335702290432667e-07,3.4825087741008196,-0.002674883647283435,False,False
530,530,3.9497929809234647e-13,8.18513536112078e-13,3.4366534493677756,-0.0013610196414363845,False,False
710,710,0.0006783952119294254,0.0012707040162742145,3.409685017984744,0.0014642712083256203,False,False
1175,1175,0.0024969749722354414,0.004567336270746013,3.3915037130194143,-0.0022952585535362417,False,False
1388,1388,1.0812858263177172e-08,2.1896777239423963e-08,3.388623415771198,-0.0008510916094451398,False,False
1079,1079,0.0001497252525039607,0.00028575141618346106,3.376252682868612,-0.0010474008981297554,False,False
1459,1459,0.0003404431016987587,0.0006450271645405479,3.373931889187026,-0.0022546270420899742,False,False
615,615,1.8444305023789253e-09,3.755639194349022e-09,3.3557596860130054,-0.0018939135074981048,False,False
2783,2783,1.1817093376589746e-08,2.3919519759539063e-08,3.3524877395935935,-0.0014549158640567404,False,False
137,137,1.1977710112509165e-07,2.4004044217355984e-07,3.3336788892287292,-0.0007897645151103588,False,False
667,667,0.01180985848698924,0.020879904997092396,3.258241229453786,-0.01697264264611783,False,False
1873,1873,1.4520858418642373e-06,2.866111681653846e-06,3.2087499889316224,0.004236268260901899,False,False
2065,2065,2.2159893552571282e-14,4.602917580835634e-14,3.1909104974484674,0.0019274662244762753,False,False
1276,1276,6.838237510967503e-05,0.00013158202365192126,3.1827514196349087,-0.0026342394630498606,False,False
4289,4289,0.0005308842950785776,0.0009960806262813008,3.0617537044815855,-0.0016476941676458361,False,False
980,980,0.013349109738793824,0.023498452682036833,3.0496971066242944,-0.009758971400409931,False,False
1120,1120,0.0021891476827541017,0.004014190323762474,3.0464445366369604,-0.0002477420036799459,False,False
1983,1983,0.0012610536282324498,0.0023335532154255623,3.02010165353852,-0.0027660444337648336,False,False
4063,4063,0.013210232469345698,0.02326320367075027,3.009932934768425,-0.004775858181409664,False,False
876,876,5.118645592227378e-07,1.0170904457185261e-06,3.00882806598627,-0.0006055797550080159,False,False
3685,3685,0.004362862809990024,0.007918382134307875,3.004971971591757,-0.003909191647314857,False,False
2100,2100,0.004817970353214684,0.008719446956958386,2.977939691838538,-0.0007845605234643579,False,False
1020,1020,3.510524555841539e-10,7.190991517567523e-10,2.9618580683682856,0.0004333645623845548,False,False
1712,1712,7.851975406525279e-07,1.5567303316015982e-06,2.945316940677337,-0.0003058453871941703,False,False
1735,1735,0.0002037602831654692,0.00038821052234313023,2.9194646410296397,0.0014336533429850614,False,False
1082,1082,0.005804310359503034,0.010453405321147944,2.9008897581975397,-0.0029360804981921704,False,False
2878,2878,1.5687612588343303e-16,3.270767842797245e-16,2.8999106935488284,0.004044545277148575,False,False
655,655,1.7728413763020716e-05,3.44112461114465e-05,2.899168964622404,0.004965375187553555,False,False
128,128,6.786057554230708e-06,1.3282138199756403e-05,2.881610542000638,-0.003328258026842194,False,False
1303,1303,0.0009042380167356866,0.0016837927528737032,2.8485648298669286,0.0014784688685904378,False,False
2838,2838,0.0017222196558852054,0.0031684562861689306,2.831173104662584,-0.003335772395193455,False,False
1366,1366,0.00010961856376099398,0.00021029157115289132,2.8214144309931095,-0.0006970121255152608,False,False
3126,3126,0.001512527141271018,0.002790763325858444,2.7681835513929496,0.001156902909806851,False,False
3194,3194,3.0241579003438182e-06,5.945280332401587e-06,2.6888169101174038,0.001420242166793903,False,False
1703,1703,0.0004804836205044193,0.0009022775680055516,2.6786335882735517,-0.00402317292961347,False,False
3267,3267,0.002118700664878194,0.0038866172807819226,2.666213871218602,0.006065378672707016,False,False
1530,1530,0.024305459566171483,0.04192125654211953,2.665707635583137,-0.012774822683497979,False,False
2450,2450,0.0160878684999544,0.028118961347481274,2.654301249376469,-0.0015286138999826583,False,False
1007,1007,0.0002482217793394753,0.0004723123621435926,2.651737077234514,0.0020907496381678825,False,False
1628,1628,2.7472681174162766e-13,5.695805994251291e-13,2.632728001610793,-0.0017401264300251178,False,False
1529,1529,3.996880579472582e-05,7.710872954666384e-05,2.6093671507204825,0.0021120234715519834,False,False
661,661,5.8539873787199305e-12,1.2097332987745418e-11,2.565666622148773,-0.004107826774502832,False,False
758,758,1.7355227858913704e-09,3.537122815465761e-09,2.529585801382818,0.003486993302943513,False,False
160,160,8.983842003799149e-05,0.00017264364196747242,2.467554417657089,0.0036734352641520497,False,False
1297,1297,6.327227717245682e-06,1.238954285928716e-05,2.457712834073995,-0.001306729750130185,False,False
1644,1644,0.02724533149089718,0.04681013449886163,2.4429526212468273,-0.00896026959151799,False,False
3744,3744,0.010489648506541625,0.018627301484638065,2.436965773496076,-0.005395083542473425,False,False
355,355,3.334951659145403e-07,6.650444444157552e-07,2.386481191413854,-0.0019573329970078873,False,False
3303,3303,0.006687483611726081,0.01201475523125717,2.3816725907578986,-0.002045704423234965,False,False
739,739,0.002896046529423099,0.005286415254817925,2.378420703830565,0.005654143450750799,False,False
4345,4345,0.0010979293145065372,0.002039339441618957,2.3579418589301606,-0.007609476100318352,False,False
4021,4021,0.029391420737320942,0.050283435631850955,2.3545066761182127,-0.0036571862087687846,False,False
1148,1148,1.4870197715569643e-05,2.8939241546331983e-05,2.340275850075461,0.004861030134419388,False,False
682,682,0.0005877400422350141,0.0011022916874842412,2.316896994751388,-0.006249179522370151,False,False
2740,2740,0.00035191397856444625,0.0006659087763040181,2.2799674372520995,-0.0017722371683798611,False,False
1059,1059,1.0204812302430512e-10,2.097131408866733e-10,2.2651709632937926,-0.002238562179417133,False,False
2827,2827,1.603482198407496e-07,3.2105774707185695e-07,2.2178206071488464,-0.004546130853359865,False,False
275,275,0.0024331932729237536,0.004454337746848058,2.212653884029457,-0.0010332859920878332,False,False
688,688,0.02812170329991927,0.04822258886975735,2.1860686199364334,-0.011201657164144665,False,False
129,129,0.004436091792524605,0.008041797431513073,2.180210672006841,-0.0003693641070930968,False,False
1809,1809,0.033138820169041475,0.05639056990082393,2.1484033664236213,-1.2585515045786689e-05,False,False
387,387,0.00733979662891853,0.013144182354810572,2.145831104798883,0.0054627487866493055,False,False
85,85,1.9535553201368925e-05,3.785279671769827e-05,2.1379436342816396,-0.0001876259373387166,False,False
2946,2946,0.004368609630667604,0.007925574760741594,2.129577274378129,0.005439080861023574,False,False
2485,2485,0.029788706207331192,0.05094350334071305,2.1131532536882007,-0.003143570486444847,False,False
2407,2407,5.098476800905104e-09,1.0348347385299852e-08,2.1062329875668797,-0.0012833795228035783,False,False
908,908,0.006890375986625248,0.012374268596837502,2.0944948431317574,0.0027727184254815363,False,False
3301,3301,0.011169889382351214,0.01977203925330137,2.0840092006445556,-0.0002458718087920886,False,False
1177,1177,0.00029506456947358417,0.0005600050756818174,2.0763158232977266,-0.0009359423250796116,False,False
1242,1242,0.05167102856928616,0.08601512923691959,2.070557173851176,-0.008896882053780811,False,False
2853,2853,0.048453990700181686,0.08099363456768519,2.0669256473145934,-0.013739730604202059,False,False
286,286,0.00036875158533553255,0.0006968793252427781,2.0610498976690703,-0.005052077893196082,False,False
1511,1511,0.000428720244906844,0.0008078049398308345,2.0562052112236624,6.073648440365221e-05,False,False
3207,3207,0.0003412827580064971,0.0006463424099841716,2.054549603775855,-0.004164590063039426,False,False
2901,2901,0.0015278536738353148,0.002816702851805105,2.050926100675007,0.0007873178742394345,False,False
2898,2898,0.001111138472671879,0.0020630122164986037,2.029006356951758,0.0016227758927560053,False,False
1911,1911,0.03287585599217171,0.055964531867133675,2.0224071124876697,-0.003241102768793622,False,False
3985,3985,0.008359249585779707,0.014921713905029825,2.0120924533380764,0.0014601036507906307,False,False
950,950,8.412109627423578e-07,1.6662952775141756e-06,1.996250460567584,-0.003534633613996775,False,False
4395,4395,0.005000602367898297,0.009042603305076164,1.9897152693119058,-0.0006244261118047916,False,False
281,281,0.00047764348283958936,0.0008973234648018163,1.9896953947347673,0.002324036738664764,False,False
4352,4352,0.053323665120331105,0.08869975444763425,1.9866756267786287,-0.0076757069596409405,False,False
3650,3650,7.647404270358264e-19,1.5959331692438595e-18,1.9828816320610771,-0.0012167796878365426,False,False
4077,4077,0.005592989072156569,0.010076906102024184,1.969281834717353,-0.0006614051175990098,False,False
4304,4304,0.0354720536742573,0.06003898456180007,1.9647504071126607,0.005826670633174089,False,False
2988,2988,0.0012598335006526657,0.002332266768083247,1.9523864218418923,-0.0019147776304570107,False,False
2571,2571,0.0011136861860808667,0.0020668787488543404,1.9507953955590014,0.00032767846506843204,False,False
4040,4040,0.001330519085275504,0.0024590250814804757,1.9460713203451017,0.002451091057304667,False,False
1479,1479,0.00040355567521849754,0.0007616813360219985,1.8801379878544284,-0.0030252929478948804,False,False
560,560,0.0010495035048894807,0.0019510226243614908,1.864743550709192,0.002048753147473977,False,False
1433,1433,0.0006063964658402273,0.0011368014758346542,1.8390361073960515,-0.0019979068804639945,False,False
1292,1292,0.003144493694364095,0.0057305108630269375,1.8274284189815486,0.0010479958472993242,False,False
4365,4365,0.03807040809664288,0.06433884487386243,1.7941357411887908,-0.0030832064756540762,False,False
110,110,0.06434319586057352,0.10568459120463147,1.7912896767177346,-0.0003859043574858564,False,False
2646,2646,7.501289340913337e-06,1.4669114675034311e-05,1.7420947396295137,-0.002078640165302435,False,False
152,152,0.00160928585667982,0.002963140099970344,1.739588855162346,-0.00083735089288955,False,False
2995,2995,0.02563895166363632,0.04411845942739588,1.714383425680086,-0.002355510554595858,False,False
2458,2458,0.02563811678249658,0.04411845942739588,1.7118129958217363,0.0001355806973065858,False,False
2666,2666,0.0069342168113375995,0.012442942363801677,1.7115184542022541,0.0018345155196547163,False,False
1567,1567,0.0579716816887997,0.09592266708882806,1.6997765078420661,-0.005912525444334325,False,False
800,800,9.281321772200061e-07,1.836833524894649e-06,1.694140337234065,0.0006432731061152611,False,False
71,71,0.0011882353040932822,0.002202473698826221,1.677495371423752,-0.0065291323723648135,False,False
2098,2098,0.03733068059655725,0.0631367392046075,1.6696698171800959,-0.0006108201387351854,False,False
2872,2872,0.009640480836356293,0.017146779966345484,1.6481500728140188,-0.0015672631135382415,False,False
447,447,0.011092407763949479,0.01965054533302533,1.6429203669270644,0.0015097547139260043,False,False
1507,1507,0.06408052317155234,0.10533542792814259,1.6374954812215012,-0.002961050961060511,False,False
1528,1528,0.0029957070586027292,0.005466088895840627,1.6237247133045063,0.0004525544208259257,False,False
1002,1002,0.06796854871843362,0.1112690722019162,1.6138111487678095,-0.0021090555855625384,False,False
