,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
4570,4570,1.5091536556129585e-44,6.910246905312224e-42,4.2085102505513845,0.011803200674279257,False,False
4536,4536,5.067187613448517e-34,8.437123294958116e-32,4.049240922703487,-0.0051623315769886435,False,False
4524,4524,5.537438427732591e-72,1.8255827008548805e-68,3.9692760198431354,0.0021576438739042414,False,False
4529,4529,1.143524261241872e-54,1.4499887632546936e-51,3.962715827617299,0.009727215580394216,False,False
4518,4518,5.327598026735731e-55,7.983647806610164e-52,3.9118111557407063,0.00033403575896581716,False,False
4547,4547,1.1231778325325736e-43,4.628615847866736e-41,3.902129607388698,0.003695032032288492,False,False
4558,4558,8.731524903550846e-53,8.466497441772479e-50,3.886951772986922,0.0016173818774928017,False,False
4566,4566,3.6478361309424535e-48,2.14753324223055e-45,3.8374397091278594,0.0008473757619705258,False,False
4538,4538,1.6433768626612382e-36,3.0783436595577105e-34,3.8161800092479594,0.006458284891397742,False,False
4562,4562,1.4285463392757299e-27,1.1953379622650321e-25,3.8096232351773085,0.010344719541533182,False,False
4544,4544,7.095113675605736e-38,1.5625847876931815e-35,3.787644540327645,-0.009817075534920866,False,False
4568,4568,5.463801785794453e-31,6.574110119491661e-29,3.7487984750119607,-0.014110595087078043,False,False
4554,4554,5.5113948804131075e-39,1.3976897416727642e-36,3.728579528143757,0.0013734352652147175,False,False
4583,4583,3.6960706315485346e-30,4.173015636331921e-28,3.71762208350066,-0.003271955902503454,False,False
4517,4517,4.0655221032446795e-37,8.483046373403202e-35,3.6704626993097382,0.0027243943609664423,False,False
4521,4521,2.553643633872043e-43,1.002244325255875e-40,3.6610063407412037,-0.00960371279208544,False,False
1028,1028,8.065238494617562e-65,1.6618423918159487e-61,3.608139604792242,0.006606377869566665,False,False
4508,4508,4.292881681465695e-45,2.1967899385869332e-42,3.5443705231419544,-0.0032964277957949206,False,False
4565,4565,7.731303937922957e-23,3.6412232603634865e-21,3.5217741740995487,0.0015937972084660024,False,False
4592,4592,4.831791592005376e-37,9.955906575327077e-35,3.508610364028533,-0.022706299861483814,False,False
4506,4506,6.05221089360972e-27,4.597449049320858e-25,3.4397703309218928,-0.020695732512105824,False,False
4513,4513,9.520318959652145e-24,5.046075168196333e-22,3.4267621436520765,0.008329894904607782,False,False
4507,4507,5.213823912521052e-38,1.1936760190832919e-35,3.40714240583731,0.002144737305558614,False,False
4520,4520,3.3065037019388657e-53,3.4065254389225165e-50,3.3938961945786996,-0.00585880639470529,False,False
3311,3311,1.7538587386497973e-41,5.5597322015198575e-39,3.3740886947048536,-0.0025849046108726015,False,False
2293,2293,1.5273477330078042e-26,1.1091101335198521e-24,3.3684048185786573,0.008349536817654796,False,False
4567,4567,1.3339237391283682e-54,1.5705999225565728e-51,3.363560862723612,0.014101761813646307,False,False
4563,4563,9.160050592137263e-75,5.033142465359688e-71,3.3300223539962053,-0.02034905919936622,False,False
4582,4582,5.043794262449622e-29,4.97855716300716e-27,3.25472316847111,-0.02099751727717536,False,False
4514,4514,8.294602130295033e-28,7.196222185041227e-26,3.246350107122529,-0.014145467871832323,False,False
4539,4539,7.779788854653524e-26,5.191985404052983e-24,3.238095412833404,0.009088688184037186,False,False
4578,4578,2.6409631154763683e-27,2.0893588096413947e-25,3.1996277308474492,-0.0032683942075099615,False,False
4496,4496,6.778040489937168e-23,3.219862231588596e-21,3.1735751109641477,-0.006102922217506218,False,False
4560,4560,4.266061247887184e-21,1.6430316264058958e-19,3.167898866568083,-0.0023366624561353133,False,False
1329,1329,1.824735402891372e-52,1.6710521322922986e-49,3.1623707422300744,0.005680716327439939,False,False
4889,4889,4.739600707087288e-25,2.8618160459936573e-23,3.1332535204953857,-0.006155481847243682,False,False
4588,4588,1.7216685108796788e-25,1.0873556985954264e-23,3.1020387768529427,-0.009740645574348755,False,False
4540,4540,2.356925612919444e-22,1.0443968226710783e-20,3.1013856512384597,-0.023284794189799812,False,False
4489,4489,1.4508337510166963e-19,4.783108710351844e-18,3.0599653066089982,-0.010082668593815569,False,False
4481,4481,2.6044174478526968e-27,2.07397184591323e-25,3.0487542090537105,-0.013361337459515954,False,False
4484,4484,3.086326261453587e-29,3.121165772625824e-27,3.0435393081185858,-0.012632706035151792,False,False
4553,4553,5.871169678901582e-14,9.835402539330657e-13,3.039773597493125,0.001950543051394582,False,False
4600,4600,6.777997630836696e-21,2.556716543403023e-19,3.0288612982958796,0.017256861857663147,False,False
1753,1753,4.881541635955373e-19,1.5165237915786963e-17,3.0251355521389134,0.023998160594789056,False,False
4490,4490,4.1998338352819996e-20,1.4667385792539932e-18,2.9951747125060795,-0.0074476701878358476,False,False
4603,4603,1.6722921737055193e-19,5.480330853153436e-18,2.9814496585518047,0.003268177475973716,False,False
4483,4483,3.7233913733438726e-22,1.5941917765766337e-20,2.974415546633684,-0.010028389080386668,False,False
4500,4500,4.566883097345153e-15,8.869273892185264e-14,2.940576175756424,0.02526942149459442,False,False
17,17,1.3363292925872614e-29,1.3854120791829192e-27,2.9336148124996186,-0.020565852086331354,False,False
4528,4528,1.6853887896040565e-14,3.0529614074542053e-13,2.927351978277124,0.0048547059535662684,False,False
14977,14977,3.0884374197955176e-15,6.133711135892688e-14,2.8721720971718896,-0.01617154165526999,False,False
1029,1029,2.329212086093503e-41,6.98086036857551e-39,2.8623922822327446,-0.0032412856023575076,False,False
419,419,1.0997100200352925e-37,2.3852131539818107e-35,2.8520249960560835,0.009326116758561154,False,False
1696,1696,1.0376429928515117e-54,1.42537559118036e-51,2.836457835928417,-0.004245699245666229,False,False
4523,4523,1.838692764066157e-14,3.3124602757231184e-13,2.83503599086024,-0.014956427457805621,False,False
409,409,1.699969835377303e-27,1.394144416236789e-25,2.8019234186655257,0.014763118066736913,False,False
4525,4525,5.7191779835822224e-15,1.1026307588464251e-13,2.712888193794332,-0.010792671780929103,False,False
4543,4543,1.7080468784291835e-18,5.027757990004761e-17,2.6884360229621285,-0.006761455385091292,False,False
4542,4542,9.300416794595721e-14,1.51640030110896e-12,2.685917756247954,0.017657936601521318,False,False
4480,4480,1.6123936579669782e-12,2.194772672000633e-11,2.682745622244115,0.01675422820008389,False,False
4516,4516,1.398294204223057e-22,6.384897967427388e-21,2.6694340253314297,-0.007975351814423687,False,False
4602,4602,1.3221244610249394e-10,1.3961498792783536e-09,2.6617622877352356,0.0023789712576351707,False,False
4999,4999,1.2076481958202064e-10,1.281833410167436e-09,2.637076671952317,0.004439081039314438,False,False
15990,15990,9.165103422563106e-22,3.8247484763931706e-20,2.6297258539826327,0.034549738234591065,False,False
4551,4551,1.2354170193319348e-13,1.9771470045308364e-12,2.6161597979890803,-0.014619386981870153,False,False
4609,4609,3.697095775331534e-14,6.381458299535604e-13,2.611265773684803,0.005572947339909998,False,False
4557,4557,8.228236294627365e-14,1.3482529530878478e-12,2.6098944270224855,-0.0180042457485326,False,False
3299,3299,1.4574902829165316e-21,5.946848966236659e-20,2.600369941826378,0.008613749604409277,False,False
485,485,9.474553675150286e-21,3.5334511941442833e-19,2.5951826871023793,-0.02366056335908913,False,False
116,116,4.996266857421262e-19,1.545186920782966e-17,2.591591581863207,-0.015389630404832988,False,False
4534,4534,7.679361823631557e-11,8.388774042461405e-10,2.5895279835333356,0.01713723841107162,False,False
4587,4587,4.937456203401885e-16,1.0794300803299292e-14,2.5827223720647177,0.0017733976304451782,False,False
4488,4488,3.589712879249606e-11,4.1155415111803357e-10,2.5790699980061755,-0.0276419356683599,False,False
14225,14225,6.710844003094599e-12,8.496278997466313e-11,2.5710418908595627,0.007403922918315889,False,False
4504,4504,3.3895143025083345e-15,6.667393050423316e-14,2.560322061746464,-0.001556439342574975,False,False
4550,4550,5.278563439669455e-31,6.397929392611124e-29,2.5428196238443013,-0.010135572001873733,False,False
4522,4522,1.202411971296197e-12,1.6655931878022278e-11,2.5404340094985205,-0.015572480113306322,False,False
1384,1384,1.7092494411552984e-17,4.4370500453549506e-16,2.5153045279915562,-0.004085844945653616,False,False
4590,4590,1.2495185226373798e-10,1.3254223505247471e-09,2.5084115708341317,0.0003986614799690036,False,False
4573,4573,1.4387046569939623e-14,2.629224785575219e-13,2.499675378867169,0.007083101840454159,False,False
4561,4561,7.690537827381694e-15,1.450467111516703e-13,2.497496670399292,0.002742519431044352,False,False
4526,4526,1.3319575180178653e-20,4.87910838377922e-19,2.4889658579642067,-0.004890688646649238,False,False
4457,4457,2.409289758368094e-13,3.701279811457564e-12,2.484299431200515,0.020391918748577487,False,False
4545,4545,1.2503777857508258e-09,1.1393713333508354e-08,2.4728820189576854,0.0015272518567810284,False,False
4482,4482,1.1587168021757594e-10,1.2330721605594072e-09,2.4680231436076783,-0.009419922941375516,False,False
3169,3169,8.144513362349779e-22,3.4248509761472895e-20,2.461173053125981,0.016004688908828404,False,False
4501,4501,9.903180152324297e-18,2.6673859743613355e-16,2.4549123686866223,-0.008934665912794515,False,False
10572,10572,1.8550378792247656e-09,1.6413550403188963e-08,2.4515075206583345,3.4446802024995504e-05,False,False
4606,4606,3.5117273536523024e-08,2.4951428317932994e-07,2.4435086613112835,0.009137338282820706,False,False
4616,4616,2.6707929622625605e-10,2.7176142709837066e-09,2.4387960034612566,-0.014353847555250668,False,False
4581,4581,3.1418893603034233e-09,2.7016642783120306e-08,2.4182818913685096,-0.006132848927882642,False,False
4594,4594,2.8541738609215103e-13,4.344247638359204e-12,2.4142212519946504,0.02729238222505695,False,False
1257,1257,7.124247318049793e-17,1.711896396366367e-15,2.4141197177371474,-0.02508289238981179,False,False
3659,3659,4.934495046641487e-27,3.783265876690152e-25,2.400788342819613,0.019701972038307786,False,False
4505,4505,2.796047720043363e-11,3.2526500082706275e-10,2.4002771566366703,-0.0012382512562443132,False,False
4473,4473,1.7186196107192294e-10,1.7918865062046665e-09,2.3969485721651242,0.027518247925092318,False,False
4556,4556,4.228320902404383e-10,4.1711335580630664e-09,2.396307453089455,-0.003568931283074603,False,False
