,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1355,1355,4.484115439587189e-42,4.373737213381966e-40,2.961858749328889,0.02971488206626252,False,False
1176,1176,2.475376504652575e-95,5.1005132878366305e-92,2.784231864340908,-0.0019123591135408735,False,False
1223,1223,2.1556044308236443e-47,3.3208395736165375e-45,2.5877979240569813,-0.015191858641793343,False,False
1374,1374,5.507295338586699e-38,4.1453085096467187e-36,2.515933619030581,0.012622515277840307,False,False
1202,1202,2.4930046938415343e-53,5.629409503189569e-51,2.452399551672697,-0.009793512255310555,False,False
1395,1395,3.4460062329195357e-156,2.8401983371722814e-152,2.412095309953841,0.0024731841469096683,False,False
1369,1369,4.6314070396078035e-36,3.1288571164301244e-34,2.38421217122825,0.00938450171055391,False,False
1368,1368,1.2664333162414582e-36,8.959608062199227e-35,2.3396965473420535,-0.003420907542724616,False,False
1405,1405,3.191155924886826e-43,3.4836433288632083e-41,2.3230859254759397,-0.00964460693567637,False,False
2033,2033,1.5789801788089195e-104,4.337984877914371e-101,2.290680115984946,-0.036122365724469,False,False
1224,1224,9.153891407822591e-53,1.9854308679808896e-50,2.2834774395711492,0.011859317901686872,False,False
1776,1776,9.39144797130772e-40,7.938904018412127e-38,2.241983249890973,0.0013467047447847103,False,False
1478,1478,1.001301789841418e-32,5.520220302256165e-31,2.2103707103770844,0.013996130130817963,False,False
1201,1201,4.7769880867623394e-39,3.898211466445069e-37,2.190355498456659,0.0030364049437359986,False,False
1230,1230,4.53193074005038e-44,5.3360247370707484e-42,2.1728402908426694,0.0126899387761851,False,False
1174,1174,2.2941690205057507e-88,3.781708213401679e-85,2.159744456914407,-0.032101207463623854,False,False
1175,1175,1.032029739698402e-55,2.835329704864743e-53,2.1331535098360734,-0.022289174582843935,False,False
1366,1366,1.7511908063444682e-34,1.0934329262038717e-32,2.1210174250909515,-0.001432616159458805,False,False
1178,1178,4.203296088078986e-37,3.0522965954138327e-35,2.1171060021645474,0.003078607641428338,False,False
1237,1237,3.75802779202402e-44,4.4566424549441696e-42,2.1115163725310238,-0.0013701578133433479,False,False
1331,1331,1.595878118003628e-61,6.745244845428668e-59,2.085246044109561,0.021442094473007017,False,False
15564,15564,6.549407403210729e-65,2.998900878736824e-62,2.0621667677835323,-0.01632164082379539,False,False
1343,1343,5.4220860837598956e-18,1.1327967934689241e-16,2.048860771055916,-0.002591027886905628,False,False
1381,1381,6.898058605788365e-22,1.947047911948894e-20,2.040436136409907,0.020258687109191598,False,False
1289,1289,5.11387704410263e-44,5.978521219502679e-42,2.028944599644556,-0.012426320666796997,False,False
1180,1180,6.845156413505242e-68,4.0298413685793005e-65,2.0238437232069533,-0.016933302567421038,False,False
1233,1233,1.997556857836504e-17,3.8967724549795184e-16,2.0073519413525855,0.007018034302997828,False,False
