,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3866,3866,1.9552032190638276e-23,4.0227363419713554e-22,7.034508832580591,0.026752723408205697,False,False
3869,3869,1.4585567304169086e-27,3.786275455778318e-26,6.8336071484903815,0.020209813244968206,False,False
3871,3871,5.952721262866378e-25,1.3553129460923946e-23,6.813414665452579,0.02483366904023801,False,False
3901,3901,3.782120210480768e-18,5.693558862973971e-17,6.811288099974661,0.021925631677421842,False,False
3882,3882,1.1726105248408327e-18,1.825241916097855e-17,6.7824837576775545,0.0206749046372669,False,False
3865,3865,2.3056199278061223e-27,5.929148032754465e-26,6.770404276722397,0.014656419055995212,False,False
3896,3896,3.9295450024036913e-29,1.128477697205966e-27,6.648391851500549,0.02713736274667808,False,False
3993,3993,1.192587809657355e-14,1.3409698127143137e-13,6.469810882007992,0.050591956377624675,False,False
3855,3855,1.4338914201598864e-15,1.750834531104857e-14,6.464094404420541,0.025987437508315753,False,False
3845,3845,5.0732141676507395e-28,1.3575789340836817e-26,6.462795860164117,0.022961919842047318,False,False
3902,3902,6.161775121660844e-22,1.167479323051234e-20,6.427719471823779,0.017514468638223896,False,False
3880,3880,8.733262317804008e-18,1.2876484440669166e-16,6.387987803345308,0.040012685936713185,False,False
3790,3790,1.1952503541051217e-10,8.764460336774389e-10,6.28985696426468,0.033602012571855175,False,False
3669,3669,4.31393838920627e-14,4.599674023782416e-13,6.280009839615554,0.022272434591572382,False,False
3885,3885,4.064493735547981e-14,4.3534187613237766e-13,6.188418468851332,0.02144796377452171,False,False
3734,3734,8.498047982607266e-26,2.0126698699037097e-24,6.154906800166375,0.027717675259721256,False,False
3848,3848,1.5536348826056193e-23,3.2213984157070474e-22,6.150719345085337,0.03556853823968954,False,False
3877,3877,5.383857524541399e-13,5.112183607980439e-12,5.970126726772383,0.022794859600408418,False,False
3897,3897,9.258398879080066e-16,1.1544284956335538e-14,5.968462375417574,0.023422583391996585,False,False
3886,3886,2.508268685856846e-12,2.2325216532216116e-11,5.887755184687182,0.027852155461649444,False,False
3668,3668,1.3037498830836208e-13,1.3257873579734983e-12,5.882227006604595,0.037211178969368625,False,False
3724,3724,2.1692573261398755e-12,1.9454862766098863e-11,5.847517693734693,0.03142770718579761,False,False
3891,3891,2.9061432419903435e-15,3.4439155428446315e-14,5.837361247539074,0.023667957202175488,False,False
3983,3983,1.7394609501581717e-11,1.4021161028072032e-10,5.8046195989266085,0.03098632319868802,False,False
3992,3992,1.4581828397641992e-14,1.6219086322991268e-13,5.755737238794764,0.0287125258199305,False,False
3863,3863,7.439895138084467e-16,9.347502397575027e-15,5.747377248127648,0.029745319825950536,False,False
3711,3711,2.820702789737628e-10,1.983637576196035e-09,5.73005838020745,0.03754995869951304,False,False
3859,3859,1.779019338896197e-11,1.432601601483386e-10,5.691216485471049,0.009964199615183578,False,False
3807,3807,5.716822200948793e-16,7.27130379324382e-15,5.681268020044902,0.02357964550508322,False,False
3801,3801,2.603347138098569e-13,2.5589489698519267e-12,5.664577791709269,0.029337937218173044,False,False
3849,3849,1.6007118567366343e-14,1.7708814930501127e-13,5.654359044798376,0.021979497232227613,False,False
3874,3874,2.2713303949385205e-10,1.6124293811441247e-09,5.65409020366833,0.019011208735475835,False,False
3878,3878,6.408539449110575e-15,7.37698074574991e-14,5.583153487069358,0.010057217792450349,False,False
3974,3974,1.5148740028883197e-09,9.739150960846748e-09,5.557586051741972,0.022807726683653134,False,False
3861,3861,2.752929803690416e-12,2.441059434321292e-11,5.553075452008877,0.021373096838613312,False,False
3796,3796,7.458321251791987e-10,4.983500912628258e-09,5.525050997288855,0.03572796829312681,False,False
3990,3990,3.501154941593759e-13,3.3928887746755745e-12,5.507961908939126,0.03270429382708355,False,False
3804,3804,1.4670670450938102e-13,1.4809022150230476e-12,5.46204576583346,0.021829006238561488,False,False
3955,3955,8.735323582272844e-11,6.524380332133465e-10,5.458743000257374,0.011854474721712055,False,False
3757,3757,5.110589940890528e-10,3.4883215149333115e-09,5.458167062606382,0.023016465319377608,False,False
3760,3760,3.878711498807153e-13,3.738987154756556e-12,5.4412644034501865,0.023275738812675487,False,False
4009,4009,4.0193579053532294e-09,2.4349539034120775e-08,5.4176755425296514,0.045631513946978605,False,False
3910,3910,1.7100511597218069e-15,2.074207749584567e-14,5.410677213751827,0.03269927995341437,False,False
3898,3898,2.8186773822184185e-09,1.7414946764800752e-08,5.364699189138597,0.021297334578042032,False,False
4013,4013,5.97013180699029e-17,8.194142606696747e-16,5.298024912056441,0.03666566406065391,False,False
3839,3839,6.581568279194969e-10,4.4191678824541694e-09,5.289064314976849,0.024916161139422507,False,False
3903,3903,4.4374948204873927e-13,4.252771198890359e-12,5.275824854037285,0.028369177251895486,False,False
3748,3748,1.5281830832765866e-11,1.2415263649448622e-10,5.248924348936314,0.011027961651907461,False,False
3813,3813,3.745781242766877e-09,2.283485872994423e-08,5.228022652442016,0.020153782517709995,False,False
3704,3704,8.365419030060543e-09,4.848588419893651e-08,5.20207698426972,0.023244226651486954,False,False
3884,3884,5.977255862664973e-10,4.036423008609972e-09,5.197471826325398,0.029578689828058696,False,False
3840,3840,3.2423522612475355e-13,3.155072885147838e-12,5.169797055330243,-0.0063154095766468216,False,False
8583,8583,5.537356031090264e-07,2.47768123823268e-06,5.0873879887804065,0.02180638870648474,False,False
3889,3889,1.330822833476782e-07,6.568048978153076e-07,5.053558969108945,0.020175033900018693,False,False
3838,3838,1.9884097036224724e-10,1.421376650239065e-09,4.980243818439866,0.006536158156418767,False,False
3967,3967,7.659567472926914e-09,4.467809986685324e-08,4.965648091566683,0.02232146994291387,False,False
4011,4011,1.1308495981144955e-09,7.400128930257778e-09,4.942901193211277,0.024796006831522777,False,False
3917,3917,1.691205798890349e-08,9.40230569609056e-08,4.933054745743839,0.019781682937940498,False,False
3713,3713,7.775700991489221e-10,5.185058865036744e-09,4.908145015069015,0.023092068885558453,False,False
3947,3947,1.4067604035274815e-08,7.900864903491314e-08,4.900074901159928,0.031225860619870385,False,False
3975,3975,7.157518504378984e-09,4.194260043589875e-08,4.889018383761019,0.010072084672044651,False,False
3799,3799,6.590948827720153e-07,2.9197850168271703e-06,4.861125345284087,0.024472828240154898,False,False
3818,3818,1.3946954301648701e-10,1.0127823555435118e-09,4.846593391727627,0.015008811959215551,False,False
3792,3792,5.747268815223056e-07,2.5639507212486294e-06,4.842624161132701,0.014125272249691331,False,False
3879,3879,1.1125152088146332e-08,6.338990909816943e-08,4.826556499244277,0.025661180026521693,False,False
3989,3989,1.0304708438823028e-09,6.794512556222352e-09,4.823828865150508,0.00475551082334727,False,False
3808,3808,1.7335530140237471e-09,1.1041687744655119e-08,4.82037936612649,0.014070634255198111,False,False
3906,3906,4.0059445255750864e-10,2.7652424438684975e-09,4.770297244273311,0.019429388216705354,False,False
3752,3752,1.9210955160293007e-07,9.235152664399823e-07,4.764122647899625,0.022238577322937672,False,False
3852,3852,8.071900870355984e-12,6.760622167603226e-11,4.733492591525537,-0.0023328996996349466,False,False
