,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
4269,4269,1.3066135609056791e-40,1.6696292975169936e-38,3.99725942445418,0.021294950486499375,False,False
4406,4406,1.4780801986244935e-29,7.543793401804163e-28,3.7117110397905058,0.009121488000994216,False,False
4109,4109,2.522491797341057e-35,2.1106982125568518e-33,3.710676091193276,0.02087969437102663,False,False
4393,4393,9.24119529081391e-30,4.867984750534263e-28,3.668571040635067,0.00013320741259781332,False,False
4108,4108,8.5238966408803e-27,3.2905834245496687e-25,3.6568718133209677,0.02569995239158765,False,False
4279,4279,3.3696136901960927e-28,1.5259536282745163e-26,3.634580840973,0.018497470453798237,False,False
4152,4152,1.5371982751660824e-25,5.391314120816532e-24,3.541104594099901,0.01604858901941983,False,False
4177,4177,3.2645668591662924e-26,1.2011857166628831e-24,3.539571110793483,0.01612917481662432,False,False
4400,4400,5.826498027399251e-23,1.6223647547913723e-21,3.5320189656331324,0.021503656427965034,False,False
4175,4175,5.787182105509458e-70,4.769795491360895e-67,3.501272358766338,0.010533097501442379,False,False
4290,4290,2.3801238859935617e-30,1.3165759106281164e-28,3.468601395023377,-0.002648531358822981,False,False
4255,4255,4.8219959271793274e-24,1.4719589048819265e-22,3.425521804774054,0.0220906366203501,False,False
4375,4375,1.2926928420676102e-21,3.0882244650206504e-20,3.3821539071083904,0.018011993082480804,False,False
4171,4171,9.279708525843668e-22,2.2561462439529058e-20,3.3703710747281406,-0.0004848379111004053,False,False
4441,4441,3.791207674843034e-21,8.691831336872402e-20,3.351183034864871,0.029941247242903424,False,False
4169,4169,6.0108706967569985e-21,1.3554472307160376e-19,3.325183686607674,0.012187850141969714,False,False
4317,4317,3.405380475845764e-21,7.829050455208029e-20,3.2725672069135494,0.01738505841253918,False,False
4366,4366,5.967352134008197e-23,1.6587830114163762e-21,3.259950323170109,-0.004204940224455778,False,False
4386,4386,1.8076636283830737e-21,4.256789607180941e-20,3.2554296732008545,-0.0037187498196780966,False,False
4188,4188,1.1095142038775192e-35,9.476286081200532e-34,3.241266772915314,0.0054223516809638606,False,False
4165,4165,1.3926586446599089e-21,3.312638542362762e-20,3.236494791799655,0.011983276604018739,False,False
4256,4256,9.413436012483281e-23,2.5521559083844475e-21,3.2234369660372337,-0.005345174459896768,False,False
4355,4355,9.741966825812093e-28,4.1602741232302207e-26,3.2131477599840643,0.008807695261171755,False,False
4388,4388,1.0813241125682262e-18,1.929063492594658e-17,3.2081744086820763,0.012485768680724901,False,False
4106,4106,3.4602299501448537e-20,7.238379504846163e-19,3.207613229292311,0.007933243692476805,False,False
4344,4344,2.3700496621964106e-17,3.6970869134934893e-16,3.177147190622568,-0.0008733341601812328,False,False
4128,4128,3.8292072006550893e-17,5.866231551635547e-16,3.1688673008750916,0.017935922952212607,False,False
4196,4196,6.396997003910094e-40,7.478588554074751e-38,3.168168341884154,0.002684624947498382,False,False
4349,4349,5.4171853866239116e-17,8.177370321713238e-16,3.160791640525515,0.011149967161221769,False,False
16459,16459,5.286897647595983e-27,2.08490958906632e-25,3.1582205428907786,0.029369589412577474,False,False
4395,4395,9.15828125362687e-21,2.0345701911696137e-19,3.150616953419989,0.030360462344915018,False,False
4385,4385,5.267638901161566e-18,8.753201577293071e-17,3.1406078641094126,0.009902012491035728,False,False
4240,4240,1.872654526420292e-17,2.9681574243761627e-16,3.13154212113665,0.004822013619419113,False,False
4268,4268,1.1385259216825631e-17,1.8327598918960322e-16,3.1193866238498114,0.0060200642015581785,False,False
4399,4399,4.850612937923424e-23,1.364462519944193e-21,3.103560479347777,-0.006212675142859642,False,False
4166,4166,1.685571516670504e-25,5.886644254406056e-24,3.102779764104185,0.0021791662896838426,False,False
4097,4097,2.336478223770631e-15,2.999572199426408e-14,3.10119851261649,0.007878077490510699,False,False
4391,4391,5.156776391664802e-19,9.583348595287779e-18,3.0953849400737115,0.02396663495608556,False,False
4392,4392,4.630830847087505e-18,7.773382452483751e-17,3.092247976521974,0.0012669248999990779,False,False
4277,4277,1.0289944771268578e-20,2.2646121443203104e-19,3.040834536968466,0.0274606352639738,False,False
4276,4276,6.084617035875598e-26,2.1851596344090056e-24,3.028114356145351,-0.007643591389357635,False,False
