,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
689,689,4.080309457959183e-97,1.6814955276249794e-93,4.295078771256915,0.022264307074635725,False,False
330,330,2.3365601434728307e-53,4.012068479688139e-51,4.208110541372948,0.012206728464753902,False,False
708,708,7.062145916020584e-88,1.9402068879947217e-84,4.2062204090443025,0.014058200580461061,False,False
181,181,3.275014453408329e-38,2.4763916628432524e-36,3.660474398402085,0.003436866696284069,False,False
134,134,3.6643325659196404e-38,2.758121370621888e-36,3.6182224746600387,0.00442207079832152,False,False
1025,1025,6.964886680447481e-57,1.453280911905016e-54,3.603806093444958,0.004360125788280378,False,False
54,54,1.2790181986405197e-29,6.128876740229747e-28,3.5242250343635004,0.022095429446900433,False,False
603,603,3.1070596028636896e-28,1.347809749831712e-26,3.3964453644254506,0.004316822359073019,False,False
347,347,2.373032942502481e-25,8.597159345980417e-24,3.3364487867153327,0.013380900094813908,False,False
570,570,4.746133318265689e-45,5.047436233438169e-43,3.2711509942771886,0.008891886206822436,False,False
1063,1063,2.891075512063507e-33,1.6721574996791176e-31,3.2457598411669366,0.028475733406931047,False,False
53,53,7.13541258202932e-24,2.38580407712315e-22,3.2014558204347954,0.0031834084109047256,False,False
93,93,4.4328240441921867e-23,1.3786919159332832e-21,3.1230860136655334,0.01582633318024851,False,False
757,757,2.158969115438854e-26,8.334530889670742e-25,3.1188551974586454,0.030942594699472303,False,False
659,659,1.2136379496501883e-59,3.125876244067766e-57,3.11038264414654,0.008065635192092663,False,False
106,106,2.072338634009397e-36,1.3943032670616693e-34,3.1078952590671114,0.0050465135020358876,False,False
192,192,3.0182557511423325e-75,2.0730386584095918e-72,3.0665676345842963,0.021767994247565425,False,False
64,64,2.0818265331147287e-22,6.020496240677752e-21,2.9932314590361493,0.006171340631264038,False,False
66,66,2.3769388097435094e-31,1.243855852057524e-29,2.9774432152107986,0.014204980837759118,False,False
188,188,1.158743316050234e-34,7.26263301208063e-33,2.940990868923317,0.006416210242498721,False,False
296,296,1.7193821582361887e-44,1.749524413355885e-42,2.933785698761082,0.0015147196429071141,False,False
379,379,1.2925179096515676e-51,1.954666534192334e-49,2.9314691139517914,0.02733301045931133,False,False
373,373,6.6499202934059624e-62,1.8899532089052394e-59,2.913007356823116,0.022301854151542927,False,False
590,590,4.6195252686308117e-32,2.51314371379902e-30,2.876182367126877,0.026115554001693242,False,False
342,342,2.6238494304217226e-47,3.227726418736692e-45,2.861404134414381,0.006816672917688588,False,False
583,583,9.211610741848524e-53,1.549430525190113e-50,2.8331530818029314,0.022540245616880478,False,False
763,763,1.9106124637580987e-39,1.536318822077488e-37,2.831784443867365,0.02642679640083276,False,False
882,882,6.608496261910992e-29,3.0428617983614746e-27,2.8281519123071663,-0.023976146053775793,False,False
685,685,3.147001615212794e-29,1.4737265518513552e-27,2.8133136361516873,-0.007865645606492389,False,False
748,748,1.3852579734277094e-20,3.545744166767448e-19,2.7509589398220955,0.001957760372269801,False,False
89,89,5.375189538715588e-21,1.4268055451882086e-19,2.724632373073801,-0.005390640293631205,False,False
587,587,8.6150895881753e-34,5.126755840125692e-32,2.71905102010535,0.003076205925443054,False,False
877,877,1.1642424215268004e-25,4.3419393838117144e-24,2.6963877053182643,-0.0037028338417867124,False,False
