,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1660,1660,5.7826122663825346e-226,3.286916572381024e-223,2.6981419928505592,0.010349349993046653,False,False
1629,1629,1.3016285888772e-309,3.576007609841956e-306,2.6613967816064896,0.0021503957387769,False,False
3072,3072,1.8324811676360172e-298,4.315231366758872e-295,2.5640029204315553,-0.01926495942390083,False,False
2550,2550,0.0,0.0,2.5194824595333034,0.0034860149125125472,False,False
1827,1827,2.7221961050748575e-171,6.410382942293422e-169,2.5039200934220296,0.009506810243215424,False,False
2410,2410,1.6134188573893664e-192,5.781651401131808e-190,2.475939720005207,0.0014300299944794426,False,False
3020,3020,1.9145139085997658e-170,4.264709090453856e-168,2.4711796701859514,0.007533210809633928,False,False
2508,2508,0.0,0.0,2.4466423034480766,0.00304744298385079,False,False
2419,2419,2.1338446319450572e-297,4.39678686412279e-294,2.4115855318788526,0.013040901301862695,False,False
1998,1998,7.327062157321172e-234,4.645357407741623e-231,2.4067747471775927,-0.005273212605564015,False,False
2479,2479,0.0,0.0,2.405708970690196,0.0032333220527587803,False,False
2583,2583,4.3199076266139666e-203,1.8258809568488365e-200,2.403652574133829,0.008190452338217413,False,False
2884,2884,2.280598156080144e-255,1.9785989476223736e-252,2.379020874911956,0.00944869242082741,False,False
2600,2600,3.1431557472182813e-277,4.317648278095512e-274,2.349963675122418,0.016453219178354628,False,False
3028,3028,4.003660404383132e-189,1.3749237105385738e-186,2.34050836994762,0.002781972785129372,False,False
2781,2781,4.6653428940972244e-228,2.848278232085135e-225,2.3333106380350355,0.010999588293337137,False,False
1576,1576,2.0386926415009195e-158,3.613527903494748e-156,2.329908176266028,0.018914044121610185,False,False
3076,3076,3.3389920930589072e-264,3.2376438624695895e-261,2.318421240036588,-0.002276162888492639,False,False
1571,1571,2.918742039438098e-145,3.9762432874460832e-143,2.3090025241707606,-0.0009211163308109893,False,False
1894,1894,4.958998447986571e-120,4.466892372492384e-118,2.3063553672086803,-0.007032876127410659,False,False
2650,2650,0.0,0.0,2.3012074965117293,0.021375182386085878,False,False
2653,2653,5.531901257322586e-173,1.3816342473591743e-170,2.299882456178157,0.003032778891996435,False,False
2522,2522,1.1234425774832013e-207,5.144118735342526e-205,2.297735639743099,0.01680848603639079,False,False
1866,1866,1.1364534202345486e-153,1.8012786710717597e-151,2.2868794498856975,-0.01136110562300402,False,False
1971,1971,1.2434476003365236e-222,6.611932336757178e-220,2.281180890740684,-0.00055356266177925,False,False
1867,1867,1.66039906473749e-210,8.05000534798023e-208,2.2791525273564077,0.01496895544538479,False,False
2506,2506,0.0,0.0,2.269021803316009,0.00020825116834372048,False,False
1706,1706,3.1837824539169705e-215,1.6400459365739793e-212,2.2675917675740846,0.009109684932088968,False,False
1614,1614,4.328764909928458e-129,4.516162074383588e-127,2.2646451028255266,0.02862502751591678,False,False
2473,2473,1.164425840877252e-188,3.838879112204124e-186,2.255513640982303,-0.006689861377133177,False,False
3001,3001,1.7086317249568113e-156,2.8739883014477633e-154,2.2534339837724073,-0.005655906648039055,False,False
2604,2604,6.595801263425193e-271,7.248345868420059e-268,2.2452703972925767,0.024419256874153028,False,False
2172,2172,1.659712370139988e-153,2.582462308705623e-151,2.2426103846273446,-0.0002293794474176325,False,False
3043,3043,2.641910948892384e-131,2.8463568680746444e-129,2.238195761962347,-0.00551084614546099,False,False
2413,2413,1.947712594528276e-119,1.744896435228484e-117,2.2369534882795024,-0.002046768698647894,False,False
3008,3008,7.192989423681605e-139,9.120710589228276e-137,2.2272197001972946,0.0008578743344140327,False,False
2524,2524,1.7462968360517625e-184,5.1403494724066524e-182,2.224969307210755,0.01606232832655924,False,False
1862,1862,1.572756631638738e-138,1.979032085185722e-136,2.192784301945638,0.012970296901646972,False,False
2019,2019,1.6101551042206309e-174,4.08335334430352e-172,2.1814824190485256,0.005469248016251982,False,False
2994,2994,5.5593588462914545e-176,1.4546106543217197e-173,2.1741117585804983,-0.005317417961779702,False,False
2648,2648,1.1472901493617566e-278,1.8911930822079194e-275,2.1733714592598594,0.013701043556755554,False,False
2017,2017,4.734537472907242e-107,3.3352186198035463e-105,2.1655533429299494,0.0027074722967515563,False,False
2563,2563,1.366736762834839e-182,3.8843601376843945e-180,2.1647193130645905,0.0087865788673116,False,False
2708,2708,2.6533743039011353e-187,8.411196543366598e-185,2.1599959815412944,0.012350859956322291,False,False
3038,3038,1.1206315804550566e-113,8.967228627291823e-112,2.1499961362982014,-0.0031659146361598944,False,False
2357,2357,3.923504467229124e-135,4.522730604042299e-133,2.1406454825664536,0.005931277348896813,False,False
2572,2572,1.903938541832803e-195,7.298726261295796e-193,2.136955078844239,-0.01185704553413014,False,False
2819,2819,3.0823123662785967e-146,4.342635644934734e-144,2.130285376665466,0.002592287630279244,False,False
2779,2779,9.863881999032073e-235,6.503849234881787e-232,2.1288236531201203,0.02285218728922017,False,False
2625,2625,4.932109977764094e-278,7.390990988496666e-275,2.1159578889830497,0.0113846733670101,False,False
1615,1615,1.2681272794254834e-252,1.0451905037024834e-249,2.1035609495522314,0.017366084750101762,False,False
2584,2584,7.896619856787105e-176,2.0338731518637285e-173,2.089374745617499,0.007051845603236795,False,False
2535,2535,9.19316883063379e-190,3.224259468173774e-187,2.082265971731073,0.0003791195297050409,False,False
2762,2762,2.8018502744023126e-291,5.131744435916414e-288,2.075751526890366,0.015523876057325137,False,False
2401,2401,3.0089999738820283e-183,8.701816766573922e-181,2.069587238726816,0.01619295815573868,False,False
2613,2613,2.1782662076989877e-274,2.7620415513623166e-271,2.0672038171598337,0.011499530922239543,False,False
2399,2399,1.2815496565308268e-266,1.3203165336408844e-263,2.0631308810264377,0.021772625046309668,False,False
2712,2712,1.4814120395998357e-112,1.1573268275243455e-110,2.062040897980932,-0.004916155088281193,False,False
3039,3039,6.699881175608662e-204,2.9063379289140314e-201,2.0581161678969173,-0.01646201689535387,False,False
2647,2647,2.85623363848066e-260,2.6156752942619553e-257,2.058113717144143,0.024923490739852838,False,False
2805,2805,2.791816255849721e-172,6.864159998165355e-170,2.0493543397660607,0.009907923688425024,False,False
2556,2556,8.52122244988945e-166,1.755797885799721e-163,2.0421254789936696,-0.008037802481778322,False,False
2983,2983,1.5214104281132957e-113,1.211542487778723e-111,2.029273688446982,0.005996783627333524,False,False
1986,1986,5.308595613988308e-158,9.211251589577185e-156,2.0291600509104244,0.007261407101519346,False,False
2982,2982,1.5218234513323878e-101,9.837544224220815e-100,2.0234632975832447,0.01191033335643188,False,False
2652,2652,1.4459667088808343e-148,2.147325696323574e-146,2.0215809474695514,-0.004033501412516127,False,False
2678,2678,3.923567665600626e-241,2.9398222454436687e-238,2.01749747739879,-0.000850007295132349,False,False
2923,2923,1.259535078024618e-112,9.93405561060182e-111,2.014268030176551,0.008338750996062627,False,False
2686,2686,8.566438002108453e-235,5.883715167781489e-232,1.9932627141351082,0.01862367136421278,False,False
1795,1795,4.6547752608242903e-237,3.336057191279461e-234,1.9894254372290574,0.012865871091815972,False,False
2497,2497,3.309217877567729e-194,1.2122032776405876e-191,1.9893647703489654,0.005453569038253947,False,False
1656,1656,8.399627646824739e-104,5.583042827833024e-102,1.9840009754338561,0.019313203034483473,False,False
2562,2562,1.1720345961568304e-136,1.4102057140911818e-134,1.9817872147519502,0.0022407893175767635,False,False
1890,1890,1.359449960390768e-124,1.2953279275769607e-122,1.9717548647878445,-0.00020599980328911416,False,False
2468,2468,1.3327385467953281e-118,1.168556500285861e-116,1.969902912607691,0.03280160531461157,False,False
2746,2746,1.4439076652256751e-171,3.449474486026091e-169,1.9687566052440277,0.008567849662745208,False,False
2598,2598,2.0865934042631915e-271,2.456814691133889e-268,1.9634040321968873,0.025517880103083312,False,False
1600,1600,1.0696339069555809e-188,3.598335780052203e-186,1.9578280106906132,0.022149528608658597,False,False
2529,2529,8.032362607454655e-168,1.7195514963802927e-165,1.9535655496759667,-0.010641446999322568,False,False
2581,2581,1.2460689704461044e-124,1.1941977272577667e-122,1.9478215441154625,0.007918364019908197,False,False
2456,2456,1.2460319036102757e-161,2.3340443067172485e-159,1.9393245692669345,0.013475181081006093,False,False
3024,3024,1.627111179429056e-99,1.0007948015562895e-97,1.9349372058520988,0.006865721905279065,False,False
2082,2082,1.0352188031054236e-105,7.13997771982837e-104,1.9340680915259636,0.0004355779460837872,False,False
2381,2381,3.7642026475016155e-200,1.513393083936991e-197,1.929823473711344,-0.01104320307943063,False,False
1881,1881,1.6685731383895438e-106,1.1605383803043561e-104,1.9257915984358418,-0.007383327767471193,False,False
2601,2601,4.897167714124202e-163,9.497048541132157e-161,1.925292805752677,0.000736689996147899,False,False
2919,2919,3.9454141122145724e-159,7.069152850624458e-157,1.922866216540328,0.025302244129574547,False,False
1588,1588,5.754974381482679e-171,1.2995205164980888e-168,1.91863681919031,-0.0010808411435027088,False,False
2570,2570,1.149656860875108e-211,5.742710210504631e-209,1.9168749859192087,0.015095082147619843,False,False
1871,1871,2.518556104094336e-249,1.9769466104710016e-246,1.9163252863713884,0.00896077713223492,False,False
2006,2006,1.1341949586648078e-91,5.8062328256617065e-90,1.9150926007213291,0.004303323325717201,False,False
2500,2500,3.779339503755888e-158,6.627514082969368e-156,1.9043487155349414,0.02766878962437419,False,False
2045,2045,2.3026434256415392e-145,3.189644893132364e-143,1.902213507928817,0.014452602153770477,False,False
1829,1829,6.280729212478513e-145,8.417198401503724e-143,1.8995623093744414,-0.020041082019653544,False,False
2677,2677,3.7381597460916185e-188,1.2082318677367497e-185,1.8926802086218524,0.012686119277213748,False,False
3027,3027,5.316910277943574e-155,8.764394902162187e-153,1.8898220289471634,0.022502969905793535,False,False
2450,2450,4.6712910585438715e-144,6.160124944722974e-142,1.888937952130403,0.002948280637178502,False,False
2899,2899,1.6923946186049122e-156,2.8739883014477633e-154,1.8868198997937022,0.018081659265110572,False,False
2480,2480,2.215115470696397e-134,2.4671596904702302e-132,1.8842478992500489,-0.013492316265557025,False,False
2624,2624,1.0856729548587892e-153,1.7374983483390566e-151,1.8831039996434977,0.013383822776029952,False,False
2611,2611,3.028090166507457e-105,2.0626048886243357e-103,1.881483192146104,0.012744863940459872,False,False
1972,1972,4.2663244030390157e-106,2.954877792424165e-104,1.8808033017315804,0.003686429736776131,False,False
1607,1607,3.6656851589351846e-149,5.493195832717053e-147,1.8807702810626148,0.0192678048512272,False,False
2726,2726,1.5176055159565483e-146,2.1753225500024124e-144,1.8772587822929607,0.010361118636499522,False,False
2386,2386,9.626244807273247e-166,1.959000239544348e-163,1.8741096939643371,0.00276492869409517,False,False
2552,2552,3.2976567031335203e-226,1.9413776105161766e-223,1.8713881975014215,0.008459332660733454,False,False
2634,2634,2.888946851613436e-97,1.6887021241842512e-95,1.8592675911948768,0.008777284530920304,False,False
1581,1581,1.3822342402000268e-84,6.34672680096302e-83,1.857245419186032,0.023154766538171667,False,False
2935,2935,2.284222967556211e-79,9.484415969067149e-78,1.8553171497045582,0.026588595996842712,False,False
1631,1631,2.0209311377217048e-225,1.1104342958068194e-222,1.8546234146866403,0.019169273293923095,False,False
1868,1868,2.831611743965325e-172,6.864159998165355e-170,1.8520037319530354,0.0021851651876489964,False,False
2615,2615,8.817916941115263e-93,4.6587994505558974e-91,1.851689949606536,0.022544001751193643,False,False
2668,2668,6.6175887837693335e-68,2.1305533888994861e-66,1.8490763292613739,0.0006403356949276628,False,False
2785,2785,8.776249383523383e-102,5.695578536929112e-100,1.8467328076693919,0.013829546686653704,False,False
2039,2039,6.3349557650998654e-74,2.3309243489264773e-72,1.840017358105489,0.02971325864328367,False,False
2081,2081,1.0161769420910668e-130,1.0877052411317626e-128,1.8321261061533,-0.00506632508196625,False,False
1700,1700,1.8373018494033962e-209,8.653166767304452e-207,1.826432147544197,0.027989855876933978,False,False
3078,3078,6.446078198220984e-92,3.3309452357202095e-90,1.8204580721925008,-0.013801700444259601,False,False
2838,2838,2.7686306190569576e-145,3.803175593711241e-143,1.8197839002011187,0.006836882106632414,False,False
1616,1616,1.989123189155283e-100,1.2467188840317752e-98,1.816789553262609,0.01250775592939829,False,False
1583,1583,2.5915030764129786e-180,7.003006018293695e-178,1.8149397938612541,0.032118946671009646,False,False
1618,1618,1.0033539026637043e-61,2.7797118876484877e-60,1.8122584553473147,0.03825864626389844,False,False
2932,2932,2.709166359836981e-161,5.017741379275594e-159,1.8101377802751881,0.01887902680948156,False,False
2780,2780,5.6023911553236984e-161,1.0261090644928427e-158,1.809809164425052,0.022426470876057536,False,False
2769,2769,1.290050614085249e-73,4.725598738351387e-72,1.8051035041191321,-0.011975340416206015,False,False
2575,2575,1.849257209822829e-179,4.9166380397934695e-177,1.799495880800762,0.04201187578323834,False,False
2069,2069,2.915187474092719e-134,3.225097337110361e-132,1.7985402592012427,0.011379079617926946,False,False
1680,1680,1.8259631839090432e-137,2.263096024327569e-135,1.797944812268293,0.029308533620897803,False,False
2470,2470,4.973423529888148e-171,1.1386376870371699e-168,1.7907657834689896,0.01659683728424427,False,False
2346,2346,2.0762512666072597e-91,1.0509214036272858e-89,1.7879613053770325,-0.002134642135922349,False,False
2991,2991,8.67206362129554e-117,7.36857199656885e-115,1.779213493832221,0.01944975457718462,False,False
1630,1630,4.019403032651102e-196,1.5775199902433514e-193,1.775335715011892,0.005796361263201488,False,False
